"","parent","cluster","depth","cellID","color"
"1","5","1","5","1","#FCD5D3"
"2","5","1","7","2","#FBBAB6"
"3","5","1","8","3","#FAACA7"
"4","5","1","11","4","#F8837B"
"5","5","1","5","5","#FCD5D3"
"6","5","1","5","6","#FCD5D3"
"7","5","1","12","7","#F8766D"
"8","5","1","9","8","#FA9F98"
"9","4","5","3","9","#619CFF"
"10","4","5","0","10","#BFD7FF"
"11","4","5","0","11","#BFD7FF"
"12","4","5","0","12","#BFD7FF"
"13","4","5","0","13","#BFD7FF"
"14","4","5","0","14","#BFD7FF"
"15","4","5","0","15","#BFD7FF"
"16","5","6","5","16","#F9A2EE"
"17","5","1","7","17","#FBBAB6"
"18","5","1","12","18","#F8766D"
"19","5","1","7","19","#FBBAB6"
"20","5","1","7","20","#FBBAB6"
"21","5","1","6","21","#FCC8C4"
"22","4","5","1","22","#A0C3FF"
"23","5","1","5","23","#FCD5D3"
"24","5","1","6","24","#FCC8C4"
"25","5","1","8","25","#FAACA7"
"26","5","1","7","26","#FBBAB6"
"27","5","1","9","27","#FA9F98"
"28","5","1","9","28","#FA9F98"
"29","5","1","9","29","#FA9F98"
"30","5","1","9","30","#FA9F98"
"31","5","1","7","31","#FBBAB6"
"32","5","1","7","32","#FBBAB6"
"33","5","1","9","33","#FA9F98"
"34","5","1","9","34","#FA9F98"
"35","4","5","3","35","#619CFF"
"36","4","5","3","36","#619CFF"
"37","5","1","9","37","#FA9F98"
"38","5","1","12","38","#F8766D"
"39","5","1","11","39","#F8837B"
"40","5","1","5","40","#FCD5D3"
"41","5","1","12","41","#F8766D"
"42","5","1","6","42","#FCC8C4"
"43","4","5","3","43","#619CFF"
"44","5","1","9","44","#FA9F98"
"45","5","1","5","45","#FCD5D3"
"46","4","5","3","46","#619CFF"
"47","4","5","3","47","#619CFF"
"48","4","5","3","48","#619CFF"
"49","5","1","12","49","#F8766D"
"50","5","1","11","50","#F8837B"
"51","5","1","6","51","#FCC8C4"
"52","5","1","6","52","#FCC8C4"
"53","5","1","6","53","#FCC8C4"
"54","5","1","6","54","#FCC8C4"
"55","5","1","10","55","#F9918A"
"56","5","1","6","56","#FCC8C4"
"57","4","5","3","57","#619CFF"
"58","4","5","3","58","#619CFF"
"59","4","5","0","59","#BFD7FF"
"60","4","5","3","60","#619CFF"
"61","4","5","1","61","#A0C3FF"
"62","5","6","6","62","#F783E8"
"63","6","3","12","63","#00BA38"
"64","5","6","7","64","#F564E3"
"65","5","1","12","65","#F8766D"
"66","5","1","11","66","#F8837B"
"67","5","1","11","67","#F8837B"
"68","5","1","11","68","#F8837B"
"69","5","1","11","69","#F8837B"
"70","5","1","11","70","#F8837B"
"71","5","1","12","71","#F8766D"
"72","5","1","12","72","#F8766D"
"73","5","1","12","73","#F8766D"
"74","5","1","11","74","#F8837B"
"75","5","1","12","75","#F8766D"
"76","5","1","12","76","#F8766D"
"77","5","1","5","77","#FCD5D3"
"78","5","1","8","78","#FAACA7"
"79","5","1","6","79","#FCC8C4"
"80","5","1","5","80","#FCD5D3"
"81","5","1","6","81","#FCC8C4"
"82","5","1","6","82","#FCC8C4"
"83","5","1","6","83","#FCC8C4"
"84","5","1","10","84","#F9918A"
"85","5","1","10","85","#F9918A"
"86","5","1","12","86","#F8766D"
"87","5","1","10","87","#F9918A"
"88","5","1","6","88","#FCC8C4"
"89","5","1","11","89","#F8837B"
"90","5","1","11","90","#F8837B"
"91","5","1","6","91","#FCC8C4"
"92","5","1","6","92","#FCC8C4"
"93","5","1","12","93","#F8766D"
"94","5","1","12","94","#F8766D"
"95","5","1","10","95","#F9918A"
"96","5","1","11","96","#F8837B"
"97","5","1","12","97","#F8766D"
"98","5","1","12","98","#F8766D"
"99","5","1","12","99","#F8766D"
"100","5","1","12","100","#F8766D"
"101","5","1","12","101","#F8766D"
"102","5","1","12","102","#F8766D"
"103","5","1","9","103","#FA9F98"
"104","5","1","9","104","#FA9F98"
"105","5","1","9","105","#FA9F98"
"106","5","1","9","106","#FA9F98"
"107","5","1","8","107","#FAACA7"
"108","5","1","12","108","#F8766D"
"109","5","1","11","109","#F8837B"
"110","5","1","11","110","#F8837B"
"111","5","1","8","111","#FAACA7"
"112","5","1","8","112","#FAACA7"
"113","5","1","12","113","#F8766D"
"114","5","1","12","114","#F8766D"
"115","5","1","12","115","#F8766D"
"116","5","1","12","116","#F8766D"
"117","5","1","12","117","#F8766D"
"118","5","1","12","118","#F8766D"
"119","5","1","8","119","#FAACA7"
"120","5","1","12","120","#F8766D"
"121","5","1","10","121","#F9918A"
"122","5","1","10","122","#F9918A"
"123","5","1","7","123","#FBBAB6"
"124","5","1","10","124","#F9918A"
"125","5","1","12","125","#F8766D"
"126","5","1","12","126","#F8766D"
"127","5","1","12","127","#F8766D"
"128","5","1","12","128","#F8766D"
"129","6","2","12","129","#B79F00"
"130","6","2","12","130","#B79F00"
"131","6","2","12","131","#B79F00"
"132","6","2","12","132","#B79F00"
"133","6","2","12","133","#B79F00"
"134","6","2","12","134","#B79F00"
"135","6","2","12","135","#B79F00"
"136","6","2","12","136","#B79F00"
"137","6","2","12","137","#B79F00"
"138","6","2","12","138","#B79F00"
"139","6","2","12","139","#B79F00"
"140","6","2","12","140","#B79F00"
"141","6","2","11","141","#C3AF2A"
"142","6","2","11","142","#C3AF2A"
"143","6","2","12","143","#B79F00"
"144","6","2","11","144","#C3AF2A"
"145","6","2","12","145","#B79F00"
"146","6","2","12","146","#B79F00"
"147","6","2","12","147","#B79F00"
"148","6","2","12","148","#B79F00"
"149","6","2","12","149","#B79F00"
"150","6","2","12","150","#B79F00"
"151","6","2","12","151","#B79F00"
"152","6","2","12","152","#B79F00"
"153","6","2","12","153","#B79F00"
"154","6","2","12","154","#B79F00"
"155","6","2","12","155","#B79F00"
"156","6","2","12","156","#B79F00"
"157","6","2","12","157","#B79F00"
"158","6","2","12","158","#B79F00"
"159","6","2","12","159","#B79F00"
"160","6","2","12","160","#B79F00"
"161","5","6","6","161","#F783E8"
"162","5","6","6","162","#F783E8"
"163","6","2","12","163","#B79F00"
"164","6","2","12","164","#B79F00"
