"","parent","cluster","depth","cellID","color"
"1","5","1","4","1","#FDE3E1"
"2","5","1","4","2","#FDE3E1"
"3","5","1","4","3","#FDE3E1"
"4","5","1","4","4","#FDE3E1"
"5","5","1","7","5","#FBBAB6"
"6","5","1","7","6","#FBBAB6"
"7","5","1","7","7","#FBBAB6"
"8","5","1","7","8","#FBBAB6"
"9","5","1","10","9","#F9918A"
"10","5","1","6","10","#FCC8C4"
"11","4","5","0","11","#BFD7FF"
"12","4","5","0","12","#BFD7FF"
"13","4","5","0","13","#BFD7FF"
"14","4","5","0","14","#BFD7FF"
"15","5","6","5","15","#F9A2EE"
"16","4","5","0","16","#BFD7FF"
"17","6","2","10","17","#CFBF55"
"18","6","2","10","18","#CFBF55"
"19","5","6","5","19","#F9A2EE"
"20","6","3","9","20","#7FDC9B"
"21","4","5","0","21","#BFD7FF"
"22","4","5","0","22","#BFD7FF"
"23","4","5","0","23","#BFD7FF"
"24","5","1","4","24","#FDE3E1"
"25","5","1","5","25","#FCD5D3"
"26","4","5","0","26","#BFD7FF"
"27","4","5","0","27","#BFD7FF"
"28","4","5","1","28","#A0C3FF"
"29","4","5","1","29","#A0C3FF"
"30","4","5","1","30","#A0C3FF"
"31","4","5","2","31","#80AFFF"
"32","4","5","0","32","#BFD7FF"
"33","6","2","8","33","#E7DFAA"
"34","6","2","8","34","#E7DFAA"
"35","6","2","11","35","#C3AF2A"
"36","6","2","11","36","#C3AF2A"
"37","6","2","11","37","#C3AF2A"
"38","6","2","12","38","#B79F00"
"39","5","6","6","39","#F783E8"
"40","5","6","6","40","#F783E8"
"41","6","3","12","41","#00BA38"
"42","6","3","12","42","#00BA38"
"43","6","3","12","43","#00BA38"
"44","6","3","12","44","#00BA38"
"45","6","3","12","45","#00BA38"
"46","6","3","12","46","#00BA38"
"47","6","3","12","47","#00BA38"
"48","6","3","12","48","#00BA38"
"49","4","5","0","49","#BFD7FF"
"50","4","5","2","50","#80AFFF"
"51","4","5","2","51","#80AFFF"
"52","4","5","2","52","#80AFFF"
"53","4","5","0","53","#BFD7FF"
"54","4","5","0","54","#BFD7FF"
"55","4","5","0","55","#BFD7FF"
"56","4","5","0","56","#BFD7FF"
"57","5","6","4","57","#FBC1F3"
"58","5","6","4","58","#FBC1F3"
"59","5","1","5","59","#FCD5D3"
"60","4","5","0","60","#BFD7FF"
"61","4","5","3","61","#619CFF"
"62","4","5","0","62","#BFD7FF"
"63","5","6","5","63","#F9A2EE"
"64","4","5","0","64","#BFD7FF"
