"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500","V501","V502","V503","V504","V505","V506","V507","V508","V509","V510","V511","V512"
24,25,34,39,34,83,101,131,31,14,11,25,13,3,30,31,77,15,44,40,46,54,29,38,36,23,41,54,26,21,57,51,25,42,127,111,11,26,7,25,43,83,543,127,37,25,107,65,11,27,29,38,10,22,43,21,54,96,54,45,12,31,19,38,38,46,51,67,30,53,28,15,63,32,182,112,34,68,22,24,26,68,38,91,28,72,55,43,29,44,6,16,83,31,51,146,6,6,7,16,32,10,18,18,6,6,6,12,44,45,15,50,8,20,17,16,180,45,16,23,71,32,137,48,45,6,40,42,18,3,13,7,4,4,8,6,18,16,2,5,0,16,7,15,9,4,20,25,13,23,21,36,4,3,18,8,3,6,9,4,16,68,49,57,40,117,65,209,41,25,24,30,47,55,18,15,68,29,14,19,61,30,36,38,13,22,8,12,24,10,50,18,23,32,25,21,9,31,83,25,10,4,31,22,29,24,46,17,32,7,37,19,22,51,38,29,38,24,152,112,52,60,128,80,128,55,65,60,128,71,93,156,39,39,71,98,48,83,29,16,34,63,63,138,87,69,21,65,47,63,23,75,35,78,23,29,1,10,3,4,37,10,7,10,2,4,1,20,1,10,5,5,4,4,12,3,5,6,6,6,11,14,4,13,3,2,18,7,2,1,0,1,2,5,0,3,1,2,3,2,5,2,5,1,4,11,8,15,5,0,8,11,3,1,3,2,8,6,3,2,8,2,1,5,7,5,8,8,8,0,1,5,4,2,1,0,7,22,3,19,4,5,6,3,4,3,3,4,1,5,3,2,40,73,50,7,16,5,4,12,5,17,33,13,13,12,17,47,30,45,41,40,14,5,15,25,23,31,6,13,20,24,18,7,10,19,13,32,4,17,10,6,6,4,4,4,6,7,5,3,5,2,2,1,7,3,4,4,6,3,6,4,2,8,6,10,9,5,11,19,3,17,3,2,1,3,13,15,50,18,34,32,2,0,6,4,4,7,2,7,1,2,2,3,6,5,3,3,5,3,4,6,10,8,1,2,23,30,14,5,4,6,1,7,7,14,7,5,5,3,6,2,14,12,9,2,13,6,5,4,10,4,10,9,7,7,18,23,0,5,5,9,8,2,13,11,7,8,6,2,5,4,1,5,10,8,6,14,6,8,3,6
5,9,12,7,3,12,8,6,18,7,4,8,4,8,10,4,11,6,7,5,5,9,2,4,12,4,5,5,12,15,3,7,5,13,6,1,5,14,3,5,1,5,6,5,3,3,3,5,12,5,0,14,5,6,6,6,13,4,2,10,6,5,2,3,10,6,9,5,13,16,19,17,27,0,4,4,4,11,11,12,9,7,5,8,1,7,16,7,7,3,9,2,7,0,3,7,24,5,5,6,16,9,20,3,14,10,9,4,8,11,16,26,7,10,13,14,5,4,13,20,10,2,8,4,4,1,0,5,6,1,7,9,8,5,7,3,17,14,8,4,4,6,5,5,12,6,8,11,1,10,8,13,2,0,11,7,2,1,5,5,1,5,2,3,4,6,7,4,2,5,4,4,3,5,5,4,5,5,2,4,13,4,2,10,9,10,7,4,2,3,2,5,3,7,4,3,4,9,6,4,10,4,4,6,7,9,4,14,6,3,15,10,4,2,4,6,2,5,5,3,4,4,5,3,5,4,4,0,2,3,7,5,10,10,6,7,4,3,5,1,11,8,11,16,12,12,17,7,16,7,9,17,12,15,10,8,5,6,5,6,9,2,10,5,4,3,3,6,2,11,0,1,1,11,3,7,6,5,1,9,2,3,6,2,6,3,0,4,5,8,12,30,6,1,12,15,18,17,14,8,20,17,7,10,7,0,2,12,5,6,10,12,15,17,2,7,9,10,15,7,7,1,3,5,4,1,1,2,9,3,2,3,9,5,7,14,7,5,4,3,5,8,4,6,12,3,20,4,3,14,6,20,4,3,4,7,7,9,6,9,3,8,13,9,1,7,5,3,7,6,8,4,4,2,9,6,2,9,3,9,3,7,9,2,8,7,8,6,8,22,8,4,15,13,15,5,11,2,12,4,11,7,11,13,4,8,5,4,5,4,21,5,6,4,6,10,6,16,4,10,14,11,17,11,8,9,6,6,24,2,12,24,6,2,12,3,5,4,13,10,12,4,5,3,3,6,8,12,14,10,11,12,9,11,5,3,11,2,4,2,8,2,19,13,3,5,2,11,4,14,5,8,11,7,8,3,7,10,6,9,3,6,24,2,17,5,10,7,18,19,13,7,16,17,13,12,6,0,4,13,15,14,3,4,16,3,4,13,12,2,3,14
5,5,4,3,13,7,4,5,33,4,2,15,25,13,31,10,10,1,43,55,17,45,14,30,81,36,6,37,44,11,16,78,27,34,63,97,16,8,15,17,9,63,85,24,2,13,2,83,5,10,1,17,3,1,9,6,24,19,12,45,13,5,0,10,8,5,2,4,6,14,9,2,65,10,152,40,18,36,39,20,3,70,7,43,10,75,40,85,19,12,1,24,114,44,28,91,5,5,1,1,527,53,13,30,8,48,15,23,102,6,12,25,1,26,21,17,128,20,18,1,105,33,1264,52,5,2,64,28,30,26,7,8,7,1,4,1,31,26,10,10,4,14,15,10,3,2,6,6,13,14,1,6,3,0,6,0,0,5,4,1,1,0,79,26,172,252,77,151,78,15,4,3,203,147,66,83,229,12,43,25,24,53,92,227,10,112,13,11,15,31,20,82,29,12,15,56,3,21,41,21,6,2,9,1,7,7,40,31,208,10,5,7,19,35,9,34,16,75,39,95,80,98,8,58,384,151,920,312,373,98,837,114,514,100,1766,1296,1138,281,40,47,380,49,388,93,89,6,48,75,17,8,2,16,86,70,12,0,0,2,3,3,15,2,1,6,1,4,3,6,2,2,5,2,3,3,4,5,3,1,2,4,1,2,1,3,0,1,0,3,2,0,3,2,0,2,4,1,1,1,2,1,2,1,1,3,6,0,20,13,8,19,3,2,4,3,1,3,1,4,5,13,1,0,0,5,3,5,0,4,7,5,2,0,3,4,1,1,82,23,35,21,65,30,57,15,8,3,7,2,1,2,5,5,9,8,8,20,1,1,12,11,66,30,34,87,17,12,46,107,5,11,4,4,2,2,1,2,1,5,1,0,2,20,4,4,6,27,20,28,8,0,6,1,6,5,2,3,5,0,36,6,4,3,2,1,2,0,4,1,2,2,5,3,4,2,2,25,4,9,6,5,4,8,5,6,5,2,7,12,16,12,35,17,2,1,0,3,1,4,1,4,6,1,1,0,1,3,5,0,9,6,0,3,2,1,1,3,7,30,4,0,5,7,19,1,3,4,0,0,4,0,3,0,5,2,2,0,2,2,2,0,7,6,24,13,32,20,5,68,13,3,0,6,73,13,6,26,1,3,2,3,11,21,9,4,12,1,2,3,8,1,3,1
0,2,1,0,3,7,0,5,4,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,3,10,8,0,0,0,0,44,0,27,2,0,0,0,17,0,1,0,1,0,1,2,0,0,4,1,0,0,0,0,11,0,0,28,3,1,0,1,0,0,11,0,26,11,23,5,4,4,0,0,0,5,4,12,0,0,0,14,0,25,0,0,0,0,1,0,1,0,0,2,0,3,0,0,1,0,16,18,40,0,3,3,5,5,0,0,0,0,0,8,0,0,0,0,0,1,0,25,0,9,0,0,1,1,1,0,0,0,5,1,5,0,3,2,0,0,0,1,3,0,0,0,0,0,10,14,3,0,1,0,0,0,0,10,1,0,0,4,0,0,4,7,0,2,16,2,12,0,0,0,2,0,0,0,0,0,4,5,0,2,0,1,0,0,1,0,4,25,0,0,0,1,2,1,0,15,0,2,2,11,0,3,18,1,3,1,11,5,10,0,10,0,0,0,0,4,3,0,20,0,4,0,1,0,0,0,1,0,4,0,8,0,1,0,5,0,0,1,2,0,1,0,1,2,18,4,0,1,0,0,3,6,2,0,0,0,0,0,5,11,8,8,13,3,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,1,1,5,3,3,5,0,0,10,0,0,17,26,2,1,0,0,0,1,0,5,0,14,0,0,0,0,5,0,0,1,0,16,0,0,1,0,0,1,0,1,1,0,0,1,0,0,8,0,0,0,0,3,11,0,2,0,6,0,0,8,9,3,8,2,22,0,0,0,0,0,13,0,1,0,14,2,0,0,0,7,0,1,0,4,2,5,3,0,1,1,4,8,0,2,0,1,0,0,5,4,0,0,0,0,0,1,1,4,0,1,2,0,0,6,2,1,30,1,0,17,1,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,23,3,10,0,1,0,3,0,2,0,1,0,2,0,9,0,0,3,2,37,34,0,0,1,0,24,11,0,0,1,0,0,1,0,0,0,0,5,0,0,0,1,3,0,18,16,0,6,0,0,0,0,2,0,5,7,0,3,0,3,0,5,0,1,0,0,3,1,0,0,0,2,10,2,0,9,1,0,0,0
2,6,0,1,3,3,7,6,10,12,0,3,1,1,0,0,0,0,1,0,0,0,0,4,4,1,3,6,1,0,2,0,1,0,2,3,0,3,2,0,2,2,4,0,0,1,0,3,0,2,2,2,0,5,2,4,1,5,2,0,2,1,3,3,2,0,3,1,8,0,0,1,5,1,0,0,2,0,0,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,5,0,0,5,2,0,3,0,5,4,0,0,2,4,0,2,4,1,0,3,5,1,4,2,2,2,1,1,1,3,0,5,3,0,0,1,2,0,1,7,0,0,0,3,4,1,0,4,1,2,1,0,2,0,0,2,5,0,2,1,0,6,3,1,3,0,0,8,8,1,0,2,2,0,0,0,1,2,3,1,0,0,2,2,1,5,3,0,2,1,1,0,2,1,2,1,0,0,0,0,2,0,3,3,0,1,3,0,0,0,3,0,0,0,0,9,3,0,8,2,0,0,0,1,2,1,0,0,1,1,5,0,2,1,0,0,0,0,5,8,1,3,3,3,1,0,1,10,7,12,9,0,6,1,6,0,3,0,2,0,2,1,4,6,0,3,0,4,0,8,0,0,6,2,0,3,0,3,2,3,7,2,1,3,0,3,1,4,1,1,1,0,2,2,0,1,2,1,0,0,0,1,7,0,0,2,1,0,0,1,3,3,0,3,1,3,0,3,1,0,1,0,1,2,10,1,0,3,0,0,4,2,0,0,0,1,3,0,3,2,1,0,0,0,0,0,0,2,2,0,0,0,4,0,5,1,2,0,0,2,1,2,3,0,3,1,4,0,0,8,2,1,2,0,1,0,0,2,1,9,1,1,5,0,3,0,0,0,2,4,0,0,2,0,4,2,3,0,0,2,0,3,5,2,3,3,5,1,1,4,3,5,4,0,1,1,0,2,0,3,1,11,1,2,0,0,4,1,3,0,1,3,1,2,2,8,1,2,2,1,3,0,1,0,0,0,0,1,0,2,1,0,0,1,2,6,2,6,0,2,3,0,3,2,0,8,3,1,0,4,1,0,4,10,0,0,2,5,2,0,2,0,5,1,6,4,0,7,13,2,6,5,0,4,0,2,1,3,1,10,1,0,0,2,0,9,3,3,1,0,1,1,2,0,0
0,0,3,1,1,0,0,2,0,2,0,0,0,0,0,0,1,0,3,4,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,24,0,0,1,0,3,1,3,1,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,1,0,0,0,0,26,0,0,3,15,59,43,0,5,0,0,17,2,8,1,72,0,0,3,15,9,0,0,7,0,0,0,0,0,0,0,0,9,1,0,4,0,3,0,0,8,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,0,0,1,0,4,3,0,0,0,0,0,1,0,1,1,1,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,5,0,4,2,2,1,2,0,0,1,1,0,0,0,0,0,2,0,0,0,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,6,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,7,1,0,2,5,0,1,6,0,11,0,8,0,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,4,3,1,11,8,0,3,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,16,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,3,17,0,7,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,7,0,18,0,0,0,0,0,2,0,9,0,0,1,0
7,1,2,3,2,0,0,2,5,1,0,2,1,1,4,0,5,0,0,0,0,4,3,0,16,0,0,1,7,0,0,7,0,4,2,0,0,2,2,1,0,1,0,2,0,5,1,0,0,4,10,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2,0,7,0,0,2,1,0,2,1,1,1,0,0,12,3,3,1,0,0,1,0,6,0,0,27,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,2,2,1,2,1,0,1,5,0,0,1,1,1,2,6,1,3,1,0,1,1,4,0,6,3,3,0,6,0,0,0,0,2,3,0,0,0,2,2,0,2,0,0,0,1,0,1,1,1,2,0,2,2,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,4,1,0,2,0,0,0,0,1,5,0,0,2,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,2,5,0,1,0,0,0,1,9,4,0,0,0,4,0,0,1,0,6,1,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,3,1,2,0,1,0,3,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,1,0,8,1,0,0,0,1,2,0,1,4,0,1,5,1,0,2,0,0,0,0,1,0,0,1,0,3,11,3,0,0,0,1,5,0,3,0,0,2,1,6,7,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,2,3,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,6,4,0,0,0,0,4,1,0,0,1,0,3,0,0,0,7,1,0,0,3,1,0,0,0,2,0,0,0,2,1,1,0,2,2,7,7,2,0,3,0,2,0,0,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51,34,58,34,19,38,64,27,33,28,14,35,14,10,22,18,57,34,7,8,22,9,10,20,43,35,45,74,29,42,46,28,13,14,50,39,19,15,7,26,19,19,33,36,15,17,13,24,24,32,13,8,10,9,28,15,17,11,22,7,21,21,33,20,31,28,22,42,39,71,44,39,25,8,21,20,8,14,16,21,19,11,11,11,8,12,28,12,16,10,1,4,6,6,17,4,63,23,10,14,23,8,59,49,40,5,27,15,54,24,45,28,134,75,55,45,25,20,29,33,13,34,10,11,14,5,19,5,44,32,38,50,17,25,35,24,62,91,18,15,29,25,19,20,22,46,17,28,10,20,12,22,22,31,42,36,12,26,34,44,21,35,11,8,15,6,14,13,20,6,13,18,6,4,16,9,6,1,0,4,2,3,4,3,11,9,1,8,4,3,6,4,17,27,14,11,20,36,31,25,24,29,41,48,40,27,28,20,3,6,15,7,5,3,8,12,7,10,18,11,14,5,25,45,12,7,1,11,3,3,5,18,6,29,6,12,13,4,7,2,37,11,29,26,47,31,39,30,43,39,38,58,26,51,53,41,16,23,19,23,15,10,18,22,12,3,14,21,5,31,6,17,15,11,14,13,4,7,7,8,5,13,11,8,12,15,9,27,21,32,16,31,20,11,32,58,18,21,36,37,38,42,26,41,10,14,13,11,14,18,20,8,15,10,19,7,10,11,19,14,11,26,28,23,23,25,23,40,19,19,13,28,14,20,15,19,5,5,2,6,6,2,6,5,5,15,7,4,6,15,8,9,14,11,14,4,30,15,11,9,2,10,2,5,12,10,3,7,28,38,72,59,64,16,35,15,22,27,15,14,3,11,9,4,12,16,25,12,14,25,23,18,33,29,16,5,17,27,24,10,10,5,21,20,22,14,11,8,27,14,16,33,19,9,30,17,40,22,21,15,8,10,26,37,24,42,27,17,18,22,17,14,15,14,19,22,34,44,35,50,14,21,21,35,14,30,32,14,18,4,17,32,43,20,30,22,17,20,30,13,26,42,31,27,18,22,24,39,19,19,25,21,35,9,37,23,48,33,25,23,17,27,27,22,21,14,13,16,4,0,5,4,5,3,17,18,44,71,15,23,11,26,16,9,49,25,20,44,22,30,36,45
2,9,0,5,2,0,5,5,3,6,1,3,1,2,3,0,10,4,0,2,6,2,2,9,1,2,4,4,4,2,0,6,2,2,0,4,1,3,5,3,0,1,2,0,4,0,4,4,1,1,2,0,0,4,4,3,9,9,3,4,3,1,11,15,3,5,1,1,8,3,4,3,0,2,3,1,3,2,0,0,1,4,3,3,2,1,6,3,1,3,1,1,4,1,10,5,0,1,6,5,10,2,2,0,4,2,1,0,2,2,8,4,13,19,1,7,1,2,6,3,4,8,6,3,13,1,8,0,6,8,9,4,18,3,21,15,22,10,2,5,15,26,6,3,2,13,3,2,0,1,1,2,18,8,4,17,6,16,10,26,4,8,6,5,2,0,2,4,0,3,2,7,3,1,3,3,4,3,2,6,3,2,2,3,6,4,4,3,0,6,8,1,6,1,2,2,2,9,1,2,0,3,0,19,6,7,5,0,3,7,4,10,4,11,4,2,2,5,4,2,2,4,0,5,14,5,2,5,4,9,6,4,6,21,8,3,3,12,6,3,5,6,8,3,3,2,13,2,6,4,55,9,6,21,10,2,21,4,34,14,24,11,2,15,5,2,17,3,2,1,12,4,6,7,3,3,12,22,2,3,1,0,8,5,5,7,18,22,3,8,11,7,14,4,11,27,6,14,7,4,0,5,6,9,18,13,7,12,10,2,9,8,17,4,4,3,8,5,15,2,6,0,6,33,14,41,8,2,6,10,9,2,1,3,13,6,0,30,4,10,0,7,4,7,9,17,22,15,12,2,4,9,3,3,3,5,8,1,7,8,7,6,2,2,0,2,3,2,0,0,2,1,0,5,9,3,6,12,1,2,6,9,14,3,14,3,5,8,8,15,14,13,11,2,3,13,1,11,19,2,10,6,12,6,17,9,0,27,75,134,7,16,10,17,8,15,20,10,12,6,4,3,15,7,3,8,2,18,12,13,0,9,11,19,8,7,12,4,3,4,9,5,6,4,2,8,9,8,44,1,9,3,17,6,3,3,2,0,3,5,1,6,6,16,4,31,13,4,4,10,6,8,15,22,9,7,25,22,25,6,11,8,16,1,22,1,13,2,4,23,10,3,6,14,15,20,27,29,8,26,34,8,4,9,7,4,8,20,60,26,50,26
23,12,5,1,1,13,12,19,10,10,1,11,17,5,11,1,3,5,3,9,16,30,4,2,5,4,5,5,6,8,11,4,4,5,13,4,5,9,7,2,2,8,3,10,2,7,10,9,8,22,5,25,7,11,7,17,9,8,6,9,3,4,6,7,34,11,6,19,11,8,32,2,24,9,9,22,9,8,11,11,5,14,5,11,3,32,22,3,20,6,1,3,11,4,4,4,2,6,3,7,3,11,13,29,4,7,4,5,0,13,16,14,41,7,20,9,7,1,4,4,6,32,5,11,3,6,3,0,12,5,3,1,7,13,22,5,2,17,2,3,3,13,0,3,3,0,1,3,4,0,7,29,7,3,10,8,6,8,14,5,2,6,6,4,1,2,5,2,3,4,2,3,4,3,5,4,5,0,3,1,3,4,1,7,11,0,12,9,6,3,5,6,3,11,4,19,14,10,9,9,5,16,12,18,8,6,2,9,6,15,31,7,4,19,21,3,2,0,0,3,9,1,9,13,3,3,4,0,2,4,6,4,2,23,4,11,26,3,6,4,7,6,9,12,8,11,23,6,28,18,2,21,2,13,24,13,2,23,18,7,3,3,12,4,8,3,9,1,9,24,10,10,19,14,8,22,3,14,2,5,0,5,3,13,12,0,16,10,4,32,19,11,7,11,13,23,26,10,10,10,36,15,3,12,22,4,16,15,19,10,16,2,17,15,4,10,9,18,4,9,10,4,20,27,17,14,1,5,16,0,3,4,7,5,1,6,13,13,7,10,2,6,8,7,7,9,12,9,5,28,10,17,25,12,21,13,12,10,13,6,10,14,2,5,0,3,0,9,12,17,29,13,6,4,34,24,29,7,15,4,15,20,5,2,15,24,9,6,8,8,24,20,23,18,2,4,13,1,2,4,34,19,24,27,9,5,7,19,11,23,49,30,25,10,25,9,13,10,18,11,4,14,4,20,10,21,11,1,10,20,65,80,23,22,16,6,9,26,7,10,15,45,16,11,29,18,41,35,10,8,6,10,11,10,9,4,7,15,6,3,5,15,19,2,22,12,4,5,13,11,13,6,18,26,13,13,12,2,20,28,8,16,32,20,10,15,26,24,7,19,11,16,11,10,12,5,6,32,29,1,8,28,8,8,20,0,16,10,10,4,14,7
