,weight
Scgb1a1,7.369305e-05
Epcam,0.9931164
Krt7,0.00023310396
Stmn2,0.00051487004
Cldn7,0.003514147
Spint2,0.00074015604
Krt18,0.00057730824
Clu,4.712084e-05
S100a14,7.648468e-05
Cldn3,0.00014214532
Spp1,3.8611128e-05
Plac8,1.1760196e-05
Bex4,3.5596335e-05
Mcpt1,1.0863052e-05
Igf2,4.8296417e-05
Fstl1,4.087212e-05
Areg,1.1719598e-05
Crlf1,1.0750335e-05
Rps28,1.1565777e-05
Id3,2.5556663e-05
Rab25,1.8957591e-05
Ctsh,1.8909e-05
Crb3,1.0847875e-05
Elf3,1.3868558e-05
Rpl13,7.12038e-06
Lsr,1.1263602e-05
Krt19,1.1801553e-05
M1ap,3.4576265e-06
Lmna,1.0012228e-05
Hmga1-rs1,5.9460267e-06
Cldn4,8.377226e-06
Car2,7.7628065e-06
Ctsd,8.576368e-06
Btf3,3.7289071e-06
Onecut2,6.5582562e-06
Hoxa9,5.017783e-06
Pvrl2,6.001178e-06
Tspan1,4.1600674e-06
Il33,2.740286e-06
Cd24a,3.3206447e-06
Arpc1b,4.116356e-06
Igfbp5,2.7886097e-06
Wbp5,2.7000178e-06
Rpl37,3.822655e-06
Tff1,2.5523477e-06
Ly6d,4.9041187e-06
Notum,3.1108389e-06
Slc25a4,4.34805e-06
Erich2,4.859874e-06
Malat1,1.4808019e-06
Btg2,2.9879718e-06
Eef1b2,2.1087926e-06
Foxq1,3.420477e-06
Vamp8,2.6098016e-06
H2afj,1.4788612e-06
Tdrkh,1.0772375e-06
S100a6,1.8900517e-06
Rps11,3.1429668e-06
Ugdh,3.4446884e-06
Myl6,1.8712165e-06
Tsc22d1,3.604897e-06
Ctsl,4.31119e-06
Gsr,1.1724903e-06
Pabpc1,2.0963823e-06
Sftpc,1.4238193e-06
2010107E04Rik,3.9269744e-06
Rpl41,2.2368463e-06
H2-Aa,1.9372733e-06
AY036118,1.2838465e-06
Actn1,1.2498294e-06
2610001J05Rik,1.924701e-06
Sftpb,2.1468131e-06
Ptp4a1,1.8367465e-06
Sdc2,3.7541488e-06
C530008M17Rik,1.1956201e-06
Olfm5,1.0773452e-06
Rnf181,9.126785e-07
Cldn18,1.4874939e-06
Klf5,9.949135e-07
Sept7,1.1316256e-06
Dstn,9.938486e-07
Cited4,1.4502106e-06
Tesc,2.0205484e-06
Fkbp14,1.432409e-06
Tspan3,1.1252397e-06
Rpl35a,1.3995157e-06
Ckm,8.683386e-07
H3f3a,1.3093853e-06
Gnas,1.6177203e-06
Syngr2,8.6704944e-07
1700049E15Rik,9.2134326e-07
Lamp3,1.027086e-06
Cdc42ep5,6.780064e-07
Gap43,1.3891438e-06
Ifitm2,7.845407e-07
Maff,1.2429495e-06
Fkbp1a,6.636256e-07
Rassf8,8.099389e-07
Fkbp4,1.9518643e-06
Atp5b,6.4590523e-07
Spink13,7.2375565e-07
Ehf,1.6440359e-06
Cyth2,6.689855e-07
Rpl35,9.062594e-07
Gltscr2,1.1179139e-06
Cmtm8,1.2248038e-06
Atp6ap1,8.2500816e-07
Eef2,1.1342024e-06
Actb,6.3771944e-07
Itm2b,8.452689e-07
Eif3f,9.956443e-07
Asb4,8.9330655e-07
