,score
Scgb1a1,144.92120134329096
Epcam,126.85144129719275
Krt7,112.7687681653314
Stmn2,106.31196265511767
Cldn7,105.38747888982688
Spint2,104.69271730718158
Krt18,96.31120466015551
Clu,95.53388573714837
S100a14,82.95734001855979
Cldn3,78.32050495882582
Spp1,64.63784782958751
Plac8,58.148172642978395
Bex4,57.91615150514578
Mcpt1,55.087384641343085
Igf2,51.773419278401704
Fstl1,48.35371830054842
Areg,43.73983387750464
Crlf1,43.718616852018265
Rps28,43.64936674958061
Id3,43.463543693042205
Rab25,40.598396523552864
Ctsh,38.46731088906081
Crb3,35.581695292290405
Elf3,35.46463689942978
Rpl13,34.734246821985955
Lsr,34.1257804481169
Krt19,34.05774946433063
M1ap,33.860360137685326
Lmna,30.28439101411254
Hmga1-rs1,29.814272291121913
Cldn4,27.117281279979302
Car2,26.68204276777052
Ctsd,25.665658614725675
Btf3,25.164036219888285
Onecut2,25.136536055116277
Hoxa9,24.48620623790941
Pvrl2,23.90680811291909
Tspan1,23.551537480392444
Il33,22.64095733511242
Cd24a,22.567021858611717
Arpc1b,22.561775446737926
Igfbp5,21.754768487525677
Wbp5,20.013742486850557
Rpl37,19.714319342600234
Tff1,19.428817952264467
Ly6d,18.773697902088763
Notum,18.58137747881961
Slc25a4,17.96818219129653
Erich2,17.68340096530352
Malat1,17.612822141485076
Btg2,17.227205160999834
Eef1b2,16.906606864405532
Foxq1,15.903651270837177
Vamp8,15.469404758233953
H2afj,15.152017275110206
Tdrkh,15.115074248712459
S100a6,15.00891610925777
Rps11,14.960081516092856
Ugdh,14.75508393230877
Myl6,14.709610730320678
Tsc22d1,14.363259858830402
Ctsl,13.954986599715706
Gsr,13.899267589229408
Pabpc1,13.873604378625124
Sftpc,13.778594454083365
2010107E04Rik,13.618715153962654
Rpl41,13.25258303929112
H2-Aa,12.931825221798238
AY036118,12.710580173317574
Actn1,12.6331615253888
2610001J05Rik,11.807994330311011
Sftpb,11.28608341088405
Ptp4a1,11.25060121953817
Sdc2,11.091856177579077
C530008M17Rik,11.06080185688896
Olfm5,11.006440685134676
Rnf181,10.956279993239143
Cldn18,10.92503389506296
Klf5,10.363027536361404
Sept7,10.246861584718292
Dstn,10.142619621756364
Cited4,10.11176599692492
Tesc,9.968668159330267
Fkbp14,9.915506770026752
Tspan3,9.733700410179853
Rpl35a,9.717502950645548
Ckm,9.717418152338634
H3f3a,9.634842101215453
Gnas,9.382468197267814
Syngr2,9.150589259051069
1700049E15Rik,9.106693473613115
Lamp3,9.105827303014262
Cdc42ep5,8.931173840403625
Gap43,8.92751802125449
Ifitm2,8.899929648899064
Maff,8.748422497706867
Fkbp1a,8.68868857949091
Rassf8,8.658657109880057
Fkbp4,8.598876846804462
Atp5b,8.574489582628718
Spink13,8.30134518627504
Ehf,8.245660847291544
Cyth2,8.161888150007522
Rpl35,8.068431980896367
Gltscr2,7.953671666150678
Cmtm8,7.925711602104468
Atp6ap1,7.686412061268259
Eef2,7.606807561171793
Actb,7.5039210335353665
Itm2b,7.435710905297481
Eif3f,7.299393103020936
Asb4,7.212191324321364
Tomm20,7.083940720200715
Sox17,6.937558491365461
Sumo1,6.6623504345932485
Eif6,6.649690724434577
Actr3,6.535054091670859
Sumo2,6.394108922070336
0610011F06Rik,6.276903941508097
Slc34a2,6.188221553171078
Nt5c,6.12642386175257
Rbpms,6.114020825500204
H2afy2,6.033698280258213
Snrpe,5.96476047920336
Pitpna,5.927043415912232
Mecom,5.7594565027998925
Gcnt1,5.756636085725247
Sdc4,5.6764730822202045
mt-Nd2,5.635387369224821
Far1,5.631286474393558
Ahnak,5.610882280474445
Rpl5,5.329715290833312
Ak2,5.273783110413897
Fosb,5.247733281471517
Cited2,5.23453703500794
Ppib,5.146958545865091
Csnk1e,5.142260328011452
Slitrk6,5.110749718972785
Lyz2,5.094460478506422
Atp5h,5.087379351770329
Jund,5.068965939873843
Hoxa11,4.932722223235169
Naa20,4.926019745719919
Fdx1,4.919956795180029
Bzw1,4.901018982090003
Mbnl1,4.889658115785703
Aldoa,4.84229439146661
Tram1,4.797964719742241
Mrpl35,4.768515735704042
Cd63,4.766823664605815
Psmb2,4.733772333422723
Brd7,4.491180053331974
Surf4,4.480295529139877
Nudt4,4.456903581141896
Egfl6,4.45310540619766
Pfdn2,4.433236285486512
Cd81,4.415027982128816
Tubb5,4.3885295747172295
Slc25a5,4.387057059769962
Cbr1,4.380692356700177
Smim24,4.351216705938827
Degs1,4.339592358539875
Pebp1,4.29185160188591
Cct2,4.2706067999860045
Ddrgk1,4.208574063197307
Maf1,4.202790732469729
Slc37a1,4.182598494252233
Arpc2,4.1654734592530085
Gemin7,4.153993498419981
Atp5e,4.140355885391939
Ywhag,4.1336081484173315
Ywhae,4.1222080161765025
Tm9sf3,4.073700719921957
Mgst1,4.070927245236047
Med21,4.036946429405181
Rab6a,4.030406421453642
Ube2s,4.0281541303792725
Atp5j,4.0183928806160845
Psmc4,3.9675582611041413
Scaf11,3.9639521949723435
Tkt,3.9421302525167237
Ndufb8,3.8748219017786987
Arl1,3.8483823940803052
Lap3,3.8412588023101515
Eif4a1,3.7075093158495536
Mycbp,3.686014295931908
Calu,3.637381543297974
Smarca5,3.626000683044222
Strap,3.6200707840131967
Polr2m,3.5443617671772856
Stard3nl,3.5101221953233073
Hnrnpk,3.5031990980470176
Fus,3.4767518028731104
Pdlim7,3.4467204436811065
