Term,Adjusted P-value,Adjusted P-value using all genes
Macromolecule Biosynthetic Process (GO:0009059),0.00014894191174193172,0.00013257966363572083
Cytoplasmic Translation (GO:0002181),0.00014894191174193172,0.0817198405090016
Translation (GO:0006412),0.000636866191689994,0.0030730077762448
Tight Junction Assembly (GO:0120192),0.0009442050244745524,0.250112602281936
Positive Regulation Of Peptidase Activity (GO:0010952),0.0009442050244745524,0.0039781377082753
Peptide Biosynthetic Process (GO:0043043),0.0017100338915346,0.0039781377082753
Gene Expression (GO:0010467),0.0018086015686789,0.0006718487037881925
Bicellular Tight Junction Assembly (GO:0070830),0.0076413508323556,0.3236647228036446
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0083136368964397,0.3236647228036446
Regulation Of Cell Population Proliferation (GO:0042127),0.0083136368964397,0.1403053511572612
Apical Junction Assembly (GO:0043297),0.009590445302182,0.2605214293888779
Cell Morphogenesis Involved In Differentiation (GO:0000904),0.0129013111199034,0.3974823854770168
