,weight
Sftpc,0.9940708
Clu,0.0037842328
Sftpb,0.00029958365
Krt19,0.00021414769
Lyz2,0.0002035651
Car2,9.522569e-05
Klf5,2.8173583e-05
Cldn18,6.114802e-05
Rpl37,0.00012411446
Eif4a1,1.3648004e-05
Krt20,2.7801569e-05
Vcp,2.04577e-05
Itm2b,1.6838287e-05
Epcam,2.1690616e-05
Rpl35a,6.4613705e-05
Aldoa,1.260033e-05
Ager,4.5928184e-05
Mcpt1,5.491411e-06
Cldn4,2.9215373e-05
Onecut2,3.4849607e-05
Pgk1,6.8077547e-06
Elf3,5.7071584e-06
Rpl13,4.955773e-05
Hp,1.0170646e-05
Platr10,2.6503192e-06
Marc2,5.271568e-06
Foxq1,5.710588e-06
Hnrnpk,5.5542187e-06
Tkt,5.0736903e-06
Cd24a,9.1572265e-06
H2-Aa,1.7853243e-05
Prdx5,5.46236e-06
Cyba,1.0441618e-05
Ctsa,6.0396246e-06
Serpini1,3.8156336e-06
Rps11,2.5113775e-05
Atp5b,4.2968536e-06
Eef1b2,1.1833268e-05
Rpl41,3.4493918e-05
Pdia4,5.4934017e-06
Wls,2.0532902e-06
Maged1,3.747389e-06
Stmn2,3.2121695e-06
Atp2b1,2.907901e-06
Tff1,3.1291206e-06
Ugdh,8.513005e-06
Cldn7,2.1574062e-06
Sox17,5.0273934e-06
Gsr,5.7041657e-06
Tm9sf3,4.815962e-06
Ppp1cb,2.7960186e-06
Hspa5,5.560664e-06
Krt18,2.365735e-06
Hmga1-rs1,3.1169748e-06
Cd81,5.4781244e-06
Ssrp1,2.639498e-06
Actr3,2.050742e-06
Crlf1,3.4708821e-06
Slc34a2,8.230261e-06
Eef2,4.4175335e-06
Prdx2,2.097981e-06
Rps18,6.742477e-06
Ier5,2.1365302e-06
Rpl5,6.502587e-06
Hras,2.2054987e-06
Sox4,4.4362278e-06
Hnrnpm,2.2751835e-06
Ifi27,6.991443e-06
Lamp3,6.293022e-06
Cxcl5,2.414605e-06
Sfpq,2.132363e-06
Hnrnpa2b1,2.8492677e-06
Fkbp4,3.3355407e-06
Eprs,1.3671315e-06
Cbr1,2.1244691e-06
Smarca5,2.3254006e-06
S100a14,1.8903785e-06
Ehf,2.0912553e-06
Pvrl2,2.1229584e-06
Plac8,1.8326721e-06
Sumo1,1.7922526e-06
Id3,2.0014438e-06
G3bp2,1.9418721e-06
Spint2,2.1295589e-06
Il33,1.2108152e-06
Acin1,1.3325053e-06
Prpf40a,2.2120605e-06
Akirin2,1.344203e-06
Rpl10-ps3,1.6514061e-06
Ifitm2,2.6300504e-06
Btf3,1.9217632e-06
Ly6d,1.9386139e-06
Ctnna1,1.0555914e-06
Snrnp70,1.1513542e-06
Lsr,2.87259e-06
H3f3a,1.4141601e-06
Cited2,1.977651e-06
Sumo2,1.0851577e-06
Prelid1,1.7132828e-06
Rpl35,1.734679e-06
Ppp2r1a,1.7272473e-06
Ctsh,2.5119894e-06
Trim28,1.8348019e-06
Anxa7,7.883743e-07
Spp1,2.0532e-06
R3hdml,1.2823626e-06
Rsl1d1,9.018143e-07
Krt7,1.4096896e-06
Rps28,9.708976e-07
Prpf38b,9.558746e-07
Slc45a3,4.9243533e-07
Sbds,1.1596189e-06
Ier2,7.766877e-07
Stard3nl,6.5044134e-07
S100a6,1.3890102e-06
