,score
Sftpc,124.50598385092084
Clu,70.65259156661601
Sftpb,61.831542269006974
Krt19,51.3081430536095
Lyz2,48.04709973006058
Car2,42.738152830343374
Klf5,33.14549195262943
Rpl35a,26.735419890391068
Rpl37,25.997492455197733
Cldn18,25.428610162709465
Onecut2,23.618017480737596
Epcam,22.913125714156596
Rpl13,20.189629728075275
Krt20,19.92234123436495
Aldoa,19.844974608840996
Ager,18.584969336231048
Foxq1,18.169144935219474
Itm2b,17.59323914229046
Mcpt1,17.28938937060672
Pgk1,17.052288978189974
Eif4a1,16.31667981604694
Hp,16.2367914864915
Tkt,16.04747654513087
Rpl5,15.732531361084018
Lsr,15.367271395942788
Tm9sf3,14.700937274676146
H2-Aa,14.62587874710972
Cd81,14.25807376797574
Rpl41,13.92925812068659
Hmga1-rs1,13.507123181028396
Cyba,13.04696738816983
Vcp,13.00737665651052
Rps11,12.870875894927309
Cldn4,12.590013701208306
Sox4,12.58848119540615
Cd24a,12.347425764144255
Atp2b1,12.272101787152314
Platr10,12.089770490115242
Serpini1,11.982366417330645
Ifi27,11.970748229007908
Pdia4,11.85067154025018
Id3,11.789647935615799
Elf3,11.761042023402258
Marc2,11.724967461772486
Ssrp1,11.686605674990119
Eef2,11.405965734661644
Rps18,11.396535822234464
Eef1b2,11.027761411848282
Hnrnpk,10.87840981062213
Cbr1,10.877553962939992
Spint2,10.761273612203635
Ugdh,10.661110772242457
Crlf1,10.290651698146188
Hspa5,10.255152392014429
Ctsa,9.997552078215813
Ly6d,9.605263065471991
G3bp2,9.228815438606166
Slc34a2,9.225778931846543
Prdx2,9.21036378503403
Prdx5,8.884694902386004
Cldn7,8.880287300588995
Rpl35,8.796913261209081
Lamp3,8.757709429138067
Actr3,8.737633291304876
Krt18,8.665030028606338
Stmn2,8.379298805920483
Egfl6,8.023269207564276
Ppib,7.9452887395881735
Ehf,7.931284834181581
Atp5b,7.86307374994789
Cxcl5,7.781136686194738
Plac8,7.736185844022206
Trim28,7.694937543726981
Hras,7.561093609919368
Slc45a3,7.216566696137653
Btf3,6.671812381423953
Ctnna1,6.607220660268742
Ppp2r1a,6.576667824851961
Fkbp4,6.5698477175708785
Rps28,6.44135170326116
Sfpq,6.432054829662667
Tmbim1,6.27848665143425
Ifitm2,6.275151556800362
Matn4,6.270974672523203
Mecom,6.251795163670127
S100a14,6.206532024465126
Serpinb6b,6.204821177361975
Tomm20,6.049076974568503
Grina,5.852649546373503
Sox17,5.7762276462269195
Pvrl2,5.7527450313817345
Fuca1,5.721213845430946
Mat2a,5.514125972366443
Maged1,5.472219377307311
Ctsh,5.466221240452456
Hnrnpm,5.442102802969071
Siva1,5.421187095513301
Psmc4,5.402030337332379
Slc7a4,5.398123849200779
Smarca5,5.32204269931933
Atp6ap1,5.059316466483319
Sumo2,4.985633549198114
Akr1b3,4.919881031784484
Aldob,4.848868046496467
Mycbp,4.78956991053695
S100a6,4.738073235204091
R3hdml,4.700689175844726
Acin1,4.693374053677283
Shisa2,4.655036109733252
Hnmt,4.589731123123934
Myb,4.5458937412836535
Prpf40a,4.402115878885017
Prelid1,4.342258476795168
Sdc4,4.3143170315835455
Tff1,4.270133651275784
Ppp1cb,4.260981027104837
Spp1,4.233711295456398
Eif4e,4.21501754688801
Psmc2,4.131051033045961
Hnrnpa2b1,4.118453556377723
Stard3nl,4.090360975258576
Gsr,4.048281375233381
Traf5,4.034697254553442
Anapc5,3.9862134706984222
Il33,3.9553658294417358
Rsl1d1,3.9327497186047764
Nptn,3.876222728074334
Iscu,3.8286283473373706
Akirin2,3.8124713055697605
Ier5,3.787391262600513
Sbds,3.7665347155515727
Tspan1,3.752971079563832
Mafg,3.7402474108018593
Trpm5,3.6752978556876243
Carhsp1,3.6419651213583264
Wbp5,3.574242306399228
Atp5e,3.561428675093539
Snrpe,3.5270040027017426
Nucb1,3.500713227956796
Atp1b3,3.467636714834877
