Term,Adjusted P-value,Adjusted P-value using all genes
Macromolecule Biosynthetic Process (GO:0009059),6.687970396614262e-07,0.002001758969672
Cytoplasmic Translation (GO:0002181),6.687970396614262e-07,0.1826572854881639
Translation (GO:0006412),4.961410422124517e-06,0.0180592738090375
Peptide Biosynthetic Process (GO:0043043),5.015736085553446e-06,0.0141511996789464
Gene Expression (GO:0010467),6.185267710931311e-06,0.0129725726745596
Positive Regulation Of Peptidase Activity (GO:0010952),0.0050764513172379,0.0141511996789464
Positive Regulation Of Amide Metabolic Process (GO:0034250),0.0051016154324862,0.1278549472424092
Protein Stabilization (GO:0050821),0.0172820198585943,0.2324331294189097
Negative Regulation Of Apoptotic Process (GO:0043066),0.0220093715614423,0.1142407112927253
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.0265913684295758,0.3663722295697449
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0313086008216199,0.4474848022536893
Ribosome Assembly (GO:0042255),0.0402337768499107,0.4474848022536893
Positive Regulation Of Protein Metabolic Process (GO:0051247),0.0428370609045509,0.4308446960206987
Tight Junction Assembly (GO:0120192),0.0428370609045509,0.2116886582055866
Apical Junction Assembly (GO:0043297),0.0428370609045509,0.2173995056621017
Regulation Of Translation (GO:0006417),0.0428370609045509,0.1032116364997876
