,weight
Rhox5,0.00010049768
Rbp4,0.9833673
Apom,0.0051099514
Ctsh,0.00041208073
Ttr,0.0013184514
Trap1a,1.1229629e-05
Spink1,9.266928e-05
Apob,0.0005462589
S100g,0.0023277223
Amn,0.0010975696
Apoa1,0.0023562144
Lgals2,0.00033805618
Cubn,0.0003846284
Fmr1nb,5.063157e-05
Afp,0.0005301905
Apoa2,0.0002145554
Apoe,4.086185e-05
Apoa4,0.00016327434
Lgmn,0.00016190688
Folr1,7.982757e-05
Cotl1,2.0517631e-05
Slc2a3,1.9275283e-05
Mt2,5.996425e-05
Clic6,3.2129505e-05
Ctsb,2.8085922e-05
Mt1,6.330052e-05
Dab2,6.8349924e-05
Apoc1,6.176367e-05
Emb,9.277667e-06
Ctsl,2.6345511e-05
Cd63,7.9404235e-06
Spp2,5.9631722e-05
Cldn7,5.277365e-06
Sepp1,1.3499286e-05
Cyba,1.4985117e-05
Car4,9.573177e-06
Tmem37,1.6001275e-05
Tdh,2.9575553e-05
Nrk,3.9736857e-05
Slc16a1,1.1969438e-05
Atp1b1,2.2836439e-05
Ctsz,1.0718882e-05
Car7,2.2006685e-05
Fgb,1.265997e-05
Aldob,2.1796459e-05
S100a1,1.4773025e-05
Gldc,7.535622e-06
Cldn6,2.7228625e-06
Pdzk1,1.1114528e-05
Cited1,7.0435053e-06
Npl,1.2766797e-05
Mttp,1.0306508e-05
Ifi30,1.4830916e-05
Rpl8,5.7721004e-06
Slc2a2,2.1548463e-05
Slc13a4,1.7859345e-05
Psph,8.703202e-06
Morc4,1.0132207e-05
Pcbd1,3.1473392e-06
Slc39a5,5.6516437e-06
Ezr,4.5040188e-06
Gm42418,4.2473416e-06
Atp6v0b,6.935166e-06
Trf,6.0624157e-06
2210011C24Rik,5.2191754e-06
Fxyd2,1.1801368e-05
Ybx1,3.7181924e-06
Smlr1,7.308813e-06
Pla2g12b,4.745325e-06
Ctsc,5.860767e-06
Vamp8,4.3515374e-06
Gstm1,4.0447644e-06
Fabp5,6.247542e-06
Anp32a,3.929157e-06
4933402E13Rik,3.5212138e-06
Mfsd1,5.1546326e-06
Lrpap1,2.5925947e-06
Ptma,2.8319314e-06
Myo6,2.9204002e-06
2610528J11Rik,3.6535162e-06
Cltc,2.791799e-06
Aqp3,4.0721243e-06
Gipc2,2.3266832e-06
Creb3l3,2.9003743e-06
Npm1,1.9175243e-06
Podxl,2.930561e-06
Stx7,2.739305e-06
Rps2,2.3839998e-06
Palm3,2.808082e-06
Rplp0,2.6401435e-06
Tmem150a,3.4071636e-06
H3f3a,3.4082557e-06
Gcat,3.92752e-06
Ftl1,2.0555733e-06
Ifitm2,1.3616487e-06
Bst2,1.6929307e-06
Prss8,1.5557666e-06
Tmsb10,3.1643074e-06
Slc9a3r1,2.130053e-06
Dpp4,1.8926756e-06
Hnrnpa1,2.0498728e-06
Ddt,2.7140065e-06
Slc7a7,1.9604338e-06
H19,2.4762787e-06
Hmgb1,1.3540616e-06
Stx3,2.3635735e-06
Rnase4,1.8040016e-06
Gpx3,1.8953796e-06
Reep6,2.1941144e-06
Cndp2,1.5778223e-06
Gng12,1.6956275e-06
Eif5a,1.0784325e-06
Fth1,1.3449807e-06
Dbi,2.3742798e-06
Tmprss2,9.970447e-07
H2afz,1.4249531e-06
Cstb,1.3514776e-06
Serbp1,9.1084e-07
Stard10,1.2878609e-06
Cib1,1.1488769e-06
Gcsh,9.105221e-07
Peg10,2.0249095e-06
Chchd10,1.0756191e-06
Morf4l2,1.2044824e-06
