,score
Rhox5,180.25524684980203
Rbp4,176.25705628050176
Apom,175.30315937845242
Ctsh,173.1668084997605
Ttr,171.93624256012794
Spink1,170.86261168050945
Trap1a,169.7022809022684
Apob,169.05023871582247
Amn,168.09891322727367
S100g,167.82882511286277
Apoa1,164.96083217443004
Lgals2,161.34086677542345
Cubn,160.5278527609278
Folr1,158.23018629771744
Apoa2,157.7688413842267
Apoe,157.56098959513866
Apoa4,156.2182657571995
Lgmn,155.35671607686305
Afp,154.42513778581753
Fmr1nb,153.54162758585625
Dab2,149.66656614971185
Slc2a3,149.43851286976545
Mt1,147.70845354283196
Mt2,147.4248094214777
Cotl1,146.6863625308608
Cldn7,146.19504252591256
Clic6,145.99528769322774
Ctsb,145.9049856063524
Ctsl,145.2462117626889
Emb,144.54545475118823
Sepp1,144.16120529828987
Tdh,143.9772197953511
Apoc1,141.21586939012877
Atp1b1,138.62975392164026
Cd63,138.39554839189165
Slc16a1,137.85995486765975
Spp2,137.5186264429274
Car4,137.45397760393982
Car7,137.16943434609067
S100a1,135.5598339495251
Nrk,135.33764458630833
Tmem37,134.89293789024367
Cyba,132.79894741925273
Ctsz,132.425450362249
Cldn6,131.82707043807304
Gldc,130.74972320378237
Ifi30,130.65775996315222
Fgb,130.56524221460634
Aldob,130.2909319287472
Pdzk1,129.22451496718156
Atp6v0b,126.71468719514908
Slc13a4,126.67190880914701
Npl,126.26361140842397
Morc4,125.73482330808064
Cited1,125.57028656913616
Pcbd1,125.3713733930157
Slc2a2,124.3451966056698
Ybx1,123.62166609299011
Mttp,122.581913593108
Rpl8,120.37395077953312
Ezr,120.32193873420583
Ctsc,120.26115501166039
Vamp8,119.90922618050357
Gm42418,119.81515926827981
Fabp5,118.56751835854058
Fxyd2,118.07268163805922
Slc39a5,117.93547556197443
Smlr1,117.88579309383256
Psph,117.44191735635756
2210011C24Rik,116.2792566443315
Trf,115.80751162465171
Aqp3,115.52531911077948
4933402E13Rik,115.52203244166063
Mfsd1,114.76375606386439
Myo6,114.31406217187613
Npm1,114.20276471025436
Ptma,113.34714972782311
Stx7,112.95160032497995
Pla2g12b,112.67472651691298
Gstm1,112.46479259380061
Cltc,111.67139488778324
Hnrnpa1,110.63833309582347
Rps2,109.76962600270916
Podxl,108.46914766274526
Anp32a,107.99004815284101
Palm3,107.77487747924182
H3f3a,107.60049608671446
2610528J11Rik,107.01347977578077
Creb3l3,106.52986367511883
Lrpap1,106.34093753603395
Ftl1,105.9609181145722
Tmem150a,105.9126959143077
Rplp0,105.34771066154958
Tmsb10,105.07808979565526
Gcat,104.63041302453809
Ifitm2,103.46247917722488
Stx3,103.38691490129249
Gipc2,102.8013323645385
Prss8,102.70649053138723
Bst2,102.21960037272297
Cib1,102.09829963880969
Slc9a3r1,101.47314258446106
Slc7a7,101.25545839085767
Ddt,100.10589101324534
Dbi,100.07639106296776
Eif5a,99.97359602169118
Hmgb1,99.22591649651879
Fgg,98.73938592426616
Fth1,98.0242678669551
Peg10,97.9448542479207
Gpx3,97.6463311675678
Soat2,97.51141834114766
Ppia,97.45038162568548
Chchd10,97.35666880594617
Cndp2,97.222339047991
Dpp4,96.76920389878948
Rnase4,96.49599878938506
Reep6,96.34259596985565
H2afz,96.27298412042799
Gcsh,95.82567370416807
H19,95.56658914471097
Rpl14,95.46593781065256
Tmprss2,95.4594425881534
Stard10,95.14337485175469
Gng12,94.54356676430307
Morf4l2,94.32623633257221
Serbp1,94.18288139191823
Cstb,92.54640559706878
Marcksl1,92.38186233427946
Rbm47,91.97851967357985
Txndc17,91.25207104881272
Rpl13,90.31648354274206
Apoc3,90.08295407456919
Xlr3a,90.01916310068322
Sdc4,90.00557093072156
Rps5,89.43897702240345
Tcn2,89.15956860292967
Hsp90ab1,88.8938917059323
Ranbp1,88.83753912128887
Hnf4a,88.64790932284
Itm2b,88.25260652163574
Cystm1,87.48611526987575
Fabp1,86.6287539230685
Rpl12,86.38374063053412
Atp1a1,86.09574760100355
Rab4a,85.81073482527181
Eno1,85.71691434150658
2810417H13Rik,85.49404069437189
Vil1,85.35675524390372
Sgk3,84.9100185376904
Rps18,84.8883662755777
Renbp,84.80504637364103
Nostrin,84.64150488378147
Dgat2,84.35191070775741
Lamp1,84.32151657697072
Commd4,84.30143933516666
Pkm,84.23050381596126
Cldn2,83.96502124022953
Rpl10a,83.8531476975381
Neu1,83.84569896002357
Dusp9,83.70430850490455
Spint2,83.64348048833426
Ran,83.21476022882493
Atp6v1e1,83.20440125837241
L1td1,82.66212199057861
Snx3,82.63997431161287
Rrbp1,82.36734882509423
Rps3,82.15055677739666
Gm8730,81.89890613332221
Rpl26,81.5852108787482
Amot,81.53005120223472
Aprt,81.52368050138301
