,score
Rhox5,125.28954025876493
Rbp4,124.61581840665049
Apom,123.22013937343988
Ctsh,121.47591846682953
Ttr,120.96999791938825
Trap1a,120.03393524336663
Spink1,119.64090915419358
Apob,118.42458705741117
S100g,118.25734847044
Amn,117.1521982278886
Apoa1,115.10210559034226
Lgals2,113.13808700823228
Cubn,111.73902144566054
Fmr1nb,110.93969445262886
Afp,109.78538373140786
Apoa2,108.13901407085669
Apoe,107.68990989433925
Apoa4,107.6447440124838
Lgmn,105.9884059414074
Folr1,105.7260525010584
Cotl1,105.28031202548608
Slc2a3,103.11001747969594
Mt2,103.0173888391335
Clic6,102.19351508498671
Ctsb,101.51024349139657
Mt1,101.3224656080804
Dab2,100.87813409075817
Apoc1,100.69320247018948
Emb,99.60416809503928
Ctsl,99.35822801029886
Cd63,98.72018041895195
Spp2,98.39221162434691
Cldn7,98.06619170881673
Sepp1,96.7960329460652
Cyba,96.69360540687865
Car4,96.53897670380104
Tmem37,95.7723955348166
Tdh,95.73304906187145
Nrk,95.55178157841358
Slc16a1,94.77708205130031
Atp1b1,93.67977425984635
Ctsz,93.43845011955074
Car7,93.4344883251074
Fgb,92.52387992243405
Aldob,92.27839856525172
S100a1,91.28870010790446
Gldc,90.29518736484061
Cldn6,90.08427390220591
Pdzk1,89.68968213989224
Cited1,89.37319542512178
Npl,87.90535910218668
Mttp,87.25274944833167
Ifi30,87.20016536181888
Rpl8,87.08569720484448
Slc2a2,86.83082966822388
Slc13a4,86.71372930855992
Psph,86.43102553018099
Morc4,86.2867915756464
Pcbd1,85.15143960358348
Slc39a5,84.86433656819825
Ezr,84.69844990699195
Gm42418,84.23587364779644
Atp6v0b,84.02078631927091
Trf,83.28684249564529
2210011C24Rik,83.17714443925254
Fxyd2,83.03098294477778
Ybx1,82.11399670689995
Smlr1,80.66107181896534
Pla2g12b,80.56453240748897
Ctsc,80.07687489025464
Vamp8,80.00353990660655
Gstm1,79.73553172291678
Fabp5,79.05630328561189
Anp32a,78.95014822606898
4933402E13Rik,78.5869903841579
Mfsd1,77.42390993070111
Lrpap1,76.82275494502464
Ptma,76.77565273105738
Myo6,76.72213162075226
2610528J11Rik,76.38353360945375
Cltc,76.19738219823137
Aqp3,75.9582324626681
Gipc2,75.4768350247132
Creb3l3,75.42793633035596
Npm1,75.1423041048232
Podxl,74.80801753610295
Stx7,74.61582546835561
Rps2,74.56789932978425
Palm3,74.5576855573206
Rplp0,73.90275730787674
Tmem150a,73.26259098492966
H3f3a,72.79600128673451
Gcat,72.46333469418475
Ftl1,72.42029583955396
Ifitm2,72.07771699260631
Bst2,71.5725460287315
Prss8,71.54594689159798
Tmsb10,70.3464925249309
Slc9a3r1,70.17079739181855
Dpp4,70.08011219984785
Hnrnpa1,70.04077162058425
Ddt,69.57132492224908
Slc7a7,69.36306084091414
H19,69.25708416341962
Hmgb1,67.98840916389011
Stx3,67.709466310632
Rnase4,67.68703061070656
Gpx3,67.21872304996951
Reep6,66.9378919207022
Cndp2,66.93461670407356
Gng12,66.81773517146205
Eif5a,66.67243755744771
Fth1,66.44524829443536
Dbi,66.3357079105779
Tmprss2,66.23973473243583
H2afz,66.00072446065268
Cstb,65.83521073634832
Serbp1,65.75170682059084
Stard10,65.63381616115687
Cib1,65.6211033544325
Gcsh,65.49216257534157
Peg10,65.36698957070514
Chchd10,65.26293305975014
Morf4l2,65.22294883786869
Ppia,65.01474529168456
Fgg,64.86204982897004
Dgat2,64.82838303072381
Txndc17,64.75589172551794
Itm2b,64.24323230655608
Soat2,63.73868121701088
Rbm47,63.70591333888346
Rpl13,63.56720056728089
Rpl14,63.30907784813354
Sdc4,62.77200485888545
Cystm1,62.68128215061313
Vil1,62.59501731284423
Marcksl1,62.52926563878122
Cldn2,62.03774407296552
Hnf4a,61.28426840291788
Hsp90ab1,61.2646013254737
Eno1,60.55983756295901
Xlr3a,60.37341594907241
Rab4a,60.16084607292932
Gapdh,59.630878618772904
Pqlc2,59.56176039672819
Apoc3,59.556587711622115
Atp6v1e1,59.53678975718997
Rps5,59.510684886050186
Pkm,59.47255210647204
Sigirr,59.06737744563754
Rpl12,59.066952733633656
L1td1,58.92927972095776
Atp1a1,58.46740628058418
Amot,58.411172157404906
Rrbp1,58.39309646881869
Atp6v1g1,58.228950303584995
Commd4,58.008972726887954
Ranbp1,57.92819684916194
Vkorc1,57.64879517388496
Lamp1,57.345628584683666
Maf,57.30832040118917
Rpl10a,57.286332896864174
Dusp9,57.109728484229805
Gm8730,57.07840303104616
Glrx,57.06853372525118
Gnpda1,57.04161980374673
Fabp1,56.768163048146796
Rps4x,56.749199800603755
Sgk3,56.56141269008163
Rps8,56.38063354046974
Tnfrsf12a,56.380382018462115
Rps18,56.24055648688557
Bex4,56.18925834973911
Ran,56.153897321193874
Aprt,55.91460998714095
Psip1,55.86063356547472
Tcn2,55.73771532889484
Set,55.58825774157848
Slc39a8,55.4306513351082
Renbp,55.37251489662641
Rps3,55.24804472558189
Rps6,54.83874339182455
Rnf181,54.75626687801437
Neu1,54.725305403627736
2810417H13Rik,54.64552979751748
Hexa,54.6118961633055
Rpl26,54.60932770392365
Tubb5,54.34346828604163
Snx3,54.32390822291144
Nxf7,54.1706398076212
Rpl18,54.15411722048054
Sumo2,53.980414311420304
Kdelr3,53.817782507258094
Mgst3,53.801535906037294
Gga2,53.776569823092615
Fem1b,53.75087300220989
Pxdc1,53.52476427875324
Nostrin,53.38585258332697
2200002D01Rik,52.8979007208471
Spint2,52.86875288667931
Rpl31,52.55437654448609
Prmt1,52.55084110435494
Ang,52.53127036788562
Rpl29,52.2645482299419
Snx2,52.030165782654215
Scpep1,51.70366215291318
Uap1l1,51.59961929583372
Rpl10,51.498696733305735
Rpl32,51.471593081486574
Cdh1,50.81756638122442
Rpl4,50.641728426013366
Ctsa,50.63477398449646
Rps7,50.335892428979655
Rps19,50.2192111942122
Phgdh,50.058775699176344
Cd82,50.054616985662044
Gpx4,49.948740578129694
Atp6v1a,49.922472030128276
Mpc2,49.890329367197964
