Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
Cytoplasmic Translation (GO:0002181),2.857668868217117e-41,7.418409905577723e-43,9.4344978655991e-40,9.435093197030464e-43,1.0330755376955909e-44,1.9474443126154377e-40,4.682541877929633e-10
Peptide Biosynthetic Process (GO:0043043),5.867410007568902e-33,3.674335423230959e-34,8.191183944593308e-32,4.7354104828419344e-34,1.2175340164599105e-35,1.7726479876854772e-32,3.4498703477801987e-09
Macromolecule Biosynthetic Process (GO:0009059),5.867410007568902e-33,3.674335423230959e-34,8.191183944593308e-32,4.7354104828419344e-34,1.2175340164599105e-35,1.7726479876854772e-32,1.5317607886942268e-12
Translation (GO:0006412),2.497457282599176e-27,2.1740680837849434e-28,2.492813516866769e-26,2.7670760454263433e-28,1.028315346579419e-29,5.5859980035307584e-27,5.205108153101349e-15
Gene Expression (GO:0010467),2.551335970691699e-22,2.993225023074542e-23,1.903818639110068e-21,3.75830050532106e-23,1.9622157735040387e-24,4.456859414473396e-22,2.013957685859728e-18
Cholesterol Homeostasis (GO:0042632),8.476326696626138e-11,9.496178596319603e-11,1.2586899244353792e-09,1.0218726490885235e-10,8.378630285742959e-11,3.248777090262237e-10,0.2793450975095523
Sterol Homeostasis (GO:0055092),9.017569065901618e-11,1.0101584585142792e-10,1.3165804895139223e-09,1.0869166581281785e-10,8.913634405976297e-11,3.411200071793895e-10,0.2523832646959209
Cholesterol Efflux (GO:0033344),2.531890655460717e-07,2.718626119814789e-07,2.3095785657689374e-07,2.804750421441841e-07,2.502708600705132e-07,2.573510872638283e-07,0.0867573699138843
High-Density Lipoprotein Particle Remodeling (GO:0034375),2.531890655460717e-07,2.718626119814789e-07,2.3095785657689374e-07,2.804750421441841e-07,2.502708600705132e-07,2.573510872638283e-07,0.3897194278487833
Phospholipid Efflux (GO:0033700),9.655903921451632e-07,1.024255901505936e-06,9.869096291771738e-07,1.0440017482153891e-06,9.544611944310862e-07,9.950437730949495e-07,0.2074328447599278
Ribonucleoprotein Complex Biogenesis (GO:0022613),8.03511755752455e-07,8.902484152224866e-07,5.207215316536508e-06,9.474500595867504e-07,7.942506433096441e-07,1.728535238081569e-06,5.613628193058853e-08
Triglyceride Homeostasis (GO:0070328),2.741879868160079e-06,2.9419922501677443e-06,2.7314415394822326e-06,3.033016760650742e-06,2.71027752061268e-06,2.8317215878146958e-06,0.2650138285737132
Acylglycerol Homeostasis (GO:0055090),7.944004994442853e-06,8.472842849179332e-06,7.3204027422490195e-06,8.683154859676899e-06,7.852444014814259e-06,8.054569892072473e-06,0.2793450975095523
Cholesterol Transport (GO:0030301),9.863455069773216e-06,1.063457603412092e-05,9.579980065244714e-06,1.1016224471262874e-05,9.749770900472868e-06,1.0168801308174919e-05,0.4718684784160193
Reverse Cholesterol Transport (GO:0043691),1.0775439082516015e-05,1.142516557164408e-05,1.0686548560047276e-05,1.164038192470724e-05,1.06512435716857e-05,1.1035755742120064e-05,0.5651494027889774
Vitamin Transport (GO:0051180),1.3547841605721207e-05,1.452621997123908e-05,1.315890818157942e-05,1.4964951033635173e-05,1.3391691949453293e-05,1.3917922548325634e-05,0.6214738223522265
Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),1.9958582927772537e-05,2.1033968937511104e-05,2.0931340162483555e-05,2.130140650282921e-05,1.972854437591566e-05,2.0590768581302413e-05,0.0752248531049298
Ribosomal Small Subunit Biogenesis (GO:0042274),9.495591365692133e-06,1.0343838714191887e-05,6.521298158725523e-05,1.0824932587981305e-05,9.38614711833783e-06,2.1052698274691674e-05,1.8487108601802291e-06
