Term,Adjusted P-value,Adjusted P-value using all genes
Cytoplasmic Translation (GO:0002181),2.857668868217117e-41,2.7979739191154778e-56
Peptide Biosynthetic Process (GO:0043043),5.867410007568902e-33,3.0119296293289305e-35
Macromolecule Biosynthetic Process (GO:0009059),5.867410007568902e-33,6.026239925763173e-36
Translation (GO:0006412),2.497457282599176e-27,6.209002968005233e-28
Gene Expression (GO:0010467),2.551335970691699e-22,5.167306876968931e-24
Cholesterol Homeostasis (GO:0042632),8.476326696626138e-11,1.5649197690180153e-14
Sterol Homeostasis (GO:0055092),9.017569065901618e-11,2.028801825254676e-14
High-Density Lipoprotein Particle Remodeling (GO:0034375),2.531890655460717e-07,2.4335338842461207e-05
Cholesterol Efflux (GO:0033344),2.531890655460717e-07,1.223135082938599e-10
Ribonucleoprotein Complex Biogenesis (GO:0022613),8.03511755752455e-07,1.691818295962168e-07
Phospholipid Efflux (GO:0033700),9.655903921451632e-07,9.722460528285117e-07
Triglyceride Homeostasis (GO:0070328),2.741879868160079e-06,2.210829031838296e-05
Acylglycerol Homeostasis (GO:0055090),7.944004994442853e-06,1.4334388126121464e-05
Ribosomal Small Subunit Biogenesis (GO:0042274),9.495591365692133e-06,7.743925637263166e-07
Cholesterol Transport (GO:0030301),9.863455069773216e-06,5.854787733294304e-08
Reverse Cholesterol Transport (GO:0043691),1.0775439082516015e-05,3.835041871293591e-05
Vitamin Transport (GO:0051180),1.3547841605721207e-05,0.0010302288762603
Ribosome Biogenesis (GO:0042254),1.4791514287961983e-05,2.120172992797356e-06
Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),1.9958582927772537e-05,3.19664470242417e-07
Ribosome Assembly (GO:0042255),8.662649212491212e-05,7.287703258626336e-05
Ribosomal Large Subunit Biogenesis (GO:0042273),0.00015149318471671127,0.0109056443911502
Positive Regulation Of CoA-transferase Activity (GO:1905920),0.00015324984080211171,0.0080165942595409
Regulation Of CoA-transferase Activity (GO:1905918),0.00015324984080211171,0.0080165942595409
Carbohydrate Catabolic Process (GO:0016052),0.0002228302907053368,0.0223025493861412
Glycolytic Process (GO:0006096),0.00034498684252092334,0.0148204087618312
Triglyceride Metabolic Process (GO:0006641),0.0003936623387576961,0.003334741792189
