,weight
Rhox5,9.242764e-05
Spink1,0.00063106616
S100g,0.00027862802
Apoa2,0.00017243285
Lgals2,4.4248325e-05
Dab2,6.814426e-05
Apoa1,0.0019289412
Apom,0.0016204903
Rbp4,0.992126
Mt1,0.0001179521
Trap1a,8.638308e-06
Amn,0.00015760105
Emb,6.363991e-05
Ctsh,0.00014340696
Ttr,0.0010377746
Apoe,8.036565e-05
Lgmn,0.00012386657
Apoa4,5.6479083e-05
Psph,1.8171933e-05
Morf4l2,2.3888704e-06
Ctsl,7.272337e-05
Mt2,2.6615351e-05
Apob,0.00012518869
Tdh,2.4936275e-05
Gcsh,3.6374863e-06
Ddt,1.71101e-05
Slc2a3,7.474646e-05
Cotl1,8.324415e-06
Afp,9.199233e-05
Cited1,3.9127517e-05
S100a1,8.10126e-06
Gstm1,6.486431e-06
Folr1,2.8267632e-05
Dbi,3.5895957e-06
Fgb,2.795203e-05
Cubn,0.00014043084
Car7,6.97235e-06
Spp2,1.5597327e-05
Slc16a1,2.8929204e-05
Clic6,1.8769791e-05
Slc2a2,1.3717508e-05
Smlr1,6.809433e-06
Tmem37,4.6804657e-06
Ifi30,3.3470872e-06
Rhox9,2.9277064e-06
Nrk,1.0532121e-05
Aprt,2.4452108e-06
Npl,3.181962e-06
Rhox6,1.9268732e-06
Ezr,5.2000137e-06
Ldoc1,1.8941797e-06
Slc9a3r1,7.160938e-06
Sepp1,6.7574083e-06
Aldob,8.8750785e-06
Cldn7,7.080359e-06
Uqcrq,1.0936682e-06
Stx3,4.3962364e-06
Pcbd1,6.5441104e-06
Phlda2,3.0902431e-06
Dusp9,2.0131777e-06
4933402E13Rik,3.218543e-06
Txndc17,1.3689104e-06
Cd63,3.7172924e-06
Cndp2,1.0937173e-06
Cldn6,5.1065517e-06
Car4,1.79883e-05
Slc13a4,9.792631e-06
2610528J11Rik,2.1713504e-06
Apoc1,3.1864533e-06
Trf,5.8433557e-06
Fxyd2,1.6250308e-06
Tfap2c,1.6011389e-06
Atp1b1,1.0228031e-05
Utf1,2.0877512e-06
Morc4,2.9175806e-06
Glul,1.0342186e-06
Gcat,3.076549e-06
Pdzk1,2.4878848e-06
Ctsb,5.439365e-06
Fmr1nb,1.8501054e-06
Psat1,1.191237e-06
Ctsz,1.07821315e-05
Ybx1,1.7879959e-06
Bex2,3.0523831e-06
Gldc,2.4556825e-06
Gjb3,1.8128424e-06
Cox5a,7.272495e-07
Pla2g12b,1.5809118e-06
2210011C24Rik,1.4867958e-06
Cltc,2.3093085e-06
Sdc4,8.9435395e-07
Ctsc,2.9966466e-06
Fabp1,6.5607975e-07
Vimp,7.9348797e-07
Cstb,1.3355643e-06
Podxl,2.9307964e-06
Mttp,2.3812825e-06
Tuba1c,6.9672353e-07
Plet1,1.1136169e-06
Gm9,2.3272828e-06
Bex4,3.367399e-06
Fgg,8.0834725e-06
Erdr1,8.497909e-07
Uqcrh,5.012046e-07
Gipc2,1.2947327e-06
Gnas,6.0073353e-07
Glrx,1.4673902e-06
Tomm5,8.8362674e-07
Atp6v0b,2.0348446e-06
Tpd52,9.511691e-07
Palm3,2.0479854e-06
Id2,6.9192157e-07
Slc25a4,6.189446e-07
Slc39a5,1.6185471e-06
Sfn,1.0300746e-06
H3f3a,5.300024e-07
Tomm20,9.1006996e-07
Gpx3,3.3647825e-06
Atp6v1e1,8.623471e-07
Ftl1,8.713863e-07
Rps2,1.2652205e-06
Hba-a1,8.90204e-07
Hbb-y,8.595301e-07
2200002D01Rik,6.0728e-07
Gjb5,1.2103736e-06
Aqp3,1.4528279e-06
Gnpda1,7.058734e-07
Fkbp11,8.0304585e-07
Peg10,1.0234261e-06
Cib1,6.00288e-07
Fabp2,8.2306775e-07
Phgdh,9.1111724e-07
Ass1,5.140753e-07
Mfsd1,5.704813e-07
Reep6,1.2059596e-06
Hspb1,7.6668755e-07
Stard10,7.078013e-07
Mpc2,5.0374484e-07
Rnase4,1.1291287e-06
Fabp5,7.695371e-07
Vamp8,6.730733e-07
Aldh7a1,7.2698674e-07
Krt18,6.173517e-07
Cyba,1.0611756e-06
Sfmbt2,7.6657574e-07
Avpi1,4.259859e-07
Hbb-bh1,8.279575e-07
Marcksl1,8.2082585e-07
Ifitm2,3.4963801e-07
Tmprss2,2.0831171e-06
Hba-x,8.010846e-07
Tspan13,8.029792e-07
Apoc3,8.7290005e-07
Neu1,5.603998e-07
Rdx,4.3211028e-07
Rab4a,5.5925995e-07
Fthl17a,8.388804e-07
Pramef12,1.0802094e-06
Vil1,5.168532e-07
Stmn1,3.2000673e-07
Cldn2,4.5959445e-07
Snx3,5.751958e-07
Rplp0,1.5237999e-06
Atp6v1g1,2.8636538e-07
Oat,5.576335e-07
Fem1b,6.7790995e-07
Gypa,5.813648e-07
Hnf4a,3.558261e-07
Soat2,6.39691e-07
Cystm1,4.578428e-07
Tuba1a,4.529254e-07
Lgals3,5.9667286e-07
2810417H13Rik,3.3863168e-07
Spint2,4.902104e-07
Lrpap1,3.0409947e-07
Tmem150a,3.841601e-07
Stx7,4.640626e-07
Bex1,4.724723e-07
Dpp4,2.4078926e-07
Vps35,3.6161674e-07
Renbp,3.79908e-07
Tmsb10,6.5736305e-07
Rbm47,3.3752002e-07
Rrbp1,3.800203e-07
Tbrg1,4.40527e-07
Glud1,2.921516e-07
Nostrin,2.902908e-07
Hspe1,2.9972279e-07
Rhox4d,2.5790945e-07
Slc7a9,3.3359447e-07
Pqlc2,2.9783112e-07
Slc7a8,3.3946918e-07
Uqcr11,1.704224e-07
Xlr3a,2.1419854e-07
L1td1,2.7736803e-07
Hdgf,3.2488342e-07
2700094K13Rik,2.9290788e-07
Fth1,9.502407e-07
H19,3.2346873e-07
Amot,2.5973054e-07
Lsr,2.8647193e-07
Degs1,3.013226e-07
Xbp1,2.37593e-07
Serpinb9b,2.6224438e-07
Fga,3.07842e-07
Tm4sf5,2.9298306e-07
Rgcc,6.864964e-07
Tmem120a,1.6461182e-07
Lcp1,3.6545046e-07
Got1,2.3222046e-07
Gga2,5.172911e-07
Sgk3,2.6507362e-07
S100a6,7.5384804e-07
Lrp2,2.736359e-07
Tex19.1,7.6182175e-07
Asl,1.4919652e-07
Anp32a,2.9702187e-07
Gm42418,2.8074948e-07
Prdx2,2.979041e-07
Hand1,4.783348e-07
Atp6v1a,3.8830092e-07
Chchd10,1.5872803e-07
Jade1,2.0913629e-07
Irx4,1.4355383e-07
Qprt,1.970715e-07
Nxf7,2.4610242e-07
Slc7a7,2.1347174e-07
Lamtor4,1.6226095e-07
Carhsp1,3.198661e-07
Sec14l2,2.8449452e-07
Plscr1,1.2046141e-07
H2afz,1.10691296e-07
Gns,2.1488889e-07
Arpc1b,3.6995368e-07
Slc40a1,2.759841e-07
Ptma,2.2603216e-07
Foxo4,3.1008545e-07
Lxn,2.584255e-07
Cox6b1,2.2680777e-07
Atp6v1f,2.3611283e-07
Rasgrp2,1.9835723e-07
Creb3l3,2.4933226e-07
Sigirr,2.5551537e-07
Hsbp1,1.766027e-07
F2r,1.601387e-07
Atp1a1,3.561517e-07
Alas2,4.0751414e-07
Qdpr,1.200229e-07
Rab1a,1.8573367e-07
Epcam,2.1456532e-07
Hmgb1,1.7233559e-07
Cdh1,1.1275743e-07
Prss8,2.4128164e-07
Eif5a,1.8181048e-07
Gata2,6.9286983e-07
Atp6v0e,1.873515e-07
Rps4x,1.4265596e-07
Rab11a,2.5714124e-07
Aass,1.5837811e-07
Blvrb,4.6976257e-07
Vps26a,2.0816069e-07
Ap1b1,1.6132665e-07
Atox1,1.8012761e-07
Krtcap2,1.16295126e-07
Myo6,2.781593e-07
1700019B21Rik,1.2292273e-07
Bst2,1.7798696e-07
P4hb,1.7188471e-07
Slc43a2,1.3382629e-07
Ctsa,2.0955734e-07
Gng12,1.8025288e-07
