,score
Rhox5,38.830802918629274
S100g,36.09234588904656
Mt1,35.38944803267489
Mt2,34.81863486664288
Apoe,34.23315407035285
Lgals2,34.11207269531725
Apoa1,33.740033846386275
Apoa2,33.595056411686045
Rbp4,33.274869458731956
Dab2,33.16401287546199
Trap1a,32.44025046014455
Apom,32.38000488367691
Lgmn,32.21801780314135
Psph,32.214142961620745
Ttr,32.14455443728995
Spink1,31.810500500217792
Ctsl,30.602188516364095
Afp,30.243557008678934
Amn,30.12402286471296
Apob,29.344087539647965
Rhox9,28.741974339675927
Emb,28.56519246562317
Apoa4,28.555014271681724
Cotl1,28.433620389483732
Ctsh,28.1478036968462
Slc2a2,28.13862324646376
Spp2,27.876543069748955
Tdh,27.81690305631864
Cited1,27.522327072467426
Cubn,27.489136695872336
Gcsh,27.08790753326999
Gm9,26.79629943368407
Fgb,26.5559632845755
Gstm1,26.359310897569028
Slc16a1,26.26223551683122
Npl,26.024184796636447
Folr1,25.92253978201405
Morf4l2,25.822997745863834
Nrk,25.627513155181493
Clic6,25.589205387408626
S100a1,25.281797033161478
Dbi,25.10681272133434
Slc2a3,25.054683984021743
Slc13a4,24.972086090086602
Ifi30,24.825801618217753
Rhox6,24.73910557581384
Utf1,24.319930574715833
Car7,24.280056084141215
Trf,24.13942631742963
Fmr1nb,24.026837251533177
Smlr1,23.91137152460437
Cldn7,23.84204835996667
Apoc1,23.496634427856634
Ldoc1,23.320610664246917
Ascl2,23.279043639730965
Ddt,22.993555923318883
Atp1b1,22.62106567942987
4933402E13Rik,22.553550228252252
Gjb3,22.51242599450208
Ctsb,22.427124181195868
Tfap2c,22.398412165636135
Atp6v0b,22.28452714273771
H3f3a,22.219475579223396
Sepp1,22.17035986062536
Cndp2,22.004192600117737
Dusp9,21.822008240451048
Aldob,21.735847979263436
Fxyd2,21.68132045038787
Pcbd1,21.645832812692554
Ctsc,21.62056686841488
Stx3,21.567701361246538
Gldc,21.183215651206133
Pdzk1,21.089547381554862
Ybx1,21.08185745451746
Ezr,20.952442285877147
Car4,20.86555140767776
Rps2,20.857393830737667
Tmem37,20.841425017855993
Pramef12,20.57455446961428
Ctsz,20.541527632701488
Morc4,20.441822345706786
Cd63,20.189248917812257
Pla2g12b,20.11415413466798
Slc9a3r1,20.085236267456313
Phlda2,19.495135129659847
Mttp,19.371833107991137
Cltc,19.27427257250116
Aprt,19.24391728147358
Cox5a,19.227971478844168
Fkbp11,19.20653951660777
Bex2,19.186195725809796
Fabp5,19.177540957054447
Fthl17a,19.10212018725225
Fem1b,19.05493557104614
Gjb5,18.990988936954015
Txndc17,18.98155787765751
Ifitm2,18.937640134298857
Sdc4,18.930040897551756
Gipc2,18.8959759820083
Tmprss2,18.789388129538825
Plet1,18.72844102651146
Psat1,18.72782323002438
Erdr1,18.685438702919953
Stard10,18.49281139329146
Fabp1,18.232037405816854
Hspb1,18.205396821639184
Bex4,18.161152872318617
Gcat,17.997015823661684
Cyba,17.886941080401503
Cldn6,17.859455361732557
2210011C24Rik,17.81108797256319
Tomm5,17.691381850244454
2610528J11Rik,17.58698496545227
Peg10,17.37468689903663
2810417H13Rik,17.27693470967137
Cstb,17.149586550732543
Tex19.1,17.03301423087749
Slc39a5,16.9822915784195
Podxl,16.978449692148324
Tmsb10,16.82782812122803
Tuba1a,16.790781367179914
Anp32a,16.790337854985445
Tpd52,16.784402604276973
Fabp2,16.767689071207617
Hmgb1,16.691265759757588
Reep6,16.524227841494366
Mfsd1,16.523501210612093
Vps35,16.50350366750435
Ass1,16.254147701656308
Atp6v1a,16.12730821348215
Fgg,16.01443047663513
Fstl3,16.00914661543735
Sfmbt2,15.961085008327114
Atp6v1g1,15.959560598989084
Rnase4,15.939594090663155
Vamp8,15.804830171838885
Stmn1,15.628326594031705
Sgk3,15.397316397653395
Glul,15.388928199360494
Uqcrq,15.340231406237198
Marcksl1,15.290842281775639
