,weight
382,0.00015793092
227,8.815062e-05
89,2.6392881e-05
455,2.29203e-05
341,1.151098e-05
235,1.3683308e-05
482,3.362463e-05
65,4.9640268e-05
40,6.218523e-05
404,6.838331e-06
52,5.188225e-05
450,6.356248e-05
272,9.2200835e-06
99,1.3418726e-05
476,1.0197219e-05
296,5.7783827e-06
353,1.4504067e-05
240,4.775247e-05
443,0.0031199222
111,2.4738525e-05
486,1.35563305e-05
41,4.568726e-05
84,6.0675815e-05
194,0.00018427598
280,1.06266225e-05
324,8.358028e-06
145,2.0546311e-05
421,2.1062235e-05
419,2.4140775e-06
208,7.634256e-06
225,2.0433677e-05
73,1.126861e-05
323,8.991739e-06
255,1.1658536e-05
319,3.7043683e-05
395,6.450888e-06
53,5.44301e-06
131,1.24515245e-05
196,2.8280776e-05
15,4.3698083e-06
371,5.4299862e-06
446,1.718669e-05
277,4.8275037e-06
447,2.3389308e-05
357,6.174247e-06
44,4.8795387e-06
449,2.5932724e-05
396,6.3541056e-06
80,0.00047484314
87,4.7021304e-06
305,4.0591516e-05
229,0.00011319919
142,7.860091e-06
266,0.9934141
250,6.3795346e-06
474,8.158289e-06
257,4.9622948e-05
247,1.3355873e-05
153,5.298361e-06
494,3.453821e-06
143,3.4304778e-06
473,5.337934e-05
109,0.00012377511
37,7.533104e-06
117,2.8576765e-06
81,1.5840387e-05
168,1.48704385e-05
262,4.9411506e-06
484,4.5907314e-06
100,4.8370803e-06
114,7.4310333e-06
388,2.2910801e-06
167,7.672256e-05
173,2.3298398e-06
108,1.6784616e-06
139,3.409277e-05
181,3.2406772e-06
355,2.6844222e-05
192,3.3439078e-06
320,1.8322997e-06
220,2.5127e-05
477,7.0654487e-06
242,3.6649194e-06
459,1.5016706e-06
209,9.4758725e-06
264,2.2213007e-06
243,4.777755e-06
70,4.3213126e-06
339,2.791681e-06
493,2.3725768e-06
386,5.714767e-06
133,8.656281e-06
141,2.122007e-06
389,1.0202346e-05
136,2.2423187e-06
300,7.378361e-06
120,0.00015183985
34,3.4338293e-06
377,1.6910906e-06
199,2.2413053e-06
191,2.4616604e-06
158,4.8253405e-06
290,9.863911e-07
367,3.1891118e-06
348,1.7066895e-06
184,1.9862168e-06
5,6.374007e-06
63,8.641934e-05
378,3.6799406e-06
278,1.9003833e-06
475,2.5189293e-06
483,1.2342101e-06
418,2.3253492e-06
2,1.5700451e-06
470,1.6868061e-06
331,4.4307944e-06
495,1.2236984e-06
193,3.1385407e-06
390,5.6457216e-06
205,9.093226e-07
469,2.0259051e-06
328,1.2484478e-06
445,1.5963749e-06
491,3.8554543e-05
183,8.1781485e-07
387,2.3275102e-06
358,2.696447e-06
85,1.307125e-06
232,2.1791222e-06
292,8.843265e-06
49,1.4121238e-06
28,6.960047e-05
102,2.4024082e-06
343,1.9348845e-06
318,1.346899e-06
490,9.836668e-07
260,1.060563e-06
408,2.3587581e-06
9,2.2178504e-06
166,1.2350944e-06
127,1.4850675e-06
22,9.603838e-07
391,1.8767624e-06
488,1.0658996e-06
249,1.0328165e-06
234,1.4609899e-06
376,2.1491796e-06
472,2.5817842e-06
373,1.826835e-06
0,1.6852223e-06
434,1.3147862e-06
17,1.1655451e-06
279,2.1533856e-06
336,1.0070996e-06
119,1.6362578e-06
51,1.2039078e-06
466,2.207416e-06
56,1.176927e-06
460,7.8425586e-07
356,4.357441e-06
253,9.329733e-07
465,7.7236297e-07
392,1.1706438e-06
105,2.1155893e-06
93,3.7275395e-06
268,3.005073e-06
444,1.0396601e-06
32,9.015494e-07
437,2.0509672e-06
50,9.425019e-07
6,1.8152531e-06
189,1.1781217e-06
496,2.347596e-06
155,8.150966e-07
132,3.4241855e-06
422,1.5802025e-06
385,8.9438765e-07
122,1.0226381e-06
273,1.0589207e-06
301,1.3114802e-06
457,1.0846445e-06
211,6.020184e-07
170,1.9382198e-06
230,7.3554537e-07
7,9.5356273e-07
212,1.0356947e-06
299,1.2766507e-06
204,1.1490989e-06
478,1.0688861e-06
463,9.249742e-07
164,1.5187344e-06
424,7.77626e-07
201,2.2310476e-06
112,1.1409016e-06
31,8.7424837e-07
239,1.152111e-06
362,1.0495334e-06
258,1.0330067e-06
18,2.6650805e-06
335,8.4557064e-07
282,1.1518946e-06
