,weight
N0000,0.5
N0001,1.847767
N0002,1.847767
N0003,2.211124
N0004,1.9747112
N0005,1.8917214
N0006,1.9567282
N0007,4.6136484
N0008,3.8425696
N0009,0.03185936
N0010,0.029341368
N0011,1.7826636
N0012,1.8430719
N0013,3.4754176
N0014,4.4943423
N0015,0.03454471
N0016,0.026215777
N0017,0.033756744
N0018,0.03779521
N0019,0.047031514
N0020,0.03721739
N0021,0.05509617
N0022,0.040966477
N0023,0.056355257
N0024,0.057075836
N0025,2.3215532
N0026,2.734602
N0027,0.014004089
N0028,0.012769681
N0029,0.01595148
N0030,0.036689997
N0031,0.048202615
N0032,0.035507932
N0033,4.541878
N0034,0.01973402
N0035,0.05771668
N0036,0.05752084
N0037,0.047407426
N0038,0.05591091
N0039,0.0452899
N0040,0.08211489
N0041,0.073341586
N0042,0.04266544
N0043,0.06467516
N0044,0.04771723
N0045,0.7930957
N0046,0.043102674
N0047,0.07524281
N0048,0.07901993
N0049,0.08215335
N0050,0.07124065
N0051,1.5727475
N0052,3.1098793
N0053,1.4548805
N0054,3.5801728
N0055,0.019966854
N0056,0.029674072
N0057,0.045369767
N0058,0.015449444
N0059,0.023805652
N0060,0.039239824
N0061,0.022252081
N0062,0.019724194
N0063,0.049820498
N0064,0.04964683
N0065,0.046392433
N0066,0.047876615
N0067,3.852397
N0068,0.8758842
N0069,0.14792496
N0070,0.022601115
N0071,0.06997854
N0072,0.10869223
N0073,0.055997755
N0074,0.4995587
N0075,0.06818775
N0076,0.05550649
N0077,0.07527715
N0078,0.0541269
N0079,0.04638454
N0080,0.05135946
N0081,0.087206736
N0082,0.07137716
N0083,0.06598558
N0084,0.08208161
N0085,0.050316542
N0086,0.048247643
N0087,0.057750102
N0088,0.09560758
N0089,0.057198845
N0090,0.05358555
N0091,0.0923798
N0092,0.034581527
N0093,0.050991558
N0094,0.04904018
N0095,0.10069825
N0096,0.09980492
N0097,0.09982051
N0098,0.09934391
N0099,0.12155627
N0100,0.09542187
N0101,0.094006434
N0102,0.09997337
N0103,0.19996943
N0104,0.12901409
N0105,0.11189564
N0106,0.1641327
N0107,0.11183587
N0108,0.072693095
N0109,0.04479971
N0110,0.0704521
N0111,0.09407666
N0112,0.13896619
N0113,0.1903555
N0114,0.03221002
N0115,3.304732
N0116,0.02011451
N0117,0.5862263
N0118,0.031908654
N0119,0.041853085
N0120,0.25846028
N0121,0.77569336
N0122,0.02872399
N0123,0.023868324
N0124,0.3243907
N0125,0.024931092
N0126,1.9149221
N0127,0.041369263
N0128,0.14985953
N0129,0.048661042
N0130,0.104057945
N0131,0.5470127
N0132,0.052499823
N0133,0.053622387
N0134,0.0957549
N0135,0.14408635
N0136,0.11253511
N0137,0.8702795
N0138,1.0192647
N0139,0.15670776
N0140,0.11996484
N0141,0.044815693
N0142,0.044175074
N0143,0.11838178
N0144,0.13616621
N0145,0.06537698
N0146,1.5450059
N0147,0.09081578
N0148,0.09333182
N0149,3.007082
N0150,0.13900971
N0151,0.09246095
N0152,0.20691687
N0153,0.80073756
N0154,0.06815152
N0155,0.426028
N0156,1.553266
N0157,0.06424445
N0158,0.069664635
N0159,0.5294667
N0160,0.041449822
N0161,0.04778796
N0162,0.038034502
N0163,0.09191747
N0164,0.66496927
N0165,0.04350186
N0166,0.06275759
N0167,0.06989112
N0168,0.06741289
N0169,0.07769095
N0170,0.06258555
N0171,0.087772794
N0172,0.050254874
N0173,0.054512937
N0174,0.049608577
N0175,0.066821896
N0176,0.07086502
N0177,0.09434858
N0178,0.09118516
N0179,0.06754946
N0180,0.089174345
N0181,0.0630799
N0182,0.06586451
N0183,0.19575825
N0184,0.037959863
N0185,0.9897206
N0186,0.029797453
N0187,0.049230184
N0188,0.060998715
N0189,0.055799488
N0190,0.06360657
N0191,0.10677838
N0192,0.13034308
N0193,0.12489916
N0194,0.12999456
N0195,0.16217113
N0196,0.103959545
N0197,0.114441745
N0198,0.1168142
N0199,0.19307482
N0200,0.18854803
N0201,0.12095218
N0202,0.13381912
N0203,0.15072285
N0204,0.098505825
N0205,0.110502474
N0206,0.12261443
N0207,0.15664674
N0208,0.2986878
N0209,0.1034362
N0210,0.22514845
N0211,0.31283253
N0212,0.15541272
N0213,0.121949136
N0214,0.06504324
N0215,0.08677392
N0216,0.10607385
N0217,0.17702991
N0218,0.25978935
N0219,1.116129
N0220,0.052888896
N0221,0.030240092
N0222,0.06821986
N0223,0.16170429
N0224,0.2380072
N0225,0.19429092
N0226,0.7446668
N0227,0.056011498
N0228,0.07694135
N0229,0.030866655
N0230,0.16284613
N0231,2.280513
N0232,1.202531
N0233,0.0819581
N0234,6.620481
N0235,0.9169452
N0236,0.024287691
N0237,0.05315226
N0238,0.33648598
N0239,0.5166642
N0240,0.06475695
N0241,0.21328776
N0242,1.5460433
N0243,0.41412354
N0244,0.32199925
N0245,0.061068926
N0246,0.054315705
N0247,0.03318164
N0248,0.029613188
N0249,0.1278133
N0250,1.3119755
N0251,0.046604514
N0252,0.020254713
N0253,0.6672629
N0254,1.9377425
N0255,0.054357883
N0256,0.4620716
N0257,0.51794875
N0258,1.7170162
N0259,0.08481676
N0260,0.8105306
N0261,1.6752386
N0262,0.12799679
N0263,5.0549417
N0264,0.13127877
N0265,0.07943697
N0266,0.11203672
