,weight
N0000,0.5
N0001,1.4395258
N0002,1.4395258
N0003,4.638339
N0004,3.4140947
N0005,2.6348023
N0006,4.9156384
N0007,0.07219856
N0008,0.12927482
N0009,0.036835864
N0010,0.034529917
N0011,2.3969674
N0012,2.4131339
N0013,0.029825471
N0014,0.02842493
N0015,8.968452
N0016,0.013370335
N0017,0.020672502
N0018,0.022920439
N0019,0.039035156
N0020,0.04669682
N0021,0.048941355
N0022,0.046201475
N0023,0.034905855
N0024,0.03528995
N0025,4.255366
N0026,3.882011
N0027,0.011324705
N0028,0.0053095995
N0029,0.0041698962
N0030,0.00968428
N0031,0.03314512
N0032,0.028899588
N0033,0.040451035
N0034,1.5205079
N0035,0.029926863
N0036,0.0504525
N0037,0.033556424
N0038,0.032949306
N0039,0.054426912
N0040,0.03080504
N0041,0.054988015
N0042,0.052494332
N0043,0.062939964
N0044,0.062378645
N0045,0.028612737
N0046,0.061111894
N0047,0.04737878
N0048,0.050647613
N0049,0.06518389
N0050,0.039979804
N0051,0.07579766
N0052,0.04695025
N0053,0.07840613
N0054,0.095336616
N0055,0.006959985
N0056,0.059224848
N0057,0.013626834
N0058,0.010288119
N0059,0.008892513
N0060,0.008101733
N0061,0.00959057
N0062,0.009291635
N0063,0.026270343
N0064,0.029716652
N0065,0.038166948
N0066,0.03132296
N0067,0.053097013
N0068,0.3368927
N0069,0.16371623
N0070,8.047203
N0071,0.03345462
N0072,0.07418126
N0073,0.048163366
N0074,1.9663235
N0075,0.03527191
N0076,0.055137593
N0077,0.024303151
N0078,0.03462554
N0079,0.06498276
N0080,0.048811164
N0081,0.024020545
N0082,0.032034677
N0083,0.05939166
N0084,0.060026042
N0085,0.04336742
N0086,0.06461539
N0087,0.072171144
N0088,0.077654466
N0089,0.07031703
N0090,0.06789818
N0091,0.048055124
N0092,0.0440118
N0093,0.06712341
N0094,0.067564
N0095,0.06406332
N0096,0.07023037
N0097,0.06903969
N0098,0.067500986
N0099,0.15545936
N0100,0.07260592
N0101,0.060397185
N0102,0.06480539
N0103,0.064908326
N0104,0.026877703
N0105,0.03516662
N0106,0.033528276
N0107,0.19087078
