,score
299,21.24029308708293
211,20.962697202670366
378,20.550516342967978
198,20.459699505840685
243,20.111851156966736
113,20.057665603875233
331,19.470142652509296
432,19.212115424269864
344,19.03212618181149
8,18.58341076300599
204,18.4923826627206
23,18.234460113701523
281,18.134739264056883
225,18.004544000484945
373,17.795723214131222
478,17.606625494667405
407,17.28051566730543
2,17.2687093504714
119,17.09282523333487
135,16.934750952455452
231,16.67106321451738
450,16.67051771744614
396,16.646663415953025
68,16.548701079148408
80,16.231453358782332
118,16.119646200877742
248,16.063182021979166
280,15.999107982968214
35,15.820944575929133
485,15.820895747203256
278,15.728786183875673
226,15.647083512862114
252,15.575689334905208
236,15.452852764702309
4,15.217973103827157
81,15.195463950100956
292,15.157138230349268
324,14.548331594176995
60,14.545206984578938
159,14.34363351755874
414,14.1965291299841
403,14.027997605725677
463,13.99293945389721
212,13.991361800250722
64,13.951435413385552
356,13.861786450902386
50,13.79771020468301
103,13.711049184864597
444,13.705499340076017
496,13.699877922954503
125,13.647784542403153
49,13.581167154227428
263,13.531359078175576
457,13.515135718651822
300,13.502732404429889
259,13.446157862803505
47,13.398160801050013
418,13.293164341948183
136,13.243444495228955
247,13.117150728098052
218,13.071136868233197
233,12.959794775819903
325,12.929182133471654
193,12.923307211515649
158,12.858829460510783
112,12.744848472827076
197,12.656486134667137
175,12.588198425963753
385,12.56554578217354
312,12.498954953338195
69,12.443185961544286
429,12.442112446204666
6,12.379048438219327
284,12.347125735174025
272,12.266973686575234
182,12.125479516204257
141,12.076680799463979
162,11.968437592531908
425,11.950166665355823
43,11.763801186073744
486,11.742048757986524
123,11.604317040613829
241,11.576283812046155
7,11.565457890895834
220,11.472767904727155
386,11.41456187553828
16,11.401505030009906
59,11.399363120075499
70,11.384682447767627
229,11.37396446658482
110,11.358475040186033
447,11.351799109943427
183,11.330825072005924
484,11.072318919836992
428,11.069144920973013
334,11.061517750467274
392,11.01011509262069
255,10.9999022308608
490,10.970179089464715
358,10.913640764018602
244,10.676149183603526
260,10.673957767289275
327,10.61087001716658
215,10.589488414352514
161,10.547973320540963
51,10.537762913942878
27,10.500005180249742
399,10.467306860104507
296,10.450498905581425
338,10.43980300317325
132,10.409684035001346
319,10.332650730282445
39,10.31984927900561
169,10.310358701919572
254,10.219200296322727
3,10.217091543893408
323,10.212802336713757
406,10.161529209103966
359,10.152903870430347
117,10.115734143757388
288,10.07249126173841
192,10.045617439769364
488,10.036294096529033
240,9.941295045480947
63,9.932590357718409
465,9.865305992638334
185,9.849132201629493
453,9.82042571755658
191,9.809687868722362
53,9.780400812721588
360,9.71765364112668
381,9.661138829022848
315,9.654191762376778
61,9.621802665763175
109,9.582788690170325
91,9.539265307086765
340,9.495775856986272
257,9.471616797438076
339,9.438367144794436
12,9.29348206689866
201,9.282136144463644
498,9.280800100073597
442,9.124276003168854
147,9.083262743889005
258,8.976945127714362
345,8.965187630756349
377,8.94624234891341
483,8.891582985913313
464,8.844528863397576
400,8.831642499091574
143,8.794714922454098
426,8.794176070318926
433,8.72018589417906
477,8.699956993924415
18,8.630035775483803
26,8.583267247940421
14,8.543522064607558
497,8.525318537816238
388,8.455891181473715
443,8.451320896185523
54,8.412856077672053
95,8.402031816601262
179,8.328231893700707
458,8.306584183437218
74,8.29403317641932
196,8.245694379219406
224,8.153986608946523
335,8.132321998164375
303,8.110797215967212
228,7.931414025358061
120,7.9281185386358075
313,7.8234470587940095
105,7.701455998250003
421,7.670267452141031
167,7.656207469088018
361,7.600599860180756
357,7.491141873848503
348,7.478951078302137
285,7.444243228118078
245,7.436546579574099
83,7.4250743201418965
322,7.422933927236186
290,7.3056231676921115
164,7.269556697033363
0,7.195328236652823
156,7.168461948837206
256,7.132715462780319
354,7.084239165374038
29,7.0592330210569205
100,7.049662565232675
273,7.0127306568872125
249,6.870482472367451
40,6.8671744276837705
148,6.740961252332585
384,6.710635426006828
412,6.599951008166791
52,6.588650985277866
391,6.553555315530279
57,6.532971895203288
424,6.510193271028269
297,6.499043633622737
188,6.484806141209646
270,6.420480679413187
265,6.394246388292191
314,6.339522240680912
232,6.325150459892537
401,6.300556026127007
474,6.233956845307824
19,6.1879736755474655
173,6.186252493529952
131,6.16364511069706
221,6.150510599007237
276,6.141670177424639
216,6.141280897402821
79,6.140102715529163
492,6.128162364181663
138,6.111952275907509
311,6.0635655979363055
92,6.058766052247304
184,6.0041243113970575
423,6.000787729925627
321,5.999692469552953
250,5.933837159416422
415,5.933353467018175
451,5.931635883413114
454,5.9024437862530705
330,5.894300413294095
489,5.876996444931287
389,5.867731301132042
133,5.861976431730898
28,5.850010152817529
24,5.809291566601091
480,5.713728429909463
200,5.698250349068299
405,5.6824670920203015
222,5.648441728822519
409,5.630953897654855
76,5.57683958929685
411,5.50155742122195
152,5.49868315643756
128,5.4971452038321384
332,5.4530372253409265
383,5.430496749195113
114,5.427065990551555
468,5.323622132947278
205,5.253489767052008
262,5.242583129524074
33,5.234839849038447
238,5.228050468284063
219,5.21884104824586
153,5.203311524797555
362,5.17378534243234
439,5.121798932555548
17,5.117276112740482
180,5.010415692816249
44,5.007386413537781
97,4.9616816027626385
127,4.885862505211959
251,4.883576260451579
46,4.8813191300167205
494,4.8802316612733785
20,4.8765439562312185
279,4.85843485599264
86,4.8249295822594105
446,4.775709175517265
269,4.764178915263383
408,4.744218175446015
487,4.683657610025574
402,4.671130562469916
98,4.648317105585447
62,4.641822695800978
371,4.627201621372523
187,4.624412412162797
430,4.578464903924518
32,4.576897365869047
353,4.566795395388556
129,4.527231836955389
363,4.507720696627651
214,4.501906151355524
10,4.475225515894107
66,4.457045289066562
271,4.434142602941201
460,4.431609322322935
227,4.394314677707993
194,4.384223476006747
134,4.371568954476815
427,4.298618764530654
350,4.26344296719837
235,4.235737477956045
448,4.23129191403343
375,4.227426014869887
475,4.21724480143702
207,4.145139758991067
163,4.1433285386505
149,4.138175521267434
491,4.104683220799359
341,4.083914260626517
404,4.074325145625982
461,4.057329332966956
208,4.051214055820823
308,4.035076287899419
107,3.976646585128353
499,3.9521937592329963
237,3.9430846805202595
382,3.906064351050648
456,3.8887252223630604
116,3.8824548228211166
481,3.8740771336406437
370,3.8684915429077416
266,3.8032375971831978
178,3.7536939132577585
293,3.6977415796700015
495,3.6432674007275883
130,3.6400690542364442
58,3.6393004756819582
493,3.625832711757826
75,3.6063633780994784
77,3.5985345023948505
234,3.5124223515795214
416,3.505765038190829
165,3.494624505871118
413,3.4531522798062335
267,3.3496466629572814
87,3.3230164802741737
368,3.31867489578028
31,3.3165964162371355
253,3.2912888595030028
366,3.2780022755397478
34,3.2770908491968957
329,3.202459180147774
82,3.2023050690344212
476,3.201696607739107
390,3.1937909263311592
304,3.17750954906957
151,3.1731794857548135
72,3.070310849949145
380,3.0265283796570794
467,2.9946865109640095
342,2.9606534240509035
282,2.954735936257269
372,2.928383723662334
420,2.8821730571887656
264,2.864744488626714
140,2.8258352551756136
336,2.8041205361653505
301,2.7742041389944427
387,2.74842124356014
101,2.744418946887347
435,2.7271721638184996
440,2.69257728330531
65,2.683946273982622
195,2.6613417648701883
434,2.660135652299907
365,2.6517801081000436
124,2.6258146522336636
171,2.62202064888826
176,2.566163934760059
206,2.5647859701753126
168,2.530775494757568
417,2.5153332049468538
410,2.5092040744326
306,2.4621305248240652
294,2.4550425967557326
469,2.4058831230553777
203,2.392707958225082
121,2.3684661804161027
286,2.350486630953966
30,2.3437612107642676
309,2.3393263384905807
393,2.3346879508481426
328,2.334515230481123
217,2.307644550232755
99,2.2894726589593732
470,2.278755536488749
472,2.276219984637222
155,2.2551278657541225
199,2.2248756894835764
305,2.1947746871171643
166,2.179032628376951
351,2.16862804318487
449,2.1508348761251255
202,2.114169922214739
106,1.976565956837791
137,1.9725103599670706
177,1.9614144128141144
22,1.9570344491421507
1,1.9515365567210483
139,1.9356287444166378
239,1.8925547232360294
307,1.8764175836731303
56,1.856340202714735
310,1.846633185029966
146,1.8325580887521942
422,1.8279132597253633
11,1.8244180390950773
287,1.817802008433497
42,1.8175384040018778
213,1.816941094049229
45,1.8118499574610856
36,1.8109691714639082
154,1.8064180783344368
223,1.8037575296508819
41,1.785344305160988
55,1.7295750737576723
115,1.728173155361443
462,1.6872174198457475
78,1.6342065644808565
395,1.6194476879229127
295,1.597183574306443
349,1.593220771319572
445,1.5345070662815588
230,1.4602552716877655
436,1.4580968068900537
274,1.4411342356211883
374,1.4039457025491835
289,1.3614462731058368
452,1.3510499968301888
38,1.345398244695217
25,1.3330792996974576
277,1.3165144619715894
441,1.30751689930962
172,1.2498777641912566
397,1.2359425602914775
96,1.2152746828866394
482,1.2130627169338175
326,1.201302037005328
376,1.193971405170874
67,1.1879192690891762
275,1.1830598664362737
84,1.171718400444321
209,1.1490752856105195
189,1.1266446508549308
459,1.0841315373694551
190,1.0765055825950445
298,1.0659002016759025
150,1.0492441323912622
466,1.0361145863822532
346,1.0303669008687284
369,1.0167871314350085
473,0.9742792271920603
394,0.935642571737028
302,0.8819489098534133
160,0.8760962569292495
320,0.8653761639091035
9,0.8630331977320223
157,0.7916349024789386
343,0.6805537838995218
352,0.6441012271203517
210,0.5468041245973897
104,0.5360350398133756
337,0.39002930526493573
122,0.3699721826973921
71,0.32300595322482867
283,0.2896439327604755
333,0.28638354442289476
291,0.2712650316877203
5,0.246149745753441
102,0.21747983623219325
13,0.20447727989148962
174,0.1791232321531774
186,0.16584744720942102
142,0.15886016109839013
455,0.13269888735906862
94,0.09019309780745773
438,0.08769876524633534
242,0.08158752322658082
48,0.05243182243085631
261,0.030089981752998256
355,0.02952311101859362
268,0.015074469280013431
108,0.013924121864583498
471,-0.04075122178042064
479,-0.09982876699509463
364,-0.10355777875668709
170,-0.10592618047095918
73,-0.12715467731261249
144,-0.13758533480683016
437,-0.15854485153279896
318,-0.18071940885491178
316,-0.23283034717154721
317,-0.25573802327887807
15,-0.25599528995376614
431,-0.29719906613898883
246,-0.35539914178225307
93,-0.39488240597609053
90,-0.4102539300199408
85,-0.42204674051391833
111,-0.4880052790319163
181,-0.5096131066573433
379,-0.5150076178169256
37,-0.5237794361020223
347,-0.5440163386073636
126,-0.7163966404213464
89,-0.7584332005546913
367,-0.8603593949162026
88,-0.9062545169435426
21,-0.9690498390645034
145,-1.158216089588737
398,-1.5642223598044838
419,-1.8727273796211703
