,weight
N0000,0.5
N0001,5.062069
N0002,5.062069
N0003,0.007912777
N0004,0.009993331
N0005,0.018072596
N0006,0.016736077
N0007,0.01282813
N0008,0.0060511227
N0009,0.011833791
N0010,0.010560765
N0011,0.0060588545
N0012,0.008987507
N0013,0.0055807736
N0014,0.004116547
N0015,0.009702116
N0016,0.01613722
N0017,0.011359734
N0018,0.0063718264
N0019,0.026470173
N0020,0.0077966424
N0021,0.016513964
N0022,0.0101119
N0023,0.012461478
N0024,0.00954132
N0025,0.00685377
N0026,0.03350154
N0027,0.040790465
N0028,0.007922655
N0029,0.008319782
N0030,0.0075559258
N0031,0.017442828
N0032,0.009379015
N0033,0.018949663
N0034,0.01234353
N0035,0.017254483
N0036,0.018897926
N0037,0.012915168
N0038,0.018359467
N0039,0.0547534
N0040,0.010635263
N0041,0.06717429
N0042,0.051224448
N0043,0.008055931
N0044,0.014251133
N0045,0.2557169
N0046,0.008962814
N0047,0.030213099
N0048,0.01357532
N0049,0.0113374945
N0050,0.033435818
N0051,0.006857431
N0052,0.020671694
N0053,0.28657594
N0054,0.037090674
N0055,0.1970451
N0056,0.042949148
N0057,0.068534106
N0058,0.010194281
N0059,0.0140445605
N0060,0.013080481
N0061,0.010647985
N0062,0.014211564
N0063,0.02154701
N0064,0.022066472
N0065,0.020194722
N0066,0.014421926
N0067,0.017377667
N0068,0.027843056
N0069,0.026255433
N0070,0.024014795
N0071,0.063731134
N0072,0.021281281
N0073,0.01959766
N0074,0.023305396
N0075,0.03809098
N0076,0.019058151
N0077,0.038739335
N0078,0.015827293
N0079,0.03552089
N0080,0.09364522
N0081,0.010548987
N0082,0.068034925
N0083,0.09549961
N0084,0.067041904
N0085,0.039904878
N0086,7.1605153
N0087,0.021347217
N0088,0.20286857
N0089,0.07025498
N0090,0.009739202
N0091,0.10164595
N0092,0.6709238
N0093,0.021940479
N0094,0.03221621
N0095,0.025260761
N0096,0.13939114
N0097,0.026989857
N0098,0.026040984
N0099,0.024591364
N0100,0.014829473
N0101,0.12675631
N0102,0.03749782
N0103,0.011702383
N0104,0.0154408645
N0105,0.034254212
N0106,0.04502391
N0107,0.23339258
N0108,0.2582118
N0109,0.015092437
N0110,0.24454811
N0111,0.08635632
N0112,4.0652986
N0113,0.091366954
N0114,0.06312657
N0115,0.07468386
N0116,0.1786467
N0117,0.014110903
N0118,0.024894146
N0119,0.02079653
N0120,0.017260637
N0121,0.01795931
N0122,0.0177279
N0123,0.020114135
N0124,0.015408113
N0125,0.017033136
N0126,0.018072397
N0127,0.04315632
N0128,0.022921963
N0129,0.025654389
N0130,0.036612354
N0131,0.057806246
N0132,0.030711487
N0133,0.024670962
N0134,0.009722173
N0135,0.037852887
N0136,0.023533097
N0137,0.052022748
N0138,0.05070086
N0139,0.027554138
N0140,0.08020623
N0141,0.024046568
N0142,0.05203773
N0143,0.04298852
N0144,0.35011747
N0145,0.03607726
N0146,0.055072363
N0147,0.018274758
N0148,0.028193418
N0149,0.032621626
N0150,0.0171282
N0151,0.17237087
N0152,0.030926263
N0153,0.079037696
N0154,0.02952926
N0155,0.1275741
N0156,0.037817232
N0157,0.01924957
N0158,0.029516948
N0159,0.018817613
N0160,5.808396
N0161,0.015702574
N0162,0.7165258
N0163,0.041495632
N0164,0.01750128
N0165,0.035873726
N0166,0.8700337
N0167,0.13329083
N0168,0.1066277
N0169,0.074409515
N0170,0.11111548
N0171,0.08357336
N0172,0.06282254
N0173,1.491862
N0174,1.3097813
N0175,0.014915667
N0176,0.07859869
N0177,0.18277618
N0178,0.41259915
N0179,0.11097183
N0180,0.08155193
N0181,0.2433911
N0182,0.03718704
N0183,1.4322054
N0184,0.08841745
N0185,0.39781138
N0186,0.87958777
N0187,0.036940873
N0188,0.04440733
N0189,0.017563965
N0190,0.10918286
N0191,0.036322605
N0192,0.024212593
N0193,0.15425217
N0194,0.17566347
N0195,0.030046614
N0196,0.08025603
N0197,0.09117862
N0198,0.04332056
N0199,0.049116943
N0200,0.041194353
