,score
310,22.018380299872636
179,20.61411413512621
0,20.18892160696428
117,19.61025194320201
154,19.606325549825133
325,19.04879252066532
89,19.008082197083606
195,18.820544623652733
97,18.791669111644318
267,18.545220170527134
35,18.399887197309834
192,18.25990703691947
426,18.142892101878456
182,18.065632090732457
425,18.00677836984437
65,17.965955045605064
22,17.94248440854527
440,17.784968971000712
445,17.701832414108956
256,17.675481651123626
365,17.479386568331286
442,17.449169926125663
71,17.34821666256684
283,17.31700528525384
2,17.289207577309263
277,17.27768885544293
64,17.24684897785115
185,17.178522781430818
397,17.133856186675796
369,17.10729788570768
466,16.99996782147942
139,16.775072152322885
461,16.674141376331335
20,16.63087953691627
51,16.574358413073377
412,16.50016251406165
85,16.41831926763306
288,16.404083932679185
168,16.38949633379143
25,16.366270167573624
119,16.324018576831573
31,16.259118263056234
302,16.21073919833372
235,15.966596617695016
206,15.950467722570849
104,15.917027061111598
138,15.772514397014547
7,15.697321289175308
45,15.693710446116237
460,15.621100163171242
265,15.3882538333764
453,15.343981611731063
448,14.924288802749048
124,14.85586737043652
255,14.777724706630867
357,14.448107236310825
157,14.437456450467895
245,14.39788021853578
418,14.370767339680953
215,14.338474225079244
261,14.241522270608224
284,14.17368496070721
94,14.110190384016626
338,13.942042472933245
299,13.863932008112632
141,13.789118374169195
167,13.690206890470831
290,13.477203732649919
370,13.460171546374673
491,13.396963545366345
199,13.351054136248946
381,13.324564969935349
328,13.24050243764855
292,13.237251526030777
291,13.13639818775826
450,12.729933575903221
314,12.655465633055353
86,12.637192731549478
162,12.593432817093063
23,12.524120395356919
118,12.497499191884506
307,12.484976968927601
298,12.438655694546327
455,12.430643220478405
436,12.36619492365935
494,12.363383484459657
437,12.340311879701256
212,12.337142687827384
158,12.328082565486774
27,12.153442609152354
264,12.141882749656208
67,12.093589187233567
279,12.092876669777793
286,12.076660150666443
492,12.065892646277382
318,12.01061178375925
19,11.992480686260071
101,11.964649575000607
384,11.959657767047691
15,11.946680190062708
486,11.926215619609128
130,11.921834231875177
262,11.910255048031646
303,11.900153617195963
434,11.893298434239089
75,11.856664294546302
50,11.688008842566335
459,11.671158901765132
33,11.65029038507501
228,11.629052146333953
353,11.601074432498645
420,11.493693869630631
272,11.47795770894862
371,11.298828240698231
497,11.2549464146919
319,11.247187088442587
411,11.118122598595328
178,11.05342434365721
432,11.039453630997565
393,10.971151981416801
103,10.961420447662723
183,10.940728407668713
150,10.905101193028688
216,10.885598780804374
173,10.870908011282562
57,10.841388201910405
222,10.831524800784491
227,10.693833399784204
330,10.686055748846282
407,10.554001056511156
309,10.539655278448883
211,10.488324367505815
471,10.486906812249916
135,10.47972493731276
126,10.31121412237962
240,10.276196392150595
112,10.229654316039015
468,10.225003702527134
372,10.192770061200784
329,10.158182550575752
496,9.947845945156542
58,9.886825842225363
163,9.846475450921453
151,9.770566188356947
60,9.705510769592644
122,9.697250825624378
483,9.681347323224923
225,9.679112631041141
398,9.676693620339549
39,9.657332800259107
392,9.607583855933473
131,9.48415437546961
