,weight
N0000,0.5
N0001,2.6277306
N0002,2.6277306
N0003,3.7218463
N0004,3.6001937
N0005,0.27453446
N0006,0.3094797
N0007,0.07449204
N0008,0.08559535
N0009,0.14424649
N0010,0.12077085
N0011,7.647666
N0012,0.12424341
N0013,0.04333164
N0014,0.042319097
N0015,0.32596576
N0016,0.16769123
N0017,0.098754734
N0018,0.06067787
N0019,0.0644006
N0020,0.06718031
N0021,0.52097774
N0022,0.11356496
N0023,0.04393986
N0024,0.04516473
N0025,0.11269838
N0026,0.04708047
N0027,0.05101859
N0028,0.090623304
N0029,0.61036307
N0030,0.047760114
N0031,0.1193589
N0032,0.30725753
N0033,0.23155981
N0034,0.13303013
N0035,0.055654015
N0036,0.15674266
N0037,0.36773476
N0038,0.100299634
N0039,0.15565635
N0040,0.11823266
N0041,0.07822149
N0042,0.1410385
N0043,0.44037595
N0044,0.052928038
N0045,0.27233183
N0046,0.056250725
N0047,0.0632391
N0048,0.17618977
N0049,0.4058989
N0050,0.55355066
N0051,0.08454602
N0052,0.20378765
N0053,0.04239261
N0054,1.0018293
N0055,0.078205675
N0056,0.18198347
N0057,0.16079223
N0058,0.10020188
N0059,0.44642642
N0060,8.006257
N0061,1.0445887
N0062,0.16333151
N0063,0.09639698
N0064,0.25941077
N0065,0.11862568
N0066,0.15579385
N0067,0.41320828
N0068,0.16519712
N0069,0.12951618
N0070,0.31616363
N0071,0.35931194
N0072,0.07413529
N0073,0.28438377
N0074,0.11680869
N0075,0.06762144
N0076,0.6906337
N0077,0.16238306
N0078,0.09100201
N0079,0.07748967
N0080,0.27062887
N0081,0.095920995
N0082,0.47933143
N0083,0.11754714
N0084,0.2962691
N0085,0.4042661
N0086,0.060695086
N0087,0.063042104
N0088,0.57190865
N0089,0.10948722
N0090,0.06604689
N0091,0.2053081
N0092,0.072240345
N0093,0.079201415
N0094,0.13592336
N0095,0.07862607
N0096,0.093250126
N0097,0.2807168
N0098,0.10434855
N0099,0.3556101
N0100,0.08198619
N0101,0.0706894
N0102,0.1197158
N0103,0.096857555
N0104,0.1832485
N0105,0.11496372
N0106,1.5547694
N0107,0.41307428
N0108,0.105561376
N0109,8.08913
N0110,0.03399571
N0111,0.117712654
N0112,0.069415025
N0113,0.14992246
N0114,0.121335454
N0115,7.5959034
N0116,0.15131311
N0117,0.62606883
N0118,0.2790031
N0119,2.4812107
N0120,0.04691061
N0121,0.6680799
N0122,0.18768884
N0123,0.34110186
N0124,0.17359115
N0125,2.3821084
N0126,0.060008425
N0127,0.17341389
N0128,0.105227806
N0129,0.3241156
N0130,0.19652468
N0131,0.299479
N0132,0.20261057
N0133,0.19817725
N0134,0.10099037
N0135,0.10903271
N0136,0.8459807
N0137,0.21881828
N0138,0.14145997
N0139,0.19790682
N0140,0.19166598
N0141,0.18159692
N0142,0.14020206
N0143,0.12437752
N0144,0.85036
N0145,0.09756461
N0146,0.08714655
N0147,0.14537986
N0148,0.2942542
N0149,0.6389249
N0150,0.22535595
N0151,0.5008433
N0152,0.046219856
N0153,0.015317963
N0154,0.31324694
N0155,0.17192999
N0156,0.20315465
N0157,0.122176915
N0158,0.3803339
N0159,0.36782312
N0160,0.08826244
N0161,0.15651447
N0162,0.09795013
N0163,0.111396916
N0164,2.709381
N0165,0.10267271
N0166,0.8351001
N0167,0.54351944
N0168,0.19421601
N0169,0.368554
N0170,0.2797607
N0171,0.5742245
N0172,0.10823898
N0173,0.08575262
N0174,0.09683403
N0175,0.06549279
N0176,0.10739881
N0177,0.3595754
N0178,0.0923928
N0179,0.09084608
N0180,0.13370436
N0181,0.081147715
N0182,0.15842831
N0183,0.17753382
N0184,0.11499783
N0185,0.38306722
N0186,0.095819004
N0187,0.09480623
N0188,0.06215843
N0189,0.08091872
N0190,0.4730772
N0191,0.08821039
N0192,0.08935126
N0193,0.1396484
N0194,0.15270846
N0195,0.29061097
N0196,0.13202187
N0197,0.10116113
N0198,0.13246574
N0199,0.16603106
N0200,0.11419144
N0201,0.1056883
N0202,0.07304654
N0203,0.39882913
N0204,0.09155034
N0205,0.17313349
N0206,0.13756317
N0207,0.26866046
N0208,0.07304412
N0209,0.1914201
N0210,0.14006524
N0211,0.13690613
N0212,0.08556555
N0213,0.3837992
N0214,0.15452296
N0215,0.4294891
N0216,0.2766053
N0217,0.3936823
N0218,0.12425342
N0219,0.2012865
N0220,0.5543143
N0221,0.32072282
N0222,0.685741
N0223,0.52057797
N0224,0.25453955
N0225,0.08250883
N0226,0.13528003
N0227,0.236026
N0228,0.11529088
N0229,0.18540753
N0230,0.24385494
N0231,0.12714067
N0232,0.3170212
N0233,0.075777024
N0234,4.067363
N0235,0.9391547
N0236,0.11026672
N0237,0.21591914
N0238,0.49637973
N0239,0.07795479
N0240,0.78801525
N0241,0.16142718
N0242,0.053964693
N0243,1.1384646
N0244,0.18363236
N0245,0.09748806
N0246,0.07155459
N0247,1.215391
N0248,0.4005109
N0249,0.11975351
N0250,0.22902656
N0251,0.013319454
N0252,0.19163212
N0253,0.07513023
N0254,0.15659432
N0255,0.2784789
N0256,0.25407758
N0257,0.24795517
N0258,0.10346398
N0259,0.215815
N0260,0.25961205
N0261,0.27410027
N0262,0.3535464
N0263,0.39508954
N0264,0.27740905
N0265,0.25137085
N0266,0.17792302
N0267,0.143741
N0268,0.30686423
N0269,0.13989206
N0270,0.7654196
N0271,0.11339127
N0272,0.26699033
N0273,0.13930817
N0274,0.68839145
N0275,0.28641173
N0276,0.34392717
N0277,0.16559787
N0278,1.3546511
N0279,0.3174097
N0280,0.40793794
N0281,0.34566253
N0282,0.32810614
N0283,0.20089543
N0284,0.12686308
N0285,0.09696037
N0286,0.33702308
N0287,0.21499683
N0288,0.29830912
N0289,0.13758945
N0290,0.48979646
N0291,0.21030612
N0292,0.4009351
N0293,0.27814636
N0294,0.107634075
N0295,0.500612
N0296,0.19303592
N0297,0.31688035
N0298,0.37670365
N0299,0.23723069
N0300,0.3795862
N0301,0.102062576
N0302,0.057882473
N0303,0.7759434
N0304,0.032305483
N0305,0.13289118
N0306,0.0391959
N0307,0.092713684
N0308,0.59640056
N0309,0.09369972
N0310,0.2799139
N0311,0.17452726
N0312,0.20100954
N0313,0.5475719
