,weight
418,0.99376184
198,0.0010750642
272,0.000821302
24,7.352722e-06
328,3.5263827e-05
16,0.00013974275
211,1.5602125e-05
364,4.4043984e-05
281,6.9349585e-06
486,8.897073e-06
176,5.3325684e-06
110,1.7410126e-05
344,9.840427e-06
243,1.5561394e-05
425,0.0008139893
292,0.0001791916
403,1.442362e-05
385,6.897031e-05
299,2.5273548e-05
381,2.8321638e-05
136,5.4491284e-06
331,2.417327e-05
80,1.3533479e-05
242,1.9606032e-06
377,1.2576606e-05
465,1.7738465e-05
7,1.0467761e-05
386,7.628331e-06
112,3.859874e-06
478,2.943374e-06
432,2.13253e-06
8,0.00058208156
148,1.8881974e-05
197,3.0746558e-06
284,1.308822e-05
327,2.9995554e-06
218,5.709641e-06
373,3.2396252e-05
212,0.00011729705
221,1.4729521e-05
457,1.9503484e-06
229,0.000101690704
393,0.00049937866
141,4.5332625e-05
396,3.88181e-06
220,4.673866e-06
91,6.0952872e-05
4,4.1488324e-06
131,6.571487e-06
226,9.2022865e-06
119,8.772961e-05
231,3.9217693e-06
35,2.6855525e-06
49,1.1105783e-05
240,4.89952e-06
324,1.5475313e-06
228,3.9468086e-05
70,2.7994633e-06
23,1.8656004e-06
2,3.853353e-06
57,3.6194456e-06
134,6.391373e-06
175,1.9380415e-05
256,4.240974e-06
118,3.918876e-06
51,1.3668362e-05
201,1.8885387e-06
490,3.8341514e-05
378,1.719576e-05
485,1.7573647e-06
491,3.050452e-06
414,4.4640707e-05
238,4.202556e-06
68,3.2973471e-06
156,4.0477593e-05
464,4.077353e-06
225,2.1254643e-06
244,2.9555765e-06
152,3.1547832e-05
248,2.3253915e-06
463,2.9745074e-06
360,2.3954942e-06
64,7.154886e-06
60,2.0460225e-06
450,1.3771263e-06
43,1.1469459e-05
259,1.4127797e-06
296,6.6675543e-06
147,6.4499473e-06
159,1.0020484e-05
204,2.9272724e-06
428,2.4439764e-06
335,1.3394255e-05
391,3.3597804e-05
288,1.8843228e-05
426,3.9542515e-06
179,1.5270149e-05
157,2.004414e-06
399,1.3045763e-05
358,2.150455e-06
252,2.3457205e-06
135,1.2773875e-06
496,3.7144134e-06
409,1.8186354e-06
132,2.2201677e-06
312,2.6628018e-06
325,1.5420994e-06
300,1.7171562e-06
123,1.4888949e-06
12,2.2288593e-06
420,1.8608117e-06
79,1.950979e-06
315,1.8533839e-06
161,1.2247666e-06
339,1.3856787e-06
392,1.4001822e-06
453,2.6646765e-06
77,4.989681e-05
236,1.5345923e-06
58,3.6053277e-06
184,1.2845754e-06
497,1.5010177e-06
61,1.3808874e-06
97,1.8176958e-06
14,2.520304e-06
27,1.6452708e-06
233,3.7225054e-06
193,1.4593844e-06
59,1.2104642e-06
200,1.9234133e-06
410,8.673726e-06
182,9.104546e-06
263,1.3310117e-06
158,2.5079871e-06
254,1.341369e-06
191,1.4581381e-06
165,1.8983927e-06
82,1.713961e-06
143,1.8743889e-06
411,4.4608337e-06
372,1.4034414e-06
400,1.1233074e-05
249,1.2986559e-06
314,1.7758834e-06
448,1.936343e-06
362,1.268806e-06
185,9.16159e-07
430,2.3561159e-05
138,2.0078808e-06
371,1.2003848e-06
33,1.543453e-06
311,1.2533378e-06
69,1.0859051e-06
323,4.297628e-06
162,1.5321239e-06
345,1.880272e-06
342,8.274972e-06
280,1.1131184e-06
340,1.5149617e-06
356,1.7058077e-06
163,5.904834e-06
6,9.832748e-07
86,1.1700265e-06
297,4.838307e-06
415,1.185435e-06
388,4.689305e-06
129,4.857151e-06
224,1.232031e-06
433,1.8400308e-06
495,1.2845608e-06
375,7.851786e-07
124,1.0477603e-06
404,9.070248e-07
245,1.3813037e-06
151,2.6933164e-06
498,8.1276096e-07
103,1.1231525e-06
34,9.0147e-06
273,2.3380442e-06
168,9.3446215e-07
125,1.1124986e-06
241,1.1774332e-06
164,1.2415709e-06
11,1.0751984e-06
40,1.3313303e-06
47,1.1062576e-06
402,1.5407103e-06
319,9.694321e-07
444,1.3367105e-06
50,9.156359e-07
39,9.163626e-07
468,1.0920469e-06
44,1.4201391e-06
461,1.0362471e-06
215,1.83739e-06
298,1.2614703e-06
484,1.3221508e-06
177,2.002805e-06
412,8.245278e-07
207,1.3031307e-06
421,1.20924e-06
74,1.6018362e-06
105,1.2134983e-06
287,2.4568433e-06
443,1.2347789e-06
492,1.0517147e-06
10,1.0935768e-06
54,8.8426873e-07
169,1.1260119e-06
100,2.1488786e-06
359,1.5570263e-06
255,1.105415e-06
451,1.0348289e-06
383,1.051444e-06
20,2.195828e-06
439,5.061844e-06
3,8.895246e-07
459,1.1271034e-06
286,1.4484983e-06
275,1.0229493e-06
266,1.263263e-06
262,9.100157e-07
53,8.007832e-07
258,1.1239133e-06
117,1.0025622e-06
251,1.0139554e-06
188,8.4024185e-07
475,4.548135e-06
0,1.149726e-06
107,1.1726975e-06
454,1.3524673e-06
274,1.0045068e-06
247,1.2985704e-06
442,9.4472017e-07
489,1.2284806e-06
18,1.0277045e-06
26,1.0082383e-06
84,1.1762722e-05
260,1.014586e-06
28,1.1639777e-06
401,1.1683439e-06
424,9.2502097e-07
429,1.0436057e-06
227,1.2499607e-06
181,1.1675787e-06
282,1.1105291e-06
481,8.804945e-07
321,1.1814127e-06
467,2.0763507e-06
431,1.1728496e-06
276,1.0849196e-06
180,1.0296941e-06
301,8.541732e-07
257,1.2441109e-06
446,1.065306e-06
271,1.1032593e-06
376,1.0486169e-06
83,1.1616955e-06
95,1.2818525e-06
114,9.047156e-07
113,1.3050012e-06
361,1.0311111e-06
17,1.1396108e-06
206,9.777821e-07
408,1.0292621e-06
88,9.241101e-07
160,1.2003081e-06
76,2.9383932e-06
330,1.0046803e-06
348,1.2988478e-06
149,9.2625504e-07
9,9.1342145e-07
109,8.5162725e-07
480,1.0806374e-06
87,1.2364202e-06
435,1.1265596e-06
290,1.2150268e-06
447,1.0744808e-06
222,7.1173224e-07
303,1.164213e-06
477,1.1930612e-06
285,9.507152e-07
62,9.311501e-07
456,1.3604243e-06
166,6.2117124e-07
434,1.2072028e-06
219,1.3939124e-06
322,1.3810138e-06
133,1.0984529e-06
72,1.2033155e-06
470,1.400353e-06
304,1.1236411e-06
416,1.4160144e-06
313,1.2624428e-06
104,1.1245052e-06
63,1.1521396e-06
488,1.1681947e-06
81,1.3364328e-06
389,1.323618e-06
216,1.2409919e-06
210,1.3870883e-06
202,9.879907e-07
137,1.2084676e-06
192,1.03437e-06
232,1.4571815e-06
423,1.0244919e-06
397,1.1869215e-06
183,1.038778e-06
308,1.4252217e-06
37,1.3067835e-06
122,1.1194932e-06
367,1.2474351e-06
350,1.0410808e-06
90,1.268593e-06
278,8.7483056e-07
153,1.3953288e-06
499,1.137895e-06
230,1.4343642e-06
29,1.0507111e-06
246,1.3403883e-06
482,1.3866372e-06
469,1.2099841e-06
19,1.4408931e-06
270,9.501957e-07
390,1.3322449e-06
334,1.3926433e-06
22,1.28529e-06
98,1.3441261e-06
436,1.3665566e-06
354,1.3432074e-06
199,1.2520331e-06
203,1.5724696e-06
101,1.1143111e-06
214,1.435967e-06
265,1.071963e-06
353,1.3943152e-06
99,8.8156924e-07
167,1.3237657e-06
127,1.1333744e-06
65,1.28387e-06
38,1.4322004e-06
173,1.4826547e-06
472,1.0988081e-06
48,1.143384e-06
106,1.1845457e-06
194,1.272832e-06
195,1.3829712e-06
462,1.2357342e-06
205,1.3682245e-06
213,1.4133525e-06
41,1.4852516e-06
155,1.4305638e-06
295,1.4371439e-06
338,1.3556414e-06
326,1.2900374e-06
406,1.3847012e-06
474,1.1876315e-06
55,1.3659221e-06
449,1.4947681e-06
483,1.4592453e-06
223,1.4207243e-06
476,1.2216217e-06
52,1.1772873e-06
42,1.5498633e-06
56,1.4568092e-06
384,1.4523258e-06
217,1.3117955e-06
120,1.3706184e-06
413,1.0043957e-06
75,1.2459382e-06
427,1.4461697e-06
441,1.4609524e-06
320,1.3024661e-06
293,1.3075402e-06
116,1.5038001e-06
36,1.3651942e-06
405,1.3815026e-06
46,1.4060726e-06
387,1.4064509e-06
332,1.3384683e-06
128,1.3191067e-06
452,1.3790832e-06
419,1.5507342e-06
291,1.4895767e-06
279,1.5683601e-06
473,1.5356611e-06
365,1.4129523e-06
306,1.2440918e-06
357,1.3560216e-06
307,1.4359956e-06
494,1.0546606e-06
235,1.2554743e-06
45,1.3731749e-06
196,1.2102229e-06
267,1.4516777e-06
140,1.2812048e-06
253,1.4056623e-06
78,1.4246157e-06
355,1.5560273e-06
85,1.5412201e-06
460,1.4578349e-06
264,1.4798987e-06
93,1.5760052e-06
234,1.296823e-06
189,1.4231775e-06
102,1.5136576e-06
111,1.4946868e-06
479,1.462589e-06
333,1.4861585e-06
154,1.5208709e-06
493,1.3920604e-06
268,1.4705948e-06
309,1.2967909e-06
302,1.4638532e-06
398,1.5631203e-06
108,1.4650417e-06
422,1.4597658e-06
31,1.5396512e-06
487,1.4391943e-06
250,1.2507752e-06
343,1.3192135e-06
394,1.5579516e-06
366,1.577906e-06
66,1.4467533e-06
67,1.4764943e-06
438,1.3977327e-06
440,1.5349832e-06
178,1.5631575e-06
187,1.4788152e-06
346,1.5206083e-06
458,1.510177e-06
145,1.5371733e-06
294,1.6170852e-06
382,1.5282641e-06
146,1.5071325e-06
374,1.6047504e-06
417,1.5858654e-06
208,1.5734356e-06
171,1.5742492e-06
269,1.5184316e-06
174,1.5229565e-06
237,1.5723466e-06
351,1.4306402e-06
317,1.5042463e-06
115,1.3930963e-06
30,1.5221012e-06
380,1.5849402e-06
186,1.6081531e-06
25,1.5365063e-06
32,1.4746522e-06
283,1.490354e-06
277,1.5367497e-06
368,1.5686546e-06
289,1.4517136e-06
96,1.5434706e-06
341,1.6052937e-06
144,1.5155715e-06
336,1.5851065e-06
5,1.6178889e-06
71,1.3893721e-06
94,1.5685694e-06
329,1.5241698e-06
130,1.6367509e-06
445,1.6288049e-06
121,1.5690018e-06
437,1.5509722e-06
172,1.5276885e-06
316,1.5520584e-06
73,1.6589165e-06
15,1.5818249e-06
369,1.6393161e-06
455,1.6034608e-06
209,1.5174169e-06
471,1.5127484e-06
407,1.5149226e-06
349,1.6182823e-06
261,1.6748559e-06
379,1.5582251e-06
190,1.6184491e-06
142,1.6283312e-06
1,1.4533871e-06
395,1.5402196e-06
352,1.5522152e-06
92,1.5058511e-06
89,1.5729136e-06
150,1.5667096e-06
13,1.6405562e-06
318,1.6178117e-06
370,1.5894403e-06
239,1.5229782e-06
347,1.6495237e-06
337,1.6129637e-06
305,1.6679669e-06
139,1.6746452e-06
310,1.5386266e-06
170,1.6765531e-06
126,1.6925038e-06
363,1.6126576e-06
466,1.7029517e-06
21,1.5250639e-06
