,weight
N0000,0.5
ABA_ABA,0.010131292
ABP_ABP,0.010131292
ABAL_ABAL,4.9592824
ABAR_ABAR,0.048168212
ABPL_ABPL,0.06294835
ABPR_ABPR,0.21088324
ABALA_ABALA,0.44741577
ABALP_ABALP,0.36805853
ABARA_ABARA,1.6728814
ABARP_ABARP,0.061330754
ABPLA_ABPLA,0.0636832
ABPLP_ABPLP,2.4141855
ABPRA_ABPRA,0.023794381
ABPRP_ABPRP,6.7688355
ABALAA_ABALAA,0.30986142
ABALAP_ABALAP,0.29882842
ABALPA_ABALPA,1.1577181
ABALPP_ABALPP,0.37519488
ABARAA_ABARAA,3.1449223
ABARAP_ABARAP,2.393747
ABARPA_ABARPA,0.022506943
ABARPP_ABARPP,0.017631363
ABPLAA_ABPLAA,0.04091766
ABPLAP_ABPLAP,0.02370079
ABPLPA_ABPLPA,2.4227154
ABPLPP_ABPLPP,2.0457704
ABPRAA_ABPRAA,0.04704588
ABPRAP_ABPRAP,0.036592424
ABPRPA_ABPRPA,0.7537736
ABPRPP_ABPRPP,0.5260373
ABALAAA_ABALAAA,0.36665544
ABALAAP_ABALAAP,0.3450668
ABALAPA_ABALAPA,0.2663889
ABALAPP_ABALAPP,0.4328923
ABALPAA_ABALPAA,0.842122
ABALPAP_ABALPAP,1.423242
ABALPPA_ABALPPA,0.57178456
ABALPPP_ABALPPP,1.3172435
ABARAAA_ABARAAA,1.5755137
ABARAAP_ABARAAP,1.5879753
ABARAPA_ABARAPA,3.6172752
ABARAPP_ABARAPP,4.290815
ABARPAA_ABARPAA,0.047676425
ABARPAP_ABARPAP,0.030702626
ABARPPA_ABARPPA,0.021555735
ABARPPP_ABARPPP,0.030675659
ABPLAAA_ABPLAAA,0.11711628
ABPLAAP_ABPLAAP,0.07848822
ABPLAPA_ABPLAPA,0.063094206
ABPLAPP_ABPLAPP,0.04827446
ABPLPAA_ABPLPAA,1.9998149
ABPLPAP_ABPLPAP,2.0023727
ABPLPPA_ABPLPPA,2.2799318
ABPLPPP_ABPLPPP,2.0011969
ABPRAAA_ABPRAAA,1.46577
ABPRAAP_ABPRAAP,0.052745644
ABPRAPA_ABPRAPA,0.50089806
ABPRAPP_ABPRAPP,0.049747795
ABPRPAA_ABPRPAA,0.8716517
ABPRPAP_ABPRPAP,2.1884575
ABPRPPA_ABPRPPA,1.1197386
ABPRPPP_ABPRPPP,1.0773271
ABALAAAA_ABALAAAA,0.37982303
ABALAAAP_ABALAAAP,3.1789768
ABALAAPA_ABALAAPA,1.5601113
ABALAAPP_ABALAAPP,0.70116735
ABALAPAA_ABALAPAA,0.30752912
ABALAPAP_ABALAPAP,1.4660106
ABALAPPA_ABALAPPA,1.9081986
ABALAPPP_ABALAPPP,1.4803337
ABALPAAA_ABALPAAA,0.8678987
ABALPAAP_ABALPAAP,0.8138754
ABALPAPA_ABALPAPA,0.7374386
ABALPAPP_ABALPAPP,1.0388904
ABALPPAA_ABALPPAA,1.6523986
ABALPPAP_ABALPPAP,0.48687845
ABALPPPA_ABALPPPA,0.6649902
ABALPPPP_ABALPPPP,0.6198194
ABARAAAA_ABARAAAA,1.369431
ABARAAAP_ABARAAAP,0.70587486
ABARAAPA_ABARAAPA,0.6680253
ABARAAPP_ABARAAPP,1.2498341
ABARAPAA_ABARAPAA,0.9899659
ABARAPAP_ABARAPAP,1.3340045
ABARAPPA_ABARAPPA,0.34435305
ABARAPPP_ABARAPPP,0.59538084
ABARPAAA_ABARPAAA,3.9227
ABARPAAP_ABARPAAP,0.05362254
ABARPAPA_ABARPAPA,0.95687926
ABARPAPP_ABARPAPP,0.050012913
ABARPPAA_ABARPPAA,0.097505726
ABARPPAP_ABARPPAP,0.022485945
ABARPPPA_ABARPPPA,0.26448387
ABARPPPP_ABARPPPP,0.061029747
ABPLAAAA_ABPLAAAA,3.238046
ABPLAAAP_ABPLAAAP,0.029476693
ABPLAAPA_ABPLAAPA,2.4351773
ABPLAAPP_ABPLAAPP,0.07549427
ABPLAPAA_ABPLAPAA,0.084464066
ABPLAPAP_ABPLAPAP,0.114927135
ABPLAPPA_ABPLAPPA,0.062937565
ABPLAPPP_ABPLAPPP,0.050152056
ABPLPAAA_ABPLPAAA,2.0134
ABPLPAAP_ABPLPAAP,0.8453973
ABPLPAPA_ABPLPAPA,1.5916915
ABPLPAPP_ABPLPAPP,1.0004295
ABPLPPAA_ABPLPPAA,1.5416847
ABPLPPAP_ABPLPPAP,1.565875
ABPLPPPA_ABPLPPPA,1.4223804
ABPLPPPP_ABPLPPPP,0.9397077
ABPRAAAA_ABPRAAAA,3.5541003
ABPRAAAP_ABPRAAAP,2.245457
ABPRAAPA_ABPRAAPA,4.670282
ABPRAAPP_ABPRAAPP,0.16762874
ABPRAPAA_ABPRAPAA,0.7892314
ABPRAPPA_ABPRAPPA,0.2477684
ABPRAPPP_ABPRAPPP,0.52581036
ABPRPAAA_ABPRPAAA,1.4463593
ABPRPAAP_ABPRPAAP,1.4250355
ABPRPAPA_ABPRPAPA,0.74390703
ABPRPAPP_ABPRPAPP,1.0540814
ABPRPPAA_ABPRPPAA,1.8278128
ABPRPPAP_ABPRPPAP,1.7340386
ABPRPPPP_ABPRPPPP,2.3510377
ABALAAAAL_ABALAAAAL,1.4860938
ABALAAAAR_ABALAAAAR,1.5121216
ABALAAAPA_ABALAAAPA,2.3050945
ABALAAPPP_ABALAAPPP,0.87858534
ABALAPAAA_ABALAPAAA,1.4973654
ABALAPAAP_ABALAPAAP,1.8960614
ABALAPPAP_ABALAPPAP,0.8961926
ABALAPPPA_ABALAPPPA,0.98618835
ABALPAAAA_ABALPAAAA,0.19743414
ABALPAAAP_ABALPAAAP,0.38187084
ABALPAAPA_ABALPAAPA,0.7559472
ABALPAAPP_ABALPAAPP,0.9452376
ABALPAPAA_ABALPAPAA,0.95208955
ABALPAPAP_ABALPAPAP,0.93701947
ABALPAPPP_ABALPAPPP,1.5842239
ABALPPAPA_ABALPPAPA,1.580749
ABALPPAPPA_ABALPPAPPA,1.1981442
ABALPPPAA_ABALPPPAA,1.8215255
ABALPPPAP_ABALPPPAP,0.8184561
ABALPPPPA_ABALPPPPA,1.0942359
ABALPPPPP_ABALPPPPP,0.58724755
ABARAAAPA_ABARAAAPA,0.8692933
ABARAAAPP_ABARAAAPP,1.1262957
ABARAAPAA_ABARAAPAA,1.2200652
ABARAAPAP_ABARAAPAP,0.94198006
ABARAAPPA_ABARAAPPA,0.946446
ABARAPPAA_ABARAPPAA,0.8612371
ABARPAAAA_ABARPAAAA,2.3026185
ABARPAPAA_ABARPAPAA,4.058638
ABARPAPPA_ABARPAPPA,0.48447922
ABARPPAAA_ABARPPAAA,0.18316339
ABARPPAAP_ABARPPAAP,0.36817905
ABARPPAPP_ABARPPAPP,0.01711517
ABPLAAPAA_ABPLAAPAA,2.0614028
ABPLAAPAP_ABPLAAPAP,2.0627391
ABPLAAPPA_ABPLAAPPA,0.17306435
ABPLAAPPP_ABPLAAPPP,0.16404566
ABPLAPAAA_ABPLAPAAA,4.228269
ABPLAPAAP_ABPLAPAAP,0.09837095
ABPLAPAPA_ABPLAPAPA,0.11571615
ABPLAPPAA_ABPLAPPAA,0.2177984
ABPLAPPAP_ABPLAPPAP,0.05643768
ABPLAPPPA_ABPLAPPPA,4.5980005
ABPLAPPPP_ABPLAPPPP,0.06276551
ABPLPAAAA_ABPLPAAAA,2.2183352
ABPLPAAPA_ABPLPAAPA,0.98266554
ABPLPAAPP_ABPLPAAPP,2.1509085
ABPLPAPAA_ABPLPAPAA,1.3388945
ABPLPAPAP_ABPLPAPAP,1.3229614
ABPLPAPPP_ABPLPAPPP,1.4974579
ABPLPPAAP_ABPLPPAAP,1.5360783
ABPLPPAPP_ABPLPPAPP,1.1653062
ABPLPPPAA_ABPLPPPAA,1.5858958
ABPLPPPPA_ABPLPPPPA,1.2215842
ABPLPPPPP_ABPLPPPPP,1.2044694
ABPRAAAAP_ABPRAAAAP,1.9426283
ABPRAAAPA_ABPRAAAPA,3.2253323
ABPRAAAPP_ABPRAAAPP,2.548502
ABPRAAPAP_ABPRAAPAP,2.6944616
ABPRAPAAA_ABPRAPAAA,6.014024
ABPRAPPPA_ABPRAPPPA,5.9388657
ABPRPAAAA_ABPRPAAAA,1.273414
ABPRPAAPA_ABPRPAAPA,1.2511846
ABPRPAPAA_ABPRPAPAA,1.0682504
ABPRPAPPA_ABPRPAPPA,1.0463668
ABPRPAPPP_ABPRPAPPP,0.8925496
ABPRPPPPA_ABPRPPPPA,1.3763583
ABALAAAPAL_ABALAAAPAL,1.7320098
ABALAAPPPP_ABALAAPPPP,1.4193547
ABALPAPAPA_ABALPAPAPA,1.5939592
ABALPPPPPA_ABALPPPPPA,1.0557615
ABALPPPPPP_ABALPPPPPP,0.8664776
ABARPAPAAPP_ABARPAPAAPP,2.1522567
ABPLAAPAPA_ABPLAAPAPA,2.1286426
ABPLAAPAPP_ABPLAAPAPP,2.116174
ABPLAPAAAPA_ABPLAPAAAPA,2.6264796
ABPLPAAPAA_ABPLPAAPAA,2.4128146
ABPLPAAPPA_ABPLPAAPPA,1.4087173
ABPLPAPAAP_ABPLPAPAAP,1.2373698
ABPLPAPAPA_ABPLPAPAPA,1.5895299
ABPLPAPPPP_ABPLPAPPPP,1.1681926
ABPRAAAPPP_ABPRAAAPPP,1.5380208
ABPRPAPPAA_ABPRPAPPAA,1.2980143
ABPRPPPPAP_ABPRPPPPAP,1.2936386
ABALPPPPPPP_ABALPPPPPPP,1.3247013
ABALAAAALAL,3.0466979
ABALAAAALP,3.500193
ABALAAAARLP,3.3352358
ABALAAAARR,3.4076815
ABALAAAPALL,3.6708434
ABALAAAPALR,2.4350097
ABALAAAPAR,2.0185921
ABALAAAPPR,1.9401848
ABALAAPAAA,3.9294453
ABALAAPAPPP,2.3434696
ABALAAPPAPA,3.447945
ABALAAPPPAA,2.8751986
ABALAAPPPPAA,3.9795978
ABALAAPPPPP,2.1626651
ABALAPAAAAA,3.5553925
ABALAPAAAPA,2.9959104
ABALAPAAPA,3.617471
ABALAPAAPPA,3.0242233
ABALAPAPAPAA,3.2488072
ABALAPAPPPA,3.2025855
ABALAPPAAPA,2.0148544
ABALAPPAPA,3.1034598
ABALAPPAPP,2.8148806
ABALAPPPAAA,2.8971276
ABALAPPPAPA,2.9347363
ABALAPPPPP,2.4542546
ABALPAAAAA,2.8412418
ABALPAAAAP,3.707383
ABALPAAAPA,3.2349403
ABALPAAAPP,3.347961
ABALPAAPAAA,3.588722
ABALPAAPAPA,3.4312487
ABALPAAPPAA,2.091626
ABALPAAPPPA,4.9043946
ABALPAPAAA,3.1103394
ABALPAPAAPA,2.5668793
ABALPAPAPAA,3.2165346
ABALPAPAPAPP,4.3120375
ABALPAPAPP,1.5938014
ABALPAPPAPP,1.6224046
ABALPAPPPA,3.148153
ABALPAPPPP,3.0500133
ABALPPAAAP,3.2969599
ABALPPAAPP,3.0708766
ABALPPAPAA,3.1026423
ABALPPAPAP,3.1915467
ABALPPAPPAA,3.519453
ABALPPAPPAP,2.5377967
ABALPPPAAAA,4.037201
ABALPPPAAP,3.4169784
ABALPPPAPAV,3.5606987
ABALPPPAPPPA,2.5160992
ABALPPPPAAD,2.414539
ABALPPPPAPAA,3.8813772
ABALPPPPPAA,2.4876173
ABALPPPPPAP,3.7648587
ABALPPPPPPAA,1.7217875
ABALPPPPPPPA,2.9679947
ABALPPPPPPPP,3.1918135
ABARAAAAAA,2.9995358
ABARAAAAPA,3.3825276
ABARAAAPAA,2.8997068
ABARAAAPAP,3.2914622
ABARAAAPPA,2.9361749
ABARAAAPPP,3.2937975
ABARAAPAAA,2.43587
ABARAAPAAPP,3.4866233
ABARAAPAPAA,3.0276165
ABARAAPAPP,3.2235246
ABARAAPPAA,3.5481937
ABARAAPPAP,2.8381853
ABARAAPPP,2.4279196
ABARAPAAA,2.4749756
ABARAPAAP,3.1439037
ABARAPAPAPP,2.663207
ABARAPAPP,3.7931316
ABARAPPAAA,3.8502753
ABARAPPAAP,3.0454516
ABARAPPAP,2.2665937
ABARAPPPA,2.808718
ABARAPPPPA,3.4566612
ABARPAAAAA,3.2950892
ABARPAAAAPP,3.535184
ABARPAAAPA,4.000736
ABARPAAPAA,0.5237776
ABARPAAPP,1.5846068
ABARPAPAAA,4.896998
ABARPAPAAPPA,3.2157648
ABARPAPAAPPP,3.165325
ABARPAPAPA,0.090569176
ABARPAPPAA,9.354217
ABARPAPPAP,0.19768225
ABARPAPPPA,0.049614362
ABARPPAAAA,4.4221215
ABARPPAAAP,0.21887568
ABARPPAAPA,0.12924394
ABARPPAAPPA,8.798914
ABARPPAPAA,0.3185299
ABARPPAPPA,0.026906338
ABARPPAPPP,0.013396833
ABARPPPAA,2.37768
ABARPPPAPP,2.2013118
ABARPPPPA,1.4454877
ABARPPPPP,0.7835444
ABPLAAAAAPP,6.5255485
ABPLAAAAP,1.9062957
ABPLAAAPA,1.8440083
ABPLAAAPP,1.3845686
ABPLAAPAAAA,5.829745
ABPLAAPAAP,5.15967
ABPLAAPAPAA,3.3675356
ABPLAAPAPAP,3.4205701
ABPLAAPAPPA,3.2519693
ABPLAAPAPPPA,3.4057775
ABPLAAPPAA,1.0478735
ABPLAAPPAP,0.46972403
ABPLAAPPPA,0.40974307
ABPLAAPPPP,0.11494093
ABPLAPAAAAPA,5.212484
ABPLAPAAAPAD,2.963023
ABPLAPAAAPAV,2.922173
ABPLAPAAPA,0.62320536
ABPLAPAAPP,0.10823085
ABPLAPAPAA,0.50068617
ABPLAPAPAP,0.0759672
ABPLAPAPPA,0.31499374
ABPLAPPAAA,0.639449
ABPLAPPAAP,0.46279958
ABPLAPPAPA,0.081750266
ABPLAPPAPP,0.046120927
ABPLAPPPAAA,4.341768
ABPLAPPPAPPP,4.5367317
ABPLAPPPPA,0.29600492
ABPLAPPPPP,0.029209046
ABPLPAAAAAP,4.038402
ABPLPAAAAPA,3.6495106
ABPLPAAAPA,2.1391296
ABPLPAAPAAA,3.3376887
ABPLPAAPAAP,3.1777585
ABPLPAAPAPA,1.4812185
ABPLPAAPPAA,3.2325904
ABPLPAAPPAP,2.7408328
ABPLPAAPPPA,1.7747412
ABPLPAPAAAP,1.6106478
ABPLPAPAAPA,3.1357222
ABPLPAPAAPP,3.127704
ABPLPAPAPAA,3.2356415
ABPLPAPAPAP,2.9612703
ABPLPAPAPP,1.5626606
ABPLPAPPAAP,2.5101013
ABPLPAPPPAA,1.8579183
ABPLPAPPPPA,3.607739
ABPLPAPPPPP,2.8590803
ABPLPPAAAAPP,2.1977835
ABPLPPAAPAP,2.9336824
ABPLPPAAPP,3.2059076
ABPLPPAPAP,2.134611
ABPLPPAPPA,3.4688916
ABPLPPAPPP,3.0369146
ABPLPPPAAA,2.9867048
ABPLPPPAAPA,3.1333532
ABPLPPPAPA,2.0300813
ABPLPPPPAAA,3.5070333
ABPLPPPPAPA,3.043003
ABPLPPPPPA,3.024639
ABPLPPPPPP,2.9479594
ABPRAAAAAA,5.173901
ABPRAAAAPA,3.3456516
ABPRAAAAPPP,3.2261384
ABPRAAAPAA,3.049551
ABPRAAAPAPA,3.622076
ABPRAAAPPA,3.4342933
ABPRAAAPPPA,3.1899688
ABPRAAAPPPP,3.2335796
ABPRAAPAAA,5.5481553
ABPRAAPAPA,3.102389
ABPRAAPAPPP,3.6000338
ABPRAAPPA,1.617293
ABPRAAPPP,1.2044698
ABPRAPAAAAP,3.7222319
ABPRAPAAAPA,3.013906
ABPRAPAAP,1.9243248
ABPRAPAP,4.1265545
ABPRAPPAA,3.1500356
ABPRAPPAP,1.1091123
ABPRAPPPAA,3.5170805
ABPRAPPPAPP,4.179472
