,weight
WBGene00045379,3.6781685e-07
WBGene00008779,4.1540304e-07
WBGene00006642,3.195941e-07
WBGene00017154,2.783039e-07
WBGene00011739,3.8455818e-07
WBGene00017893,3.8239537e-07
WBGene00014141,3.5327932e-07
WBGene00012819,1.9638353e-05
WBGene00017169,2.7166237e-07
WBGene00001244,4.0382028e-07
WBGene00019477,3.6032034e-07
WBGene00004013,3.6372657e-07
WBGene00022104,1.1406602e-05
WBGene00005018,0.00010152884
WBGene00009162,3.191701e-07
WBGene00002248,3.5962515e-07
WBGene00001075,8.182701e-05
WBGene00019921,3.7148595e-07
WBGene00001076,0.00012961647
WBGene00021525,0.0004548281
WBGene00019730,2.3293756e-05
WBGene00001828,0.98844284
WBGene00001105,0.0010958164
WBGene00015752,1.9705851e-07
WBGene00008629,7.368147e-06
WBGene00206416,2.622984e-07
WBGene00015781,0.0010212193
WBGene00011774,4.279118e-07
WBGene00015705,1.8895875e-05
WBGene00016996,0.00017059973
WBGene00017125,4.3370414e-06
WBGene00019492,1.5308016e-06
WBGene00013263,0.00014884316
WBGene00004438,4.945931e-07
WBGene00017023,1.6793712e-07
WBGene00000968,2.08948e-06
WBGene00185014,0.0010279923
WBGene00015062,1.646253e-07
WBGene00013145,0.00016712205
WBGene00012186,0.0006143166
WBGene00003684,2.4141722e-05
WBGene00019166,2.0331267e-07
WBGene00003071,0.00025577957
WBGene00010740,1.1588312e-06
WBGene00020593,2.1193091e-07
WBGene00008205,1.5591719e-05
WBGene00018144,0.00011345041
WBGene00016422,0.0005026675
WBGene00001768,3.1517638e-06
WBGene00012443,3.2097287e-07
WBGene00011398,2.0938296e-05
WBGene00014254,1.5587987e-07
WBGene00022146,0.00012853937
WBGene00013969,9.912274e-05
WBGene00077786,2.1987324e-07
WBGene00003769,1.6193661e-07
WBGene00004195,1.9080571e-06
WBGene00010052,4.095836e-06
WBGene00235351,3.421682e-07
WBGene00019650,3.5808257e-06
WBGene00008586,1.3533854e-06
WBGene00000116,1.2036449e-05
WBGene00013448,2.2871355e-07
WBGene00009342,7.026068e-05
WBGene00045481,1.8721272e-07
WBGene00206417,0.0016917133
WBGene00008156,3.3062428e-05
WBGene00018682,3.188878e-05
WBGene00001429,1.9740686e-07
WBGene00010189,2.0166046e-07
WBGene00003659,2.4889268e-06
WBGene00016462,2.2350505e-06
WBGene00010047,2.1725299e-07
WBGene00009926,0.00013256476
WBGene00006404,2.1191286e-06
WBGene00001045,2.4775605e-07
WBGene00018811,3.6088968e-06
WBGene00003975,7.5620045e-07
WBGene00007479,0.0016131446
WBGene00011763,2.8780468e-07
WBGene00016403,2.024146e-07
WBGene00011480,2.0070155e-07
WBGene00020104,9.218001e-05
WBGene00018561,2.56828e-07
WBGene00016762,2.7217916e-07
WBGene00001428,3.5268353e-05
WBGene00010102,0.0001614619
WBGene00011927,2.37633e-06
WBGene00000929,1.8045914e-05
WBGene00004193,8.4594296e-07
WBGene00012939,1.4418169e-05
WBGene00001065,2.9666178e-05
WBGene00003627,6.610527e-05
WBGene00015887,2.5000753e-07
WBGene00019322,2.0494626e-06
WBGene00004979,1.8106748e-07
WBGene00018206,2.0318647e-07
WBGene00011168,1.9738467e-07
WBGene00017123,1.9215801e-07
WBGene00018965,2.0301233e-07
WBGene00016641,2.2498827e-05
WBGene00015802,2.1832734e-06
WBGene00010100,8.573869e-05
WBGene00011226,1.629041e-05
WBGene00000620,2.1982798e-05
WBGene00000040,3.477792e-06
WBGene00004476,3.93016e-07
WBGene00015613,1.4676871e-06
WBGene00005832,5.926286e-06
WBGene00022868,3.821655e-06
WBGene00010488,1.6313108e-07
WBGene00010525,1.4438876e-07
WBGene00004199,2.2507934e-06
WBGene00017423,7.832921e-07
WBGene00016603,1.5020037e-06
WBGene00019514,1.0535216e-05
WBGene00019647,1.0030208e-06
WBGene00020765,1.1021413e-07
WBGene00019329,4.08016e-06
WBGene00044210,4.129014e-05
WBGene00000138,0.00011717088
WBGene00007256,7.37061e-07
WBGene00043981,1.8806055e-07
WBGene00015298,4.236665e-05
WBGene00004197,1.7040695e-07
WBGene00235267,3.062171e-06
WBGene00001064,1.204813e-05
WBGene00019249,2.2553132e-07
WBGene00003518,1.9183851e-07
WBGene00004855,3.987664e-05
WBGene00000164,3.98836e-07
WBGene00013704,4.4654757e-06
WBGene00010291,3.7658415e-06
WBGene00003704,1.7787548e-07
WBGene00006097,1.744948e-05
WBGene00021835,1.8002372e-07
WBGene00003395,2.2223094e-07
WBGene00012437,2.0558707e-07
WBGene00002247,3.0683228e-07
WBGene00008538,1.415762e-07
WBGene00007573,1.9333424e-07
WBGene00022416,1.9275046e-07
WBGene00011422,4.452752e-06
WBGene00206380,2.3295999e-07
WBGene00017082,1.2860464e-05
WBGene00011175,2.9582017e-07
WBGene00016919,2.0001539e-07
WBGene00004192,1.8102104e-07
WBGene00007324,5.143588e-05
WBGene00010155,1.7644278e-07
WBGene00006956,9.960589e-06
WBGene00004914,6.384763e-07
WBGene00008563,2.9285093e-07
WBGene00009451,3.5130319e-07
WBGene00007534,2.8317115e-07
WBGene00015745,3.2842414e-07
WBGene00019591,4.7784744e-07
WBGene00014153,2.6209887e-07
WBGene00007402,3.8543662e-06
WBGene00015168,1.8292181e-07
WBGene00003912,2.178526e-07
WBGene00018828,2.0497275e-07
WBGene00012635,9.069401e-06
WBGene00019029,1.2172113e-06
WBGene00006366,8.194083e-06
WBGene00004409,4.4473433e-07
WBGene00001971,7.9076693e-07
WBGene00007351,4.2590304e-07
WBGene00018238,5.845164e-07
WBGene00012807,7.326012e-07
WBGene00022816,4.8837665e-05
WBGene00018952,2.0038004e-07
WBGene00011580,9.2040165e-07
WBGene00010870,2.101225e-07
WBGene00015707,1.8825381e-07
WBGene00010738,2.2220699e-07
WBGene00003962,1.7337214e-07
WBGene00019960,1.7959262e-07
WBGene00006643,1.7023234e-07
WBGene00019657,2.6187774e-07
WBGene00007018,6.306173e-07
WBGene00016006,6.037595e-06
WBGene00012703,2.9390661e-05
WBGene00010317,5.8122074e-05
WBGene00004423,4.449303e-07
WBGene00010472,1.4040545e-07
WBGene00014938,1.8606947e-07
WBGene00011383,1.7458167e-07
WBGene00018656,9.322707e-06
WBGene00001808,7.328388e-07
WBGene00001898,1.064323e-07
WBGene00009156,3.4441078e-07
WBGene00004129,2.1546923e-07
WBGene00001069,5.444929e-06
WBGene00045495,5.303346e-07
WBGene00022033,2.2624632e-05
WBGene00006639,1.9180264e-07
WBGene00010778,7.687266e-07
WBGene00004800,3.5948185e-07
WBGene00010981,2.2588776e-07
WBGene00018771,2.1982733e-07
WBGene00004478,3.499039e-07
WBGene00004475,3.6182513e-07
WBGene00002255,1.9972356e-07
WBGene00009343,1.759798e-05
WBGene00001072,8.093924e-06
WBGene00003111,2.7559878e-07
WBGene00007786,2.3089439e-07
WBGene00017083,1.8877986e-07
WBGene00017208,4.2311808e-07
WBGene00004191,2.3143691e-07
WBGene00015063,1.968339e-07
WBGene00002065,5.866217e-07
WBGene00008338,6.7145896e-07
WBGene00010693,1.9702686e-06
WBGene00004917,7.09545e-07
WBGene00004486,4.0581273e-07
WBGene00017512,1.1341308e-06
WBGene00000773,5.518463e-07
WBGene00003778,2.0327408e-07
WBGene00004415,3.8520014e-07
WBGene00002827,1.7342325e-05
WBGene00009482,2.1991823e-06
WBGene00021350,3.795578e-07
WBGene00004473,3.8367094e-07
WBGene00002983,2.3500846e-07
WBGene00001604,1.8342281e-07
WBGene00006893,2.411535e-07
WBGene00001430,1.5383992e-07
WBGene00016106,2.597662e-07
WBGene00007934,1.7181761e-06
WBGene00000972,1.7266609e-07
WBGene00004143,4.6286388e-07
WBGene00195142,2.7510328e-07
WBGene00013553,5.674714e-07
WBGene00004436,2.9724941e-07
WBGene00011250,2.4648412e-07
WBGene00016071,5.961712e-07
WBGene00004916,5.398984e-07
WBGene00018370,9.975075e-06
WBGene00007168,2.6459452e-07
WBGene00010290,2.2094167e-07
WBGene00022836,2.6513433e-07
WBGene00008683,3.0687409e-07
WBGene00004895,5.779105e-07
WBGene00206507,8.3388403e-07
WBGene00004408,3.5658024e-07
WBGene00009618,2.2078244e-07
WBGene00020379,5.490667e-07
WBGene00003367,5.296416e-07
WBGene00007217,5.051332e-07
WBGene00021346,6.03438e-07
WBGene00017143,6.909608e-07
WBGene00015125,1.6688386e-07
WBGene00015515,3.421845e-07
WBGene00007257,1.587686e-05
WBGene00002007,1.7007267e-07
WBGene00011767,1.619363e-07
WBGene00004076,2.1805487e-05
WBGene00004427,3.2738654e-07
WBGene00004480,4.0577908e-07
WBGene00021199,4.2601962e-07
WBGene00002127,7.273748e-06
WBGene00003621,3.7489817e-06
WBGene00018742,1.9618939e-07
WBGene00013604,5.0815976e-07
WBGene00001249,2.93502e-06
WBGene00022774,4.8633905e-07
WBGene00002253,1.8050353e-07
WBGene00000652,7.869734e-06
WBGene00000257,4.6038667e-07
WBGene00004428,3.5960494e-07
WBGene00010037,3.7846692e-07
WBGene00002175,2.4670505e-06
WBGene00001853,2.1698361e-07
WBGene00004484,2.8429574e-07
WBGene00001196,1.6877264e-07
WBGene00002282,5.5567543e-06
WBGene00001324,5.602748e-07
WBGene00014031,2.6372814e-07
WBGene00006386,4.0313958e-07
WBGene00016983,4.5864078e-07
WBGene00002980,4.4985572e-07
WBGene00021019,6.287641e-07
WBGene00001262,1.7399113e-07
WBGene00000831,2.671641e-07
WBGene00003072,1.9696871e-07
WBGene00010727,7.0912665e-06
WBGene00014079,4.7547638e-07
WBGene00017296,2.0406871e-07
WBGene00001169,4.3677377e-07
WBGene00015291,4.7375775e-07
WBGene00016364,1.6489527e-07
WBGene00001002,5.2379477e-07
WBGene00011908,2.1651232e-07
WBGene00000996,1.962401e-07
WBGene00077768,2.4367336e-07
WBGene00000973,2.3955928e-07
WBGene00014100,2.2418291e-07
WBGene00013585,7.452513e-06
WBGene00004470,3.7955672e-07
WBGene00000085,2.3048364e-07
WBGene00004433,3.7996813e-07
WBGene00013595,3.96538e-07
WBGene00017990,6.3010634e-07
WBGene00021648,5.0811036e-07
WBGene00004469,3.3043483e-07
WBGene00001077,1.481195e-07
WBGene00010556,3.807168e-07
WBGene00004414,3.1947192e-07
WBGene00000799,2.6779236e-07
WBGene00000455,2.0065579e-07
WBGene00009675,5.747438e-06
WBGene00006823,1.8972179e-07
WBGene00001167,2.6554576e-07
WBGene00001832,4.5687278e-07
WBGene00019489,2.5957902e-07
WBGene00010457,1.812596e-07
WBGene00006796,1.9485283e-07
WBGene00018778,4.8810284e-07
WBGene00014099,2.3424255e-07
WBGene00008971,2.0939933e-07
WBGene00022694,2.1994035e-07
WBGene00004025,1.864832e-07
WBGene00000295,1.4597025e-06
WBGene00001168,3.5670166e-07
WBGene00003802,4.262415e-07
WBGene00016970,1.9734814e-07
WBGene00003978,1.9539023e-07
WBGene00020951,5.636302e-07
WBGene00001946,1.0869267e-07
WBGene00004483,3.7374033e-07
WBGene00021818,1.6464573e-07
WBGene00044797,2.5178656e-07
WBGene00007904,2.4555644e-07
WBGene00021559,5.281648e-07
WBGene00000552,1.777744e-07
WBGene00019357,2.7225462e-06
WBGene00016927,3.3639164e-06
WBGene00018489,1.5952959e-07
WBGene00011830,2.0209038e-07
WBGene00006728,3.9532142e-07
WBGene00004489,3.2713436e-07
WBGene00018465,1.4126613e-07
WBGene00007146,2.2708329e-07
WBGene00004202,2.2820939e-07
WBGene00006363,1.6809238e-07
WBGene00004425,2.7268896e-07
WBGene00010234,2.2300308e-07
WBGene00004441,3.124886e-07
WBGene00013538,4.9334096e-07
WBGene00004481,3.4207685e-07
WBGene00013594,1.9558207e-07
WBGene00018878,2.6395912e-07
WBGene00004419,4.0286747e-07
WBGene00000928,1.6092055e-07
WBGene00000411,2.5619542e-07
WBGene00015464,1.3647515e-05
WBGene00010063,2.2922671e-07
WBGene00011392,1.5868397e-07
WBGene00006839,1.7889177e-07
WBGene00007589,5.5570376e-07
WBGene00003636,1.8276933e-06
WBGene00008034,1.4207352e-07
WBGene00011094,2.3183013e-07
WBGene00001854,1.7148521e-07
WBGene00000915,1.4856978e-07
WBGene00017317,3.194722e-07
WBGene00015494,2.1947729e-07
WBGene00013266,1.4148301e-06
WBGene00009626,2.2214407e-07
WBGene00004386,5.99813e-07
WBGene00006802,1.2982089e-07
WBGene00016549,8.0814175e-07
WBGene00020748,5.0899334e-06
WBGene00004953,2.6321555e-07
WBGene00006307,2.339929e-07
WBGene00044641,4.5883942e-07
WBGene00021375,2.245942e-07
WBGene00009444,4.2273413e-07
WBGene00000240,2.717931e-06
