,weight
N0000,0.5
ABA_ABA,0.005086862
ABP_ABP,0.005086862
ABAL_ABAL,8.098461
ABAR_ABAR,0.014951434
ABPL_ABPL,4.7693706
ABPR_ABPR,0.033899046
ABALA_ABALA,0.049443398
ABALP_ABALP,0.047854207
ABARA_ABARA,0.025584767
ABARP_ABARP,2.8066335
ABPLA_ABPLA,3.5829976
ABPLP_ABPLP,1.3594855
ABPRA_ABPRA,0.018434124
ABPRP_ABPRP,0.008953625
ABALAA_ABALAA,0.1331627
ABALAP_ABALAP,0.05488115
ABALPA_ABALPA,0.1340515
ABALPP_ABALPP,0.045900937
ABARAA_ABARAA,0.017170912
ABARAP_ABARAP,0.006024034
ABARPA_ABARPA,6.261771
ABARPP_ABARPP,5.5242176
ABPLAA_ABPLAA,0.026893307
ABPLAP_ABPLAP,0.03783584
ABPLPA_ABPLPA,2.512084
ABPLPP_ABPLPP,3.9710429
ABPRAA_ABPRAA,0.040475532
ABPRAP_ABPRAP,0.010085027
ABPRPA_ABPRPA,0.021593908
ABPRPP_ABPRPP,0.015415579
ABALAAA_ABALAAA,0.19134648
ABALAAP_ABALAAP,0.15339245
ABALAPA_ABALAPA,0.040893096
ABALAPP_ABALAPP,0.2977915
ABALPAA_ABALPAA,0.09816
ABALPAP_ABALPAP,0.24132442
ABALPPA_ABALPPA,0.11892078
ABALPPP_ABALPPP,0.04703019
ABARAAA_ABARAAA,0.11915137
ABARAAP_ABARAAP,0.032271035
ABARAPA_ABARAPA,0.011283545
ABARAPP_ABARAPP,0.01107531
ABARPAA_ABARPAA,0.049101427
ABARPAP_ABARPAP,0.062009055
ABARPPA_ABARPPA,0.9426773
ABARPPP_ABARPPP,0.04802187
ABPLAAA_ABPLAAA,2.3394067
ABPLAAP_ABPLAAP,0.022840207
ABPLAPA_ABPLAPA,0.041659266
ABPLAPP_ABPLAPP,0.04132314
ABPLPAA_ABPLPAA,0.018325288
ABPLPAP_ABPLPAP,0.030243633
ABPLPPA_ABPLPPA,0.047675617
ABPLPPP_ABPLPPP,0.052620817
ABPRAAA_ABPRAAA,0.03107569
ABPRAAP_ABPRAAP,0.07679403
ABPRAPA_ABPRAPA,0.013164748
ABPRAPP_ABPRAPP,0.012256638
