,weight
WBGene00045379,9.848724e-07
WBGene00008779,1.1769553e-06
WBGene00006642,8.19496e-07
WBGene00017154,7.0304947e-07
WBGene00011739,1.0498009e-06
WBGene00017893,1.0875458e-06
WBGene00014141,9.835434e-07
WBGene00017169,7.0213486e-07
WBGene00001244,1.0871155e-06
WBGene00019477,9.701083e-07
WBGene00004013,1.0075869e-06
WBGene00009162,8.299359e-07
WBGene00002248,1.2661735e-06
WBGene00019921,9.5036177e-07
WBGene00001828,4.2514343e-06
WBGene00015752,4.931202e-07
WBGene00206416,6.0529663e-07
WBGene00011774,1.2033468e-06
WBGene00004438,1.7519816e-06
WBGene00017023,4.9971294e-07
WBGene00015062,3.795298e-07
WBGene00019166,4.6829663e-07
WBGene00020593,4.4066763e-07
WBGene00014254,2.8840162e-07
WBGene00077786,5.0653676e-07
WBGene00003769,2.559611e-07
WBGene00235351,9.792492e-07
WBGene00008586,2.027647e-06
WBGene00013448,6.083168e-07
WBGene00045481,4.618791e-07
WBGene00001429,3.443105e-07
WBGene00010189,4.6872378e-07
WBGene00010047,4.9482315e-07
WBGene00001045,6.6235185e-07
WBGene00003975,5.4386064e-06
WBGene00011763,9.135392e-07
WBGene00016403,4.2119834e-07
WBGene00011480,3.800916e-07
WBGene00018561,6.8311783e-07
WBGene00016762,6.828026e-07
WBGene00015887,5.605172e-07
WBGene00004979,4.9549516e-07
WBGene00018206,3.8347e-07
WBGene00011168,5.349921e-07
WBGene00017123,3.9931498e-07
WBGene00018965,4.4303454e-07
WBGene00015613,4.1843246e-06
WBGene00010488,3.0906799e-07
WBGene00010525,2.3230389e-07
WBGene00017423,2.8921652e-06
WBGene00016603,4.6603095e-06
WBGene00020765,4.297594e-07
WBGene00007256,5.4102675e-06
WBGene00043981,4.688932e-07
WBGene00004197,3.3528477e-07
WBGene00019249,5.330747e-07
WBGene00003518,3.6087903e-07
WBGene00000164,1.0326021e-06
WBGene00003704,3.4630742e-07
WBGene00021835,3.5043004e-07
WBGene00003395,5.0894965e-07
WBGene00012437,4.824695e-07
WBGene00002247,8.5133996e-07
WBGene00008538,3.4662597e-07
WBGene00007573,3.2089258e-07
WBGene00022416,4.3915813e-07
WBGene00206380,7.1706154e-07
WBGene00011175,7.8055285e-07
WBGene00016919,3.908819e-07
WBGene00004192,3.6100812e-07
WBGene00010155,3.5051562e-07
WBGene00004914,6.042368e-06
WBGene00008563,1.2501305e-06
WBGene00009451,4.7649533e-07
WBGene00007534,1.6094713e-06
WBGene00015745,1.0256749e-06
WBGene00019591,7.3180045e-06
WBGene00014153,6.581714e-07
WBGene00015168,3.5455236e-07
WBGene00003912,5.62988e-07
WBGene00018828,4.4408992e-07
WBGene00001971,3.0407198e-06
WBGene00007351,1.4044848e-06
WBGene00018238,2.8545148e-06
WBGene00012807,2.3111186e-06
WBGene00018952,5.397134e-07
WBGene00010870,5.612693e-07
WBGene00015707,4.11698e-07
WBGene00010738,4.970186e-07
WBGene00003962,5.947927e-07
WBGene00019960,4.791862e-07
WBGene00006643,5.715081e-07
WBGene00019657,6.8046234e-07
WBGene00007018,4.386862e-06
WBGene00010472,3.4502642e-07
WBGene00014938,9.231493e-07
WBGene00011383,4.4536233e-07
WBGene00001808,2.535826e-06
WBGene00001898,3.1090308e-06
WBGene00004129,4.617188e-07
WBGene00045495,1.1751933e-06
WBGene00006639,3.5226992e-07
WBGene00004800,1.556682e-06
WBGene00010981,7.817582e-07
WBGene00018771,4.8003466e-07
WBGene00002255,3.9332747e-07
WBGene00003111,7.0096e-07
WBGene00007786,5.041118e-07
WBGene00017083,4.691204e-07
WBGene00017208,2.0868208e-06
WBGene00004191,5.332313e-07
WBGene00015063,4.9004615e-07
WBGene00008338,3.6459385e-06
WBGene00004917,9.381712e-06
WBGene00000773,1.0287024e-05
WBGene00003778,4.1002372e-07
WBGene00002983,5.453379e-07
WBGene00001604,2.9995203e-07
WBGene00006893,5.7714135e-07
WBGene00001430,3.8363316e-07
WBGene00016106,6.491247e-07
WBGene00000972,3.3474768e-07
WBGene00004143,3.8095766e-06
WBGene00195142,7.174459e-07
WBGene00013553,9.358465e-05
WBGene00011250,6.426398e-07
WBGene00016071,7.640258e-06
WBGene00004916,1.868479e-05
WBGene00007168,4.414376e-06
WBGene00010290,5.3347236e-07
WBGene00022836,6.25276e-07
WBGene00008683,1.6447015e-06
WBGene00004895,5.451245e-06
WBGene00206507,8.6910205e-07
WBGene00009618,5.130251e-07
WBGene00020379,1.4601378e-06
WBGene00003367,1.9417013e-05
WBGene00007217,3.0095905e-06
WBGene00021346,4.933307e-06
WBGene00017143,1.9306822e-06
WBGene00015125,2.5561374e-07
WBGene00015515,1.5243873e-05
WBGene00002007,3.0171614e-07
WBGene00011767,3.8331424e-07
WBGene00021199,2.0245807e-06
WBGene00018742,4.3137928e-07
WBGene00013604,8.44416e-07
WBGene00022774,1.705446e-05
WBGene00002253,4.777471e-07
WBGene00000257,8.186181e-05
WBGene00010037,1.7910347e-06
WBGene00001853,2.6533266e-06
WBGene00004484,8.9558705e-07
WBGene00001196,2.5969055e-07
WBGene00001324,2.6416365e-06
WBGene00014031,7.8722866e-07
WBGene00006386,1.1518431e-06
WBGene00016983,1.1672071e-06
WBGene00002980,1.5503279e-06
WBGene00021019,5.2728836e-07
WBGene00001262,3.1929483e-07
WBGene00000831,6.7813534e-07
WBGene00003072,3.4669705e-07
WBGene00014079,1.4671016e-06
WBGene00017296,4.3238384e-07
WBGene00015291,1.533306e-05
WBGene00016364,2.2091062e-07
WBGene00001002,7.976159e-05
WBGene00011908,4.4224385e-07
WBGene00000996,3.556004e-07
WBGene00077768,5.6863973e-07
WBGene00000973,5.1940964e-07
WBGene00014100,5.494819e-07
WBGene00000085,5.4907076e-07
WBGene00013595,1.1115709e-06
WBGene00017990,5.6283693e-06
WBGene00021648,5.661669e-05
WBGene00001077,2.6846195e-07
WBGene00000799,6.4149054e-07
WBGene00000455,5.376005e-07
WBGene00006823,4.1489295e-07
WBGene00001167,8.281404e-07
WBGene00001832,4.071803e-05
WBGene00019489,4.2216152e-07
WBGene00010457,5.0769654e-07
WBGene00006796,4.1230942e-07
WBGene00018778,0.0001632111
WBGene00014099,5.4383855e-07
WBGene00008971,5.431735e-07
WBGene00022694,3.192941e-06
WBGene00004025,2.9035496e-07
WBGene00003802,7.633012e-06
WBGene00016970,3.3300188e-07
WBGene00003978,3.9489703e-07
WBGene00020951,1.3617544e-05
WBGene00001946,1.0839435e-06
WBGene00021818,2.808967e-07
WBGene00044797,5.7831824e-07
WBGene00007904,5.46891e-07
WBGene00021559,5.2975014e-05
WBGene00000552,2.9140605e-07
WBGene00018489,2.951381e-07
WBGene00011830,4.4814314e-07
WBGene00018465,2.3933288e-07
WBGene00007146,5.1712965e-07
WBGene00004202,5.148793e-07
WBGene00006363,2.5189792e-07
WBGene00004425,9.053915e-07
WBGene00010234,4.604392e-07
WBGene00013538,1.6026997e-06
WBGene00013594,4.173188e-07
WBGene00018878,7.8189686e-07
WBGene00000928,2.8262065e-07
WBGene00000411,6.6944435e-06
WBGene00010063,5.3951527e-07
WBGene00011392,4.5236627e-07
WBGene00006839,4.17848e-07
WBGene00007589,1.3067114e-06
WBGene00008034,1.0578469e-06
WBGene00011094,4.724762e-07
WBGene00001854,3.790908e-06
WBGene00000915,9.599279e-07
WBGene00017317,1.1455743e-05
WBGene00015494,7.6245755e-07
WBGene00009626,5.087968e-07
WBGene00004386,5.6852996e-06
WBGene00006802,5.406257e-07
WBGene00016549,5.5257925e-07
WBGene00004953,2.889932e-06
WBGene00006307,1.9158365e-06
WBGene00021375,5.2715006e-07
WBGene00009444,6.355492e-05
WBGene00015750,8.776611e-07
WBGene00022144,1.0562068e-06
WBGene00003755,6.0053287e-07
WBGene00015518,1.0855175e-05
WBGene00018602,2.944055e-07
WBGene00010495,3.935749e-06
WBGene00010701,3.9008833e-07
WBGene00000488,4.633332e-07
WBGene00003964,2.547678e-07
WBGene00010759,3.957272e-07
WBGene00019760,4.146244e-07
WBGene00000567,4.7001336e-07
WBGene00008760,5.210349e-07
WBGene00010988,3.807439e-07
WBGene00045038,4.32938e-07
WBGene00008722,0.00014310567
WBGene00001996,2.0079922e-06
WBGene00008585,4.6023993e-07
WBGene00044072,7.1391054e-07
WBGene00016992,1.1509692e-06
WBGene00009385,7.888621e-06
WBGene00010877,3.5224372e-07
WBGene00018352,4.6189984e-07
WBGene00018532,1.7980558e-07
WBGene00001648,2.3984126e-07
WBGene00001972,1.8194936e-07
WBGene00000478,7.900272e-07
WBGene00016494,5.5920594e-07
WBGene00012198,2.683239e-06
WBGene00020537,2.2597746e-06
WBGene00004454,1.1388615e-06
WBGene00019432,6.9032603e-06
WBGene00004042,1.1977006e-05
WBGene00003606,5.9019493e-07
WBGene00016448,3.1973667e-07
WBGene00021186,4.2447112e-07
WBGene00004059,6.114192e-07
WBGene00004194,3.440571e-07
WBGene00004488,6.6704905e-07
WBGene00017053,5.1835957e-07
WBGene00002113,5.020354e-07
WBGene00000265,9.724477e-06
WBGene00001172,7.505215e-07
WBGene00000988,2.888299e-07
WBGene00012163,4.6004286e-07
WBGene00000884,3.2385938e-07
WBGene00001051,5.4744282e-06
WBGene00009558,1.2445798e-06
WBGene00011698,5.884397e-07
WBGene00017121,7.2239266e-07
WBGene00008226,2.9225183e-07
WBGene00017350,3.4735132e-07
WBGene00044674,5.4195806e-07
WBGene00001836,7.7022344e-07
WBGene00018468,2.5926175e-07
WBGene00021921,9.270824e-07
WBGene00004826,1.59251e-06
WBGene00007143,3.7617139e-07
WBGene00022850,3.026832e-06
WBGene00012122,1.915863e-07
WBGene00016374,6.8669096e-06
WBGene00011088,1.0801831e-06
WBGene00000418,9.951659e-06
WBGene00000425,6.9326944e-07
WBGene00008930,4.1159947e-07
WBGene00004873,5.731303e-05
WBGene00000875,2.624556e-06
WBGene00006746,7.7393804e-07
WBGene00003142,2.579743e-07
WBGene00009141,1.4401014e-05
WBGene00013949,5.9465657e-07
WBGene00004392,4.9899886e-06
WBGene00018485,4.3952392e-07
WBGene00000301,2.692508e-06
WBGene00008307,4.560551e-07
WBGene00011977,2.1019007e-06
WBGene00002637,4.47176e-06
WBGene00015610,2.6009933e-05
WBGene00001860,4.449783e-06
WBGene00003218,2.638927e-06
WBGene00007042,3.0233098e-06
WBGene00006787,4.3962203e-07
WBGene00001189,4.4445304e-07
WBGene00002182,3.1142906e-07
WBGene00004417,6.7684635e-07
WBGene00000865,5.743852e-06
WBGene00016359,3.0477264e-07
WBGene00015514,4.5439194e-07
WBGene00009701,5.846171e-07
WBGene00004479,9.411548e-07
WBGene00007784,5.119425e-07
WBGene00000405,5.427236e-05
WBGene00000521,4.4238897e-07
WBGene00007662,5.965776e-07
WBGene00185001,3.15306e-07
WBGene00001679,3.856996e-07
WBGene00012236,5.246965e-05
WBGene00011920,4.1091585e-07
WBGene00022376,2.2209782e-05
WBGene00001790,4.531828e-07
WBGene00010054,4.3011855e-07
WBGene00185075,2.5469262e-06
WBGene00017742,5.817706e-07
WBGene00077764,5.146702e-07
WBGene00011058,5.979726e-07
WBGene00016463,2.0738557e-06
WBGene00010093,3.786914e-05
WBGene00003159,0.0004362893
WBGene00001910,1.4679637e-06
WBGene00206390,4.855362e-07
WBGene00012860,2.896508e-07
WBGene00003246,4.7528263e-07
WBGene00002129,4.8127646e-07
WBGene00008838,3.189742e-06
WBGene00001499,1.9507208e-06
WBGene00000221,6.851097e-07
WBGene00018809,5.354791e-07
WBGene00009940,5.5862444e-07
WBGene00012085,5.139575e-07
WBGene00016173,5.0650874e-07
WBGene00008070,1.2157185e-05
WBGene00004723,4.529298e-06
WBGene00017133,3.2591606e-07
WBGene00004806,4.8121933e-06
WBGene00012230,1.2742571e-06
WBGene00007271,2.2990741e-06
WBGene00008624,4.425046e-07
WBGene00022647,5.746178e-07
WBGene00022260,2.4761047e-07
WBGene00000882,5.4980217e-07
WBGene00006772,2.694649e-07
WBGene00022122,7.9561164e-07
WBGene00003920,3.041742e-07
WBGene00004364,2.3272632e-07
WBGene00007317,3.7576515e-07
WBGene00044200,5.08304e-07
WBGene00018281,8.883421e-07
WBGene00017988,9.99863e-07
WBGene00000009,5.107171e-07
WBGene00013378,3.200799e-07
WBGene00010785,0.00053902855
WBGene00020390,4.6535033e-07
WBGene00004494,8.737759e-07
WBGene00000413,0.00043914584
WBGene00002027,7.3750693e-06
WBGene00004781,8.933883e-06
WBGene00004434,1.1866784e-06
WBGene00006843,1.3695708e-06
WBGene00000275,4.646191e-05
WBGene00009559,1.99616e-06
WBGene00006974,3.175086e-06
WBGene00008669,6.901769e-07
WBGene00016547,1.5292834e-06
WBGene00044001,2.3254752e-05
WBGene00021349,6.538478e-07
WBGene00004363,2.5022214e-07
WBGene00269431,3.550931e-07
WBGene00011128,4.7023082e-07
WBGene00003079,4.652849e-06
WBGene00016926,4.1441092e-07
WBGene00020894,3.9742795e-07
WBGene00017834,8.0478054e-07
WBGene00004368,5.9749374e-07
WBGene00008420,7.8347637e-07
WBGene00021333,3.504882e-07
WBGene00020366,3.5575067e-07
WBGene00016209,1.1475342e-06
WBGene00003525,4.075124e-07
WBGene00009022,3.957419e-07
WBGene00012972,1.3006622e-05
WBGene00009258,3.5803893e-07
WBGene00019929,5.790683e-07
WBGene00017605,1.037233e-06
WBGene00009945,1.6700305e-07
WBGene00004339,3.3257977e-05
WBGene00016545,2.0082689e-07
WBGene00016951,4.0739897e-07
WBGene00001831,4.9304754e-06
WBGene00012717,3.7917704e-07
WBGene00006940,5.866313e-06
WBGene00206529,4.0936578e-07
WBGene00014140,5.758197e-07
WBGene00006308,5.5235904e-07
WBGene00008131,4.356878e-07
WBGene00002068,3.2910143e-06
WBGene00000098,9.981842e-07
WBGene00001682,3.9508535e-07
WBGene00003966,2.2020073e-07
WBGene00044431,7.2207486e-06
WBGene00001251,2.3982548e-07
WBGene00016493,9.884e-07
WBGene00000490,6.243625e-07
WBGene00011562,4.3522623e-06
WBGene00004429,7.6948106e-07
WBGene00007119,5.978688e-07
WBGene00004482,1.0373517e-06
WBGene00019381,4.3271552e-07
WBGene00012826,7.760785e-07
WBGene00004449,8.202168e-07
WBGene00012907,3.1704764e-07
WBGene00006423,4.142339e-07
WBGene00019317,3.834817e-07
WBGene00008138,6.183414e-07
WBGene00007417,5.479278e-07
WBGene00011917,3.8236354e-07
WBGene00002855,2.7391124e-07
WBGene00013219,7.664377e-06
WBGene00013982,4.696621e-07
WBGene00019881,3.4745935e-07
WBGene00007302,3.5408266e-07
WBGene00018613,2.0217918e-05
WBGene00007129,1.938345e-07
WBGene00019407,4.550793e-07
WBGene00018690,5.7437234e-07
WBGene00011892,2.713192e-07
WBGene00002994,1.158622e-06
WBGene00004181,0.0011391157
WBGene00000422,1.0319976e-06
WBGene00012970,6.935994e-07
WBGene00015470,6.741337e-07
WBGene00007136,2.1433507e-06
WBGene00015046,5.1382466e-07
WBGene00016356,3.139842e-07
WBGene00004471,9.3740067e-07
WBGene00004028,1.8623026e-05
WBGene00017653,2.0491697e-07
WBGene00004426,7.420832e-07
WBGene00001915,4.9110776e-07
WBGene00044772,3.888118e-07
WBGene00007697,5.131533e-07
WBGene00010138,6.1271436e-07
WBGene00015527,4.458332e-07
WBGene00013961,4.23118e-07
WBGene00018606,1.2918277e-06
WBGene00013898,3.2430165e-07
WBGene00011915,0.9933328
WBGene00017774,2.7636832e-05
WBGene00003222,2.136672e-05
WBGene00016254,3.9454997e-07
WBGene00002229,6.2728664e-06
WBGene00007836,5.8079274e-07
WBGene00011715,6.57798e-07
WBGene00004312,9.876701e-06
WBGene00008453,3.205283e-07
WBGene00021636,4.9404916e-06
WBGene00013202,3.677301e-07
WBGene00004874,3.7050086e-05
WBGene00016971,3.0093124e-06
WBGene00017193,2.2218128e-07
WBGene00016711,1.0013525e-06
WBGene00004095,4.1229288e-07
WBGene00015115,5.08988e-07
WBGene00013560,6.0417545e-07
WBGene00022776,5.714035e-07
WBGene00018164,4.494846e-07
WBGene00017993,5.0013086e-06
WBGene00001976,6.410239e-07
WBGene00011771,3.0288493e-07
WBGene00003024,6.788128e-07
WBGene00016009,2.4619624e-07
WBGene00009878,7.671833e-07
WBGene00001745,2.1798117e-07
WBGene00017156,2.0503728e-06
WBGene00001157,6.5440423e-07
WBGene00017536,4.4279332e-07
WBGene00016273,5.2876385e-07
WBGene00000475,2.0436494e-06
WBGene00013962,7.372225e-07
WBGene00004131,1.1024254e-06
WBGene00009129,4.552946e-07
WBGene00018242,3.2160244e-07
WBGene00011434,2.431635e-07
WBGene00015927,4.1696632e-07
WBGene00009973,3.8011225e-07
WBGene00010974,1.1947863e-06
WBGene00016151,3.4213252e-07
WBGene00007855,1.4944249e-06
WBGene00022114,2.538808e-07
WBGene00016381,2.3410157e-05
WBGene00194710,1.4023459e-06
WBGene00013284,5.9257667e-07
WBGene00008000,2.647451e-07
WBGene00044304,3.5671417e-07
WBGene00010973,1.3505098e-06
WBGene00007653,2.4945876e-07
WBGene00019947,2.3325804e-07
WBGene00011528,2.01665e-07
WBGene00004896,5.70092e-06
WBGene00020318,6.047686e-07
WBGene00003576,8.9509995e-06
WBGene00009861,4.448487e-05
WBGene00007490,1.5862922e-06
WBGene00003406,7.491099e-07
WBGene00007675,5.317215e-07
WBGene00018857,4.3006278e-07
WBGene00004198,3.282518e-07
WBGene00008973,3.072884e-07
WBGene00004367,8.217153e-07
WBGene00019923,8.8149864e-07
WBGene00003954,2.639198e-07
WBGene00013307,3.0149297e-07
WBGene00004432,8.502738e-07
WBGene00044614,8.413675e-06
WBGene00003106,5.826445e-07
WBGene00008519,5.2486564e-07
WBGene00001602,2.972683e-07
WBGene00006959,5.029929e-07
WBGene00000277,4.6176504e-07
WBGene00010479,2.3285943e-06
WBGene00020834,7.964338e-07
WBGene00018634,3.8682714e-07
WBGene00009410,5.0104813e-07
WBGene00013317,2.1680462e-07
WBGene00004726,3.837407e-07
WBGene00006342,4.6467002e-07
WBGene00014569,3.007271e-07
WBGene00014259,7.45759e-07
WBGene00001830,6.594343e-05
WBGene00003961,4.0637457e-07
WBGene00001909,5.1518185e-07
WBGene00018140,3.2013608e-07
WBGene00007862,4.8884897e-07
WBGene00002005,3.7781444e-07
WBGene00045497,4.7243608e-07
WBGene00012132,1.3094345e-06
WBGene00007372,4.467278e-07
WBGene00019467,3.925555e-07
WBGene00017431,5.181367e-07
WBGene00006499,5.418588e-07
WBGene00003637,2.8639835e-07
WBGene00000857,6.311393e-07
WBGene00022599,3.070192e-07
