Term,Adjusted P-value,Adjusted P-value using all genes
mitotic sister chromatid segregation (GO:0000070),0.0,1.675e-13
kinetochore assembly (GO:0051382),8.8575e-12,1.21270871032e-05
regulation of protein localization to kinetochore (GO:1905340),8.85987573e-08,0.0006315084828882
sister chromatid segregation (GO:0000819),5.3818e-12,6.73936834e-08
positive regulation of protein localization to kinetochore (GO:1905342),8.85987573e-08,0.0006315084828882
kinetochore organization (GO:0051383),1.7064829e-08,4.50606996969e-05
mitotic metaphase plate congression (GO:0007080),4.77195369e-07,0.0033391149662691
mitotic nuclear division (GO:0140014),1.69771e-11,6.73936834e-08
"protein localization to chromosome, centromeric region (GO:0071459)",7.615883697e-07,0.0049530916406557
mitotic spindle checkpoint (GO:0071174),1.84675431002e-05,0.0144208484489374
spindle assembly checkpoint (GO:0071173),1.84675431002e-05,0.0144208484489374
chromosome condensation (GO:0030261),1.1566842325e-06,0.000775266873477
mitotic spindle assembly checkpoint (GO:0007094),1.84675431002e-05,0.0144208484489374
mitotic cytokinesis (GO:0000281),4.69922924e-07,0.018577809966865
mitotic spindle organization (GO:0007052),4.69922924e-07,0.0002400854910639
mitotic chromosome movement towards spindle pole (GO:0007079),0.0002283492033204,0.0331069625366354
cytoskeleton-dependent cytokinesis (GO:0061640),4.69922924e-07,0.018577809966865
"mRNA splicing, via spliceosome (GO:0000398)",3.96361872e-08,1.28633120042e-05
centromere complex assembly (GO:0034508),1.7064829e-08,0.000548550954112
protein localization to kinetochore (GO:0034501),3.60766122992e-05,0.0229438145233225
mitotic spindle assembly (GO:0090307),6.66477010857e-05,0.0089059914708383
protein localization to kinetochore involved in kinetochore assembly (GO:1903394),0.0001440247010497,0.0229438145233225
positive regulation of cellular protein localization (GO:1903829),2.73398140017e-05,7.3052142745e-05
positive regulation of protein complex assembly (GO:0031334),0.0055278673686797,0.0229438145233225
embryo development ending in birth or egg hatching (GO:0009792),4.403602e-10,1.28633120042e-05
regulation of cell cycle (GO:0051726),1.9309448468e-06,1.28633120042e-05
positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267),0.0055278673686797,0.149392483848739
mitotic chromosome condensation (GO:0007076),0.0009455568592322,0.0229438145233225
mitotic sister chromatid cohesion (GO:0007064),0.0005935679843312,0.0751550103321181
regulation of cytokinetic process (GO:0032954),0.0007757361097553,0.090013915313649
internal peptidyl-lysine acetylation (GO:0018393),0.0011744805327604,0.0068789687012677
mitotic sister chromatid separation (GO:0051306),0.000327937934246,0.0437235905827306
mitotic spindle elongation (GO:0000022),0.0005935679843312,0.0144208484489374
"DNA-templated transcription, termination (GO:0006353)",0.0073833036117522,0.1744306769259622
"positive regulation of mitotic cell cycle, embryonic (GO:0045977)",0.0055278673686797,0.149392483848739
cellular protein complex assembly (GO:0043623),3.908424133e-07,0.0134914110536163
muscle organ morphogenesis (GO:0048644),0.0055278673686797,0.0229438145233225
microtubule cytoskeleton organization involved in mitosis (GO:1902850),8.17888844459e-05,0.0114542083996925
regulation of histone methylation (GO:0031060),0.0087273666195305,0.0437235905827306
spliceosomal snRNP assembly (GO:0000387),0.0009455568592322,0.1050121293794796
negative regulation of vulval development (GO:0040027),0.000105155664848,0.0144907271164049
embryonic digestive tract development (GO:0048566),0.0007445390424492,4.59907157774e-05
