,weight
P0A_P0A,0.5
ABA_ABA,0.028569601
ABP_ABP,0.028569601
ABAL_ABAL,1.5291305
ABAR_ABAR,0.04053098
ABPL_ABPL,0.044288903
ABPR_ABPR,0.28457475
ABALA_ABALA,1.3722963
ABALP_ABALP,4.4120226
ABARA_ABARA,2.6425836
ABARP_ABARP,0.057117965
ABPLA_ABPLA,0.06722713
ABPLP_ABPLP,0.53767514
ABPRA_ABPRA,0.19422601
ABPRP_ABPRP,1.2968476
ABALAA_ABALAA,1.7453243
ABALAP_ABALAP,5.305567
ABALPA_ABALPA,2.6554968
ABALPP_ABALPP,2.5578184
ABARAA_ABARAA,5.0585284
ABARAP_ABARAP,2.7318926
ABARPA_ABARPA,0.0422763
ABARPP_ABARPP,0.0366964
ABPLAA_ABPLAA,0.065148294
ABPLAP_ABPLAP,0.04389726
ABPLPA_ABPLPA,0.24464531
ABPLPP_ABPLPP,2.8569238
ABPRAA_ABPRAA,0.06426666
ABPRAP_ABPRAP,0.15048483
ABPRPA_ABPRPA,3.241465
ABPRPP_ABPRPP,0.49522176
ABALAAA_ABALAAA,3.9748473
ABALAAP_ABALAAP,3.5859454
ABALAPA_ABALAPA,0.2139535
ABALAPP_ABALAPP,0.14274901
ABALPAA_ABALPAA,0.04495312
ABALPAP_ABALPAP,0.042472355
ABALPPA_ABALPPA,0.07631253
ABALPPP_ABALPPP,0.19410543
ABARAAA_ABARAAA,0.041392636
ABARAAP_ABARAAP,0.038990885
ABARAPA_ABARAPA,1.6590328
ABARAPP_ABARAPP,1.7958872
ABARPAA_ABARPAA,0.072962284
ABARPAP_ABARPAP,0.05874023
ABARPPA_ABARPPA,0.067401566
ABARPPP_ABARPPP,0.2566522
ABPLAAA_ABPLAAA,0.72528064
ABPLAAP_ABPLAAP,0.15082297
ABPLAPA_ABPLAPA,0.08303417
ABPLAPP_ABPLAPP,0.08267213
ABPLPAA_ABPLPAA,1.8770195
ABPLPAP_ABPLPAP,0.17786886
ABPLPPA_ABPLPPA,2.778529
