,weight
zygote_zygote,0.5
P0A_P0A,1.5187241
P1_P1,1.5187241
ABA_ABA,1.6964998
ABP_ABP,3.608468
EMS_EMS,0.019312404
P2_P2,0.017547933
ABAL_ABAL,2.0626562
ABAR_ABAR,2.5206072
ABPL_ABPL,0.04306397
ABPR_ABPR,0.094941
E_E,7.0506396
MS_MS,0.02766869
C_C,0.028977415
D_D,0.032777745
ABALA_ABALA,0.015378106
ABALP_ABALP,0.019116078
ABARA_ABARA,2.7824244
ABARP_ABARP,2.1275966
ABPLA_ABPLA,0.15031822
ABPLP_ABPLP,0.8565159
ABPRA_ABPRA,0.031549923
ABPRP_ABPRP,6.5761
EA_EA,0.073697306
EP_EP,0.07330354
MSA_MSA,0.022337016
MSP_MSP,0.04574485
CA_CA,0.03315702
CP_CP,0.03697122
DA_DA,0.039822757
DP_DP,0.103445284
ABALAA_ABALAA,0.026242772
ABALAP_ABALAP,0.02483375
ABALPA_ABALPA,0.04520886
ABALPP_ABALPP,0.01921265
ABARAA_ABARAA,0.14071561
ABARAP_ABARAP,0.110280864
ABARPA_ABARPA,0.028214589
ABARPP_ABARPP,0.03907134
ABPLAA_ABPLAA,0.0359787
ABPLAP_ABPLAP,0.024667157
ABPLPA_ABPLPA,0.36287412
ABPLPP_ABPLPP,2.62754
ABPRAA_ABPRAA,0.02745186
ABPRAP_ABPRAP,0.017361823
ABPRPA_ABPRPA,0.014271956
ABPRPP_ABPRPP,0.0144375805
EAL_EAL,0.09710318
EPL_EPL,0.108601265
MSAA_MSAA,0.033966947
MSAP_MSAP,0.02899481
MSPA_MSPA,0.04687924
MSPP_MSPP,0.3347932
CAA_CAA,2.4777377
CAP_CAP,0.030713888
CPA_CPA,4.840338
CPP_CPP,0.033825118
DAA_DAA,0.11544409
DAP_DAP,0.055850733
DPPP_DPPP,0.10243273
ABALAAA_ABALAAA,0.018879062
ABALAAP_ABALAAP,0.013238634
ABALAPA_ABALAPA,0.020262087
ABALAPP_ABALAPP,0.015838262
ABALPAA_ABALPAA,0.809904
ABALPAP_ABALPAP,0.041900992
ABALPPA_ABALPPA,0.017509487
ABALPPP_ABALPPP,0.025571082
ABARAAA_ABARAAA,0.03028037
ABARAAP_ABARAAP,0.028201573
ABARAPA_ABARAPA,0.107194334
ABARAPP_ABARAPP,0.4105227
ABARPAA_ABARPAA,0.03856271
ABARPAP_ABARPAP,0.03653139
ABARPPA_ABARPPA,0.018645182
ABARPPP_ABARPPP,0.14374726
ABPLAAA_ABPLAAA,0.4369858
ABPLAAP_ABPLAAP,0.0429127
ABPLAPA_ABPLAPA,0.03466704
ABPLAPP_ABPLAPP,0.027139476
ABPLPAA_ABPLPAA,2.7932255
ABPLPAP_ABPLPAP,0.38087085
ABPLPPA_ABPLPPA,1.2335615
ABPLPPP_ABPLPPP,0.88072157
ABPRAAA_ABPRAAA,5.9361844
ABPRAAP_ABPRAAP,0.053168386
ABPRAPA_ABPRAPA,1.3007033
ABPRAPP_ABPRAPP,0.056776673
ABPRPAA_ABPRPAA,0.022392945
ABPRPAP_ABPRPAP,0.046684716
ABPRPPA_ABPRPPA,0.056291644
ABPRPPP_ABPRPPP,2.1356761
EALA_EALA,0.076781794
EPLP_EPLP,0.15990241
MSAAA_MSAAA,0.74733675
MSAAP_MSAAP,0.041254133
MSAPA_MSAPA,0.038315576
MSAPP_MSAPP,0.043464404
MSPAA_MSPAA,2.4940536
MSPAP_MSPAP,0.03578777
MSPPA_MSPPA,0.35239995
MSPPP_MSPPP,0.06937653
CAAA_CAAA,2.819415
CAAP_CAAP,2.1165965
CAPA_CAPA,0.05389876
CAPP_CAPP,0.054533344
CPAP_CPAP,0.8275911
CPPA_CPPA,0.054626882
CPPP_CPPP,0.05567962
DAPP_DAPP,0.09040924
ABALAAAA_ABALAAAA,0.04446319
ABALAAAP_ABALAAAP,0.05629893
ABALAAPA_ABALAAPA,0.24343422
ABALAAPP_ABALAAPP,0.059031617
ABALAPAA_ABALAPAA,0.042815767
ABALAPAP_ABALAPAP,0.28457543
ABALAPPA_ABALAPPA,0.06987276
ABALAPPP_ABALAPPP,0.06155029
ABALPAAA_ABALPAAA,0.19813494
ABALPAAP_ABALPAAP,0.43277973
ABALPAPA_ABALPAPA,0.08804443
ABALPAPP_ABALPAPP,3.3545063
ABALPPAA_ABALPPAA,0.20079945
ABALPPAP_ABALPPAP,0.042306922
ABALPPPA_ABALPPPA,0.039105345
ABALPPPP_ABALPPPP,0.022420796
ABARAAAA_ABARAAAA,0.12496746
ABARAAAP_ABARAAAP,0.048128307
ABARAAPA_ABARAAPA,0.06218172
ABARAAPP_ABARAAPP,0.07176195
ABARAPAA_ABARAPAA,0.18295448
ABARAPAP_ABARAPAP,0.6193128
ABARAPPA_ABARAPPA,0.7945006
ABARAPPP_ABARAPPP,0.48158157
ABARPAAA_ABARPAAA,3.128735
ABARPAAP_ABARPAAP,0.03446496
ABARPAPA_ABARPAPA,1.1217778
ABARPAPP_ABARPAPP,0.041282292
ABARPPAA_ABARPPAA,0.038839925
ABARPPAP_ABARPPAP,0.03233782
ABARPPPA_ABARPPPA,0.40244085
