,weight
zygote_zygote,0.5
P0A_P0A,1.7885642
P1_P1,1.7885642
ABA_ABA,2.6063185
ABP_ABP,2.2466838
EMS_EMS,0.019038608
P2_P2,0.017959371
ABAL_ABAL,1.6021459
ABAR_ABAR,1.2333454
ABPL_ABPL,1.7795086
ABPR_ABPR,2.07478
E_E,5.1866693
MS_MS,0.025765637
C_C,0.0265564
D_D,0.04341528
ABALA_ABALA,0.04656837
ABALP_ABALP,0.058222443
ABARA_ABARA,0.49857914
ABARP_ABARP,0.6196244
ABPLA_ABPLA,0.90179974
ABPLP_ABPLP,0.83061826
ABPRA_ABPRA,0.106668025
ABPRP_ABPRP,0.06898723
EA_EA,0.80726725
EP_EP,0.7950645
MSA_MSA,0.02406085
MSP_MSP,0.045411594
CA_CA,0.069418535
CP_CP,0.034192502
DA_DA,0.070208445
DP_DP,0.09636904
ABALAA_ABALAA,0.08733162
ABALAP_ABALAP,0.07020662
ABALPA_ABALPA,0.03668313
ABALPP_ABALPP,0.060113642
ABARAA_ABARAA,0.3029869
ABARAP_ABARAP,0.46456498
ABARPA_ABARPA,0.103253424
ABARPP_ABARPP,0.13557805
ABPLAA_ABPLAA,0.21122013
ABPLAP_ABPLAP,0.1740105
ABPLPA_ABPLPA,0.5448254
ABPLPP_ABPLPP,0.7530643
ABPRAA_ABPRAA,0.07695729
ABPRAP_ABPRAP,0.051892117
ABPRPA_ABPRPA,0.043573752
ABPRPP_ABPRPP,0.03572584
EAL_EAL,0.66936153
EPL_EPL,0.6310473
MSAA_MSAA,0.023972183
MSAP_MSAP,0.028184984
MSPA_MSPA,0.059131432
MSPP_MSPP,0.14458938
CAA_CAA,3.3890877
CAP_CAP,0.06722357
CPA_CPA,4.114911
CPP_CPP,0.032978553
DAA_DAA,0.25149775
DAP_DAP,0.098085694
DPPP_DPPP,0.10474219
ABALAAA_ABALAAA,0.06088171
ABALAAP_ABALAAP,0.036489893
ABALAPA_ABALAPA,0.029720202
ABALAPP_ABALAPP,0.05567988
ABALPAA_ABALPAA,0.05943631
ABALPAP_ABALPAP,0.15068713
ABALPPA_ABALPPA,0.03500745
ABALPPP_ABALPPP,0.06410822
ABARAAA_ABARAAA,0.3265222
ABARAAP_ABARAAP,0.17632334
ABARAPA_ABARAPA,0.48633933
ABARAPP_ABARAPP,0.61485034
ABARPAA_ABARPAA,0.13268767
ABARPAP_ABARPAP,0.1352713
ABARPPA_ABARPPA,0.056490302
