,weight
WBGene00219316,2.227346e-07
WBGene00021252,2.035771e-07
WBGene00004092,2.1982059e-07
WBGene00011936,2.1552837e-07
WBGene00013873,2.0973708e-07
WBGene00017151,2.043006e-07
WBGene00017427,2.092422e-07
WBGene00006621,2.0803087e-07
WBGene00019986,1.9976392e-07
WBGene00020307,1.934224e-07
WBGene00021048,1.9767907e-07
WBGene00000966,1.9144919e-07
WBGene00000788,1.8863263e-07
WBGene00018877,1.6879629e-07
WBGene00007650,2.027407e-07
WBGene00019895,1.9231602e-07
WBGene00019298,1.884974e-07
WBGene00000776,1.815762e-07
WBGene00017089,1.8583997e-07
WBGene00013875,2.0597345e-07
WBGene00020182,2.0204371e-07
WBGene00011903,1.9445109e-07
WBGene00015981,2.030867e-07
WBGene00012144,1.7596149e-07
WBGene00017329,1.8762378e-07
WBGene00015279,1.7279193e-07
WBGene00019232,1.7964038e-07
WBGene00008787,1.8352061e-07
WBGene00006416,1.7435985e-07
WBGene00001761,1.8500002e-07
WBGene00001250,1.871811e-07
WBGene00012536,1.7238965e-07
WBGene00019674,1.7006e-07
WBGene00003845,1.8433536e-07
WBGene00001506,1.5824344e-07
WBGene00016848,1.5921343e-07
WBGene00007557,1.6091761e-07
WBGene00013905,1.8653495e-07
WBGene00011181,1.7836706e-07
WBGene00020082,1.9964335e-07
WBGene00013257,1.8503849e-07
WBGene00021817,1.8793378e-07
WBGene00013906,1.7372416e-07
WBGene00001578,1.5478321e-07
WBGene00012531,1.3318775e-07
WBGene00018210,1.4852358e-07
WBGene00015141,1.7463096e-07
WBGene00020837,1.448273e-07
WBGene00012909,1.629412e-07
WBGene00011821,1.6144824e-07
WBGene00012911,8.692618e-08
WBGene00020592,1.7152608e-07
WBGene00021148,1.4264832e-07
WBGene00011361,1.7450675e-07
WBGene00008102,8.7572204e-08
WBGene00012834,1.8469187e-07
WBGene00004875,1.712407e-07
WBGene00015284,1.3880475e-07
WBGene00000786,8.829338e-08
WBGene00004995,4.5872234e-06
WBGene00010924,1.6660064e-07
WBGene00014000,1.3629617e-07
WBGene00008830,1.7642996e-07
WBGene00003410,1.8189232e-07
WBGene00004030,1.384334e-07
WBGene00020688,1.6873481e-07
WBGene00009741,1.62441e-07
WBGene00003670,8.596559e-08
WBGene00009048,1.649418e-07
WBGene00012494,1.732736e-07
WBGene00008706,1.840085e-07
WBGene00015057,1.6616761e-07
WBGene00017765,1.983088e-07
WBGene00019599,1.5765733e-07
WBGene00008669,9.287795e-08
WBGene00022813,2.9069304e-07
WBGene00016146,1.0680668e-07
WBGene00015369,1.6384561e-07
WBGene00020280,8.868292e-08
WBGene00001564,4.0306286e-06
WBGene00000831,9.5738336e-08
WBGene00002497,2.0913149e-05
WBGene00004037,8.963147e-08
WBGene00001328,2.5394324e-06
WBGene00011102,8.7813554e-08
WBGene00007139,2.2817467e-06
WBGene00001501,1.283155e-07
WBGene00021531,1.5289694e-07
WBGene00015064,1.5586053e-07
WBGene00015469,9.4870884e-08
WBGene00018207,9.471627e-07
WBGene00009514,6.523983e-06
WBGene00004789,1.03586544e-07
WBGene00000114,1.8610246e-05
WBGene00005000,0.0007478154
WBGene00017244,1.4592756e-07
WBGene00017153,1.2652401e-07
WBGene00019843,2.4177478e-05
WBGene00000981,9.481426e-08
WBGene00000107,1.5819424e-07
WBGene00015389,8.9366885e-08
WBGene00008506,1.4787247e-07
WBGene00008730,1.514388e-07
WBGene00006696,1.6380982e-07
WBGene00011095,1.1412226e-05
WBGene00015906,9.600494e-08
WBGene00010266,1.0265387e-07
WBGene00013531,1.4995969e-05
WBGene00000111,8.955765e-08
WBGene00011938,1.4770742e-07
WBGene00020962,1.7105954e-07
WBGene00020382,3.425402e-06
WBGene00015177,2.3094865e-06
WBGene00006452,1.917527e-05
WBGene00003893,2.1724098e-05
WBGene00011002,1.2650362e-07
WBGene00002254,4.9056607e-06
WBGene00045365,1.5921738e-07
WBGene00045379,1.8530675e-07
WBGene00003812,1.6968303e-05
WBGene00019927,1.39300455e-05
WBGene00206520,9.324679e-08
WBGene00008779,1.7318209e-07
WBGene00003738,5.183723e-06
WBGene00206416,5.2850277e-07
WBGene00019832,0.0030369111
WBGene00013484,9.3102486e-08
WBGene00044082,0.00010664775
WBGene00018779,1.4711404e-07
WBGene00007811,1.5127598e-07
WBGene00001794,3.2935975e-05
WBGene00006814,0.0002737096
WBGene00003996,1.4617171e-07
WBGene00016531,3.4661716e-05
WBGene00013716,9.439761e-08
WBGene00045400,9.991582e-08
WBGene00006984,3.1919033e-06
WBGene00018424,9.465056e-08
WBGene00007513,1.5079978e-07
WBGene00006893,1.3159483e-06
WBGene00019869,8.916019e-08
WBGene00016061,9.8094354e-08
WBGene00016838,1.503258e-07
WBGene00001263,9.325316e-05
WBGene00003933,1.5420595e-05
WBGene00020468,9.967029e-08
WBGene00003934,6.594489e-05
WBGene00019493,1.3387479e-07
WBGene00017593,3.161965e-05
WBGene00018763,2.5682042e-05
WBGene00019277,9.251432e-05
WBGene00016269,1.5290957e-06
WBGene00006827,0.004678663
WBGene00044481,8.770576e-08
WBGene00013541,1.0091791e-07
WBGene00007558,9.334591e-08
WBGene00001572,0.00027112025
WBGene00012452,8.863169e-08
WBGene00016918,4.7966874e-05
WBGene00017065,0.0020592574
WBGene00017154,1.7486109e-07
WBGene00003607,9.3276135e-08
WBGene00003929,3.9421153e-05
WBGene00000799,9.8427584e-08
WBGene00006844,7.5016496e-06
WBGene00002280,8.766843e-05
WBGene00016174,9.3267246e-08
WBGene00022307,9.453329e-08
WBGene00014057,8.888885e-08
WBGene00017923,1.5153995e-05
WBGene00002247,3.6216684e-07
WBGene00002137,1.0605638e-07
WBGene00021535,8.885324e-08
WBGene00017720,9.551454e-08
WBGene00008426,5.136903e-06
WBGene00015739,1.2264918e-07
WBGene00017537,1.1494715e-07
WBGene00002138,1.0019082e-07
WBGene00013366,3.6387955e-05
WBGene00003555,2.1478378e-05
WBGene00011739,1.6538345e-07
WBGene00022683,1.0054689e-07
WBGene00011498,6.6359884e-05
WBGene00020760,8.64429e-08
WBGene00013946,9.165312e-08
WBGene00018579,7.076628e-07
WBGene00000632,1.2598304e-07
WBGene00271415,2.8531886e-05
WBGene00016883,9.568137e-08
WBGene00000005,1.0697019e-07
WBGene00017688,1.156356e-06
WBGene00015407,2.1830307e-05
WBGene00012544,0.985194
WBGene00013560,1.0571406e-07
WBGene00006764,9.910572e-05
WBGene00022194,3.7103503e-06
WBGene00003375,0.00013052346
WBGene00014141,1.6665547e-07
WBGene00020007,1.0987828e-07
WBGene00017123,1.07157646e-07
WBGene00017893,1.7936974e-07
WBGene00007904,1.10295915e-07
WBGene00000983,9.828576e-08
WBGene00001523,9.576316e-08
WBGene00000221,8.104331e-07
WBGene00017657,0.00038612497
WBGene00008768,2.9475621e-05
WBGene00019477,1.729258e-07
WBGene00012970,1.029044e-07
WBGene00010649,9.942403e-06
WBGene00016595,1.2183894e-07
WBGene00010746,1.138379e-07
WBGene00004059,1.11950904e-07
WBGene00000139,1.2003467e-07
WBGene00009690,4.715978e-06
WBGene00019751,3.6065326e-06
WBGene00015692,1.0634748e-07
WBGene00022245,1.1138829e-07
WBGene00021079,8.5277725e-06
WBGene00004145,1.055486e-06
WBGene00011539,1.0868146e-07
WBGene00011692,7.4703657e-06
WBGene00006824,3.5550995e-05
WBGene00017866,1.960682e-05
WBGene00003248,1.2981822e-06
WBGene00006801,5.4843396e-05
WBGene00010342,1.1249856e-07
WBGene00012330,1.0357154e-07
WBGene00020479,1.6478347e-05
WBGene00206380,5.7545975e-07
WBGene00022123,0.000570385
WBGene00017440,7.273612e-05
WBGene00017840,1.08554055e-07
WBGene00022178,1.0420562e-07
WBGene00010083,9.6861136e-08
WBGene00004438,1.9911609e-07
WBGene00000882,1.08343684e-07
WBGene00000964,1.7817394e-05
WBGene00004061,1.0037827e-07
WBGene00010593,1.9272675e-05
WBGene00003844,9.322119e-08
WBGene00008091,1.1238082e-07
WBGene00013222,9.003911e-08
WBGene00022801,1.2316997e-05
WBGene00003371,6.6688162e-06
WBGene00020369,2.8262116e-06
WBGene00006642,1.6379029e-07
WBGene00017169,1.503701e-07
WBGene00000857,4.2249508e-07
WBGene00017481,0.00014041609
WBGene00000066,1.1845885e-07
WBGene00012819,1.9589079e-07
WBGene00003515,8.80021e-06
WBGene00044070,6.409031e-05
WBGene00194661,1.0211937e-07
WBGene00009162,1.6799557e-07
WBGene00002139,1.12292646e-07
WBGene00001684,1.567275e-06
WBGene00015356,5.5190318e-05
WBGene00004191,1.0860085e-07
WBGene00011677,1.0142367e-07
WBGene00015381,8.881021e-08
WBGene00002069,9.115825e-06
WBGene00006820,9.675115e-05
WBGene00010215,9.480667e-08
WBGene00021558,3.4293998e-06
WBGene00014669,1.02837106e-07
WBGene00045053,1.0732088e-07
WBGene00008563,3.3248344e-07
WBGene00008719,1.1335236e-07
WBGene00020460,1.0586035e-07
WBGene00011809,1.0579192e-07
WBGene00004013,1.7156239e-07
WBGene00001948,6.5223962e-06
WBGene00007950,1.120184e-07
WBGene00003242,1.1128343e-06
WBGene00004409,3.4258576e-07
WBGene00013275,8.8892406e-08
WBGene00002248,1.3295298e-07
WBGene00001685,1.5569527e-06
WBGene00005018,1.7489077e-07
WBGene00007362,1.1282659e-07
WBGene00005249,1.1492599e-07
WBGene00000991,1.15052984e-07
WBGene00015472,5.935929e-06
WBGene00010308,9.6845625e-08
WBGene00012381,9.047999e-08
WBGene00004192,1.11375115e-07
WBGene00018720,1.5100545e-05
WBGene00018286,1.0145715e-07
WBGene00014192,9.082806e-08
WBGene00001477,1.1085101e-07
WBGene00013284,1.1728786e-07
WBGene00044605,6.9915023e-07
WBGene00003769,1.13872325e-07
WBGene00019760,4.2953374e-07
WBGene00007901,6.411943e-06
WBGene00020106,8.3652e-06
WBGene00006582,1.9130244e-05
WBGene00020022,1.08013545e-07
WBGene00013693,1.03104995e-07
WBGene00195146,1.8761798e-06
WBGene00009029,2.5121593e-05
WBGene00016403,1.12572074e-07
WBGene00006754,7.119502e-06
WBGene00001429,1.2303502e-06
WBGene00018257,1.2158979e-06
WBGene00004441,3.2741895e-07
WBGene00001075,1.8410259e-07
WBGene00000967,1.0775366e-07
WBGene00004096,1.1840904e-07
WBGene00015116,1.1080409e-07
WBGene00001076,1.8121186e-07
WBGene00021340,1.10431486e-07
WBGene00012491,1.0313843e-07
WBGene00014244,1.0535456e-07
WBGene00011831,1.15395494e-07
WBGene00018407,5.6733693e-06
WBGene00004419,3.005494e-07
WBGene00014051,1.6807048e-06
WBGene00022499,2.0414216e-06
WBGene00006321,2.034809e-06
WBGene00015752,1.4080825e-07
WBGene00005523,1.3810771e-05
WBGene00004476,2.8379316e-07
WBGene00004414,3.156611e-07
WBGene00014108,3.1645698e-06
WBGene00011755,0.00012976982
WBGene00001167,2.5595213e-07
WBGene00011934,7.953779e-06
WBGene00011736,2.692424e-06
WBGene00004415,3.2674083e-07
WBGene00001764,9.55548e-08
WBGene00015705,1.3446555e-07
WBGene00000567,4.1757406e-07
WBGene00007455,1.2328337e-07
WBGene00017125,1.7966917e-07
WBGene00010472,1.12566816e-07
WBGene00004130,6.946406e-06
WBGene00015695,1.0371921e-07
WBGene00015781,1.9539002e-07
WBGene00006588,6.506572e-06
WBGene00007741,1.8791963e-05
WBGene00006826,2.2365832e-06
WBGene00008954,9.757596e-08
WBGene00014262,8.7191694e-08
WBGene00007807,1.06171555e-07
WBGene00004473,3.2020054e-07
WBGene00004475,3.1873662e-07
WBGene00007384,1.00019555e-07
WBGene00194983,5.661025e-06
WBGene00011083,9.5194444e-08
WBGene00009781,5.149467e-05
WBGene00000065,1.3831885e-07
WBGene00006781,1.3082834e-05
WBGene00003698,1.068513e-07
WBGene00018489,1.03941815e-07
WBGene00001168,2.7176597e-07
WBGene00022339,2.1932526e-06
WBGene00004408,3.1486616e-07
WBGene00015887,1.1930528e-07
WBGene00010135,1.0182782e-07
WBGene00004470,3.258403e-07
WBGene00006584,2.2394313e-05
WBGene00021350,2.8715354e-07
WBGene00007143,1.089787e-07
WBGene00019921,1.751961e-07
WBGene00007419,1.0100707e-05
WBGene00003370,4.0329933e-06
WBGene00000930,1.0318015e-07
WBGene00021721,1.0946388e-07
WBGene00020593,1.2536675e-07
WBGene00010234,1.1278279e-07
WBGene00004477,3.5391633e-07
WBGene00010831,1.2508038e-07
WBGene00021525,1.7969934e-07
WBGene00011573,1.115778e-06
WBGene00003111,2.8595602e-07
WBGene00004428,2.8495882e-07
WBGene00002978,3.21214e-06
WBGene00007786,2.1479379e-07
WBGene00009122,3.0223603e-07
WBGene00022180,1.27070825e-05
WBGene00020574,1.1810657e-07
WBGene00019730,1.0725396e-07
WBGene00015609,2.400647e-05
WBGene00019407,4.963806e-07
WBGene00022104,1.04705094e-07
WBGene00000779,3.32122e-06
WBGene00020447,7.1921215e-07
WBGene00001045,1.5565361e-07
WBGene00018766,8.734004e-07
WBGene00003684,1.4084922e-07
WBGene00004412,3.001435e-07
WBGene00004485,2.762271e-07
WBGene00000071,1.1742294e-07
WBGene00001105,1.7109379e-07
WBGene00001828,1.92994e-07
WBGene00001157,1.1149499e-07
WBGene00008629,1.1150711e-07
WBGene00235351,1.4932702e-07
WBGene00044079,8.725783e-06
WBGene00007130,1.13005335e-07
WBGene00004436,2.3977137e-07
WBGene00004478,2.729811e-07
WBGene00017698,9.141149e-08
WBGene00021036,2.1813283e-05
WBGene00002262,3.8714516e-06
WBGene00001430,2.6277385e-07
WBGene00004424,2.6983554e-07
WBGene00004421,2.7485146e-07
WBGene00004000,1.2040282e-07
WBGene00020696,8.092106e-07
WBGene00001604,9.247809e-08
WBGene00011906,1.096138e-05
WBGene00011215,1.1337722e-07
WBGene00013145,9.8478665e-08
WBGene00000973,1.2071911e-07
WBGene00001196,1.0681707e-07
WBGene00045212,1.2118502e-07
WBGene00004195,1.1268561e-07
WBGene00014031,3.053173e-07
WBGene00003659,9.241725e-08
WBGene00004427,2.6499424e-07
WBGene00004486,2.8573027e-07
WBGene00011232,5.3134244e-07
WBGene00016892,1.1905253e-07
WBGene00006423,5.755409e-07
WBGene00012186,1.9024522e-07
WBGene00009156,1.1511499e-07
WBGene00004025,3.839945e-07
WBGene00016996,1.3097014e-07
WBGene00017121,2.7222615e-07
WBGene00001758,1.17635906e-07
WBGene00015062,1.5102877e-07
WBGene00006911,1.0664135e-06
WBGene00011774,1.5103166e-07
WBGene00012835,9.6009515e-08
WBGene00011387,1.2706732e-07
WBGene00004480,2.851891e-07
WBGene00004489,2.6995187e-07
WBGene00004413,2.8745794e-07
WBGene00009030,5.768851e-07
WBGene00013263,1.6545525e-07
WBGene00000996,1.0639799e-07
WBGene00010628,1.0996654e-07
WBGene00022200,1.0295447e-07
WBGene00016943,1.208871e-07
WBGene00003124,2.666078e-06
WBGene00004469,2.484019e-07
WBGene00004454,2.6692848e-07
WBGene00021199,2.3123592e-07
WBGene00006628,1.1678191e-07
WBGene00013690,1.00614045e-07
WBGene00022352,1.073198e-06
WBGene00004482,2.7061122e-07
WBGene00016913,3.8842308e-07
WBGene00006075,1.1061214e-07
WBGene00006386,2.8305175e-07
WBGene00004129,8.28173e-07
WBGene00021590,1.0895793e-07
WBGene00007256,1.2904815e-07
WBGene00019647,2.0503745e-07
WBGene00004484,2.6703287e-07
WBGene00077701,1.0157119e-07
WBGene00018846,3.287434e-07
WBGene00003991,2.3047902e-05
WBGene00003932,7.5235977e-07
WBGene00004790,1.095813e-05
WBGene00000375,1.1318697e-07
WBGene00020139,9.937189e-08
WBGene00004431,2.7607805e-07
WBGene00044417,5.586916e-07
WBGene00006987,3.7471832e-06
WBGene00011383,1.0740648e-07
WBGene00015933,1.2431857e-07
WBGene00022416,1.4833137e-07
WBGene00004197,1.1981761e-07
WBGene00021516,1.036158e-07
WBGene00017023,1.363379e-07
WBGene00004433,2.1832427e-07
WBGene00010556,2.6595043e-07
WBGene00016422,1.3032513e-07
WBGene00015449,1.2425267e-07
WBGene00019345,1.1314887e-07
WBGene00011398,1.07557156e-07
WBGene00022146,1.2578855e-07
WBGene00007534,1.3241191e-07
WBGene00020765,1.19156226e-07
WBGene00011147,1.216084e-07
WBGene00010052,1.1071874e-07
WBGene00019926,1.5197377e-06
WBGene00001651,1.30781e-06
WBGene00001752,1.0742532e-07
WBGene00001244,1.324642e-07
WBGene00004423,1.9575576e-07
WBGene00004800,1.4672844e-07
WBGene00009940,1.2529617e-06
WBGene00004258,1.0593508e-07
WBGene00004418,2.6558953e-07
WBGene00007228,1.1183289e-07
WBGene00010738,1.3556709e-07
WBGene00000116,1.10892564e-07
WBGene00010675,5.408886e-06
WBGene00013969,1.9075354e-07
WBGene00011338,5.348402e-07
WBGene00013926,1.1501755e-07
WBGene00019963,1.08204894e-07
WBGene00013379,1.1939737e-07
WBGene00006725,3.115928e-07
WBGene00004487,2.5482984e-07
WBGene00015940,4.201169e-07
WBGene00018682,1.00825744e-07
WBGene00015168,1.4289424e-07
WBGene00009342,9.851567e-08
WBGene00018561,1.331122e-07
WBGene00013860,1.7417116e-06
WBGene00004481,2.4818263e-07
WBGene00013683,8.850373e-06
WBGene00011480,1.2967932e-07
WBGene00004426,2.7011515e-07
WBGene00004979,1.3663934e-07
WBGene00000367,4.9802297e-06
WBGene00013559,1.126596e-07
WBGene00004483,2.2248092e-07
WBGene00006789,2.114221e-06
WBGene00009944,1.1918947e-06
WBGene00077786,1.5706782e-07
WBGene00001768,1.2157545e-07
WBGene00018146,1.01455015e-07
WBGene00019650,1.7114617e-07
WBGene00006771,5.053541e-06
WBGene00004425,2.5268304e-07
WBGene00006627,1.2003055e-07
WBGene00006680,2.0712548e-06
WBGene00003369,3.499806e-07
WBGene00003249,2.1483509e-06
WBGene00017445,1.1574775e-07
WBGene00020018,5.241764e-07
WBGene00019478,1.5861172e-06
WBGene00185014,9.96547e-08
WBGene00016874,1.2097728e-07
WBGene00004429,2.4562127e-07
WBGene00001770,1.7060053e-06
WBGene00012326,1.9447093e-07
WBGene00013904,1.09878066e-07
WBGene00008131,1.7886208e-07
WBGene00005429,1.1750584e-07
WBGene00004435,2.3735927e-07
WBGene00007394,1.2497902e-07
WBGene00008205,1.09145326e-07
WBGene00004193,1.2132297e-07
WBGene00007924,9.924958e-07
WBGene00012443,1.3085729e-07
WBGene00004449,2.2907874e-07
WBGene00206417,9.913657e-08
WBGene00004439,3.7181516e-07
WBGene00007945,1.2909393e-07
WBGene00021412,1.1486968e-07
WBGene00001428,1.5550746e-07
WBGene00009926,1.2283435e-07
WBGene00015125,1.0684764e-07
WBGene00006836,3.5776935e-07
WBGene00016884,1.1634803e-07
WBGene00011850,1.2191262e-07
WBGene00004440,3.1363024e-07
WBGene00000984,1.2781574e-07
WBGene00016745,4.299823e-06
WBGene00164972,1.1944772e-07
WBGene00000164,1.7284071e-07
WBGene00004430,2.639601e-07
WBGene00015769,3.180818e-06
WBGene00004491,2.9398672e-07
WBGene00004493,3.1723704e-07
WBGene00018144,1.01042325e-07
WBGene00013779,1.210359e-07
WBGene00000929,1.11076844e-07
WBGene00016494,1.4407652e-07
WBGene00004472,2.622696e-07
WBGene00000928,1.2245832e-07
WBGene00011250,1.1751906e-07
WBGene00002881,1.1139292e-06
WBGene00004416,2.2627023e-07
WBGene00010925,1.1152605e-07
WBGene00018280,1.2799907e-07
WBGene00015479,1.0826208e-07
WBGene00011917,1.2008209e-07
WBGene00016983,1.1744747e-07
WBGene00020817,1.5046837e-07
WBGene00004447,2.8826392e-07
WBGene00004445,2.0661422e-07
WBGene00007070,1.08501055e-07
WBGene00021852,1.17554144e-07
WBGene00004494,3.3300606e-07
WBGene00022836,1.2831e-07
WBGene00043996,1.270615e-07
WBGene00018358,3.7900614e-07
WBGene00004434,2.2288549e-07
WBGene00003669,1.277621e-07
WBGene00010054,1.5195671e-07
WBGene00019657,1.4850873e-07
WBGene00012197,6.021669e-07
WBGene00015889,1.2692404e-07
WBGene00004199,1.2614967e-07
WBGene00006728,2.0482383e-07
WBGene00007479,9.933323e-08
WBGene00019329,1.2118386e-07
WBGene00019591,1.5433703e-07
WBGene00013972,1.4434264e-07
WBGene00008156,1.11796204e-07
WBGene00012939,1.0949271e-07
WBGene00006495,2.9806852e-06
WBGene00004495,2.661867e-07
WBGene00004492,2.4189745e-07
WBGene00003071,1.0065473e-07
WBGene00000179,4.5988375e-07
WBGene00007236,1.2206782e-07
WBGene00000063,8.537195e-08
WBGene00010063,1.2945023e-07
WBGene00016071,1.1149499e-07
WBGene00007055,4.827337e-07
WBGene00004471,3.2041316e-07
WBGene00001000,6.840228e-07
WBGene00004479,2.1100824e-07
WBGene00004432,2.443312e-07
WBGene00164971,1.16981674e-07
WBGene00018634,2.1662899e-07
WBGene00020532,1.2785085e-07
WBGene00017874,8.485769e-07
WBGene00011767,2.7060295e-07
WBGene00022868,1.0904628e-07
WBGene00016641,9.998922e-08
WBGene00022270,9.26175e-07
WBGene00020130,1.5692747e-06
WBGene00004257,1.6228221e-06
WBGene00022260,2.3678727e-07
WBGene00015298,1.2617012e-07
WBGene00015494,1.2092538e-07
WBGene00002255,1.7534269e-07
WBGene00018164,1.0013046e-07
WBGene00006956,1.4842193e-07
WBGene00206377,2.778691e-06
WBGene00022125,1.2629809e-07
WBGene00008538,1.1782735e-07
WBGene00010488,1.5003563e-07
WBGene00018195,1.177861e-07
WBGene00001971,1.1772636e-07
WBGene00004442,2.4579444e-07
WBGene00003615,1.2237356e-07
WBGene00011927,1.2286623e-07
WBGene00011526,1.4834729e-06
WBGene00002065,1.5048415e-07
WBGene00009973,1.1671533e-07
WBGene00001898,1.2857372e-07
WBGene00004496,2.4228717e-07
WBGene00008564,1.26459e-07
WBGene00019514,1.0304012e-07
WBGene00017834,1.9598589e-07
WBGene00003975,1.4623461e-07
WBGene00001972,1.2411718e-07
WBGene00006404,1.2169679e-07
WBGene00003930,7.885125e-08
WBGene00016103,5.2113245e-07
WBGene00000040,1.2071716e-07
WBGene00007573,1.3892115e-07
WBGene00004448,2.2621629e-07
WBGene00015085,1.2095258e-07
WBGene00004417,1.7214504e-07
WBGene00008586,1.1841583e-07
WBGene00045495,1.0439301e-07
WBGene00019960,1.3612313e-07
WBGene00013594,1.3302933e-07
WBGene00022326,1.03769274e-07
WBGene00001522,1.07700025e-07
WBGene00001077,1.1216711e-07
WBGene00018602,1.2649072e-07
WBGene00006643,1.3525303e-07
WBGene00004827,4.6505673e-07
WBGene00020104,1.0632374e-07
WBGene00017487,1.4151907e-07
WBGene00012860,1.18264374e-07
WBGene00014938,1.1406405e-07
WBGene00010256,1.2187974e-07
WBGene00020587,1.08364965e-07
WBGene00001065,1.06953664e-07
WBGene00012592,1.268068e-07
WBGene00018392,2.0037708e-06
WBGene00018238,1.1863285e-07
WBGene00016739,1.2427844e-06
WBGene00010981,9.960738e-08
WBGene00007402,1.1585565e-07
WBGene00018811,1.151039e-07
WBGene00006823,1.2340382e-07
WBGene00019719,9.4213426e-08
WBGene00003627,1.1485488e-07
WBGene00001064,1.0803724e-07
WBGene00001169,1.3082459e-07
WBGene00017423,1.196211e-07
WBGene00003931,3.7898192e-07
WBGene00010047,1.5615839e-07
WBGene00007072,1.10212014e-07
WBGene00017027,1.2363894e-07
WBGene00005832,1.1471269e-07
WBGene00008920,2.2385666e-07
WBGene00000253,1.8828018e-07
WBGene00011534,1.1290214e-07
WBGene00013538,1.3551099e-07
WBGene00003813,1.3421598e-07
WBGene00008336,1.2225713e-07
WBGene00003593,2.9068914e-07
WBGene00000396,4.5950674e-07
WBGene00015783,1.08209235e-07
WBGene00010102,1.0510628e-07
WBGene00010870,1.351566e-07
WBGene00019249,2.2973748e-07
WBGene00006366,1.3268622e-07
WBGene00013255,3.7203738e-06
WBGene00004488,1.6787465e-07
WBGene00009451,1.184741e-07
WBGene00002253,1.5873164e-07
WBGene00011226,1.107331e-07
WBGene00003518,1.385491e-07
WBGene00015745,1.1940216e-07
WBGene00012635,1.10066225e-07
WBGene00011305,1.15973265e-07
WBGene00008683,1.13999015e-07
WBGene00003546,1.3117678e-07
WBGene00003778,1.3621612e-07
WBGene00010100,1.1106677e-07
WBGene00004194,1.3061603e-07
WBGene00007372,1.18170554e-07
WBGene00019492,1.2504508e-07
WBGene00001946,1.0591044e-07
WBGene00045481,1.5267605e-07
WBGene00007750,1.0942339e-07
WBGene00044210,1.0077365e-07
WBGene00010037,1.1250092e-07
WBGene00235267,1.10519984e-07
WBGene00016173,1.0132796e-07
WBGene00008338,1.1946754e-07
WBGene00011168,1.3778786e-07
WBGene00000620,1.025881e-07
WBGene00007507,1.1743179e-07
WBGene00016919,1.3715295e-07
WBGene00008110,1.3403267e-07
WBGene00000138,1.0563626e-07
WBGene00016603,1.1519406e-07
WBGene00018485,1.4136232e-07
WBGene00004410,2.4698292e-07
WBGene00019317,9.207136e-08
WBGene00016493,1.8425804e-07
WBGene00001262,1.2846992e-07
WBGene00004826,9.6874444e-08
WBGene00013308,1.2781453e-07
WBGene00008624,1.3017879e-07
WBGene00044797,1.2124467e-07
WBGene00009848,3.1263878e-07
WBGene00003495,1.5387614e-07
WBGene00022494,1.3062039e-07
WBGene00003597,7.4706605e-07
WBGene00020886,2.304891e-07
WBGene00021921,9.611139e-08
WBGene00000968,1.15266374e-07
WBGene00007217,1.1333549e-07
WBGene00022816,1.0886341e-07
WBGene00018656,1.0897123e-07
WBGene00019234,1.1282465e-07
WBGene00002107,2.1572022e-07
WBGene00021186,1.2675555e-07
WBGene00012437,1.3749214e-07
WBGene00000472,1.132536e-07
WBGene00015613,1.2033085e-07
WBGene00020379,1.2191157e-07
WBGene00006663,2.7667477e-07
WBGene00004456,1.4523533e-07
WBGene00010896,2.8496507e-07
WBGene00015965,1.2338805e-07
WBGene00001910,2.2951083e-07
WBGene00021019,1.2619503e-07
WBGene00003978,1.3315321e-07
WBGene00008034,1.10594634e-07
WBGene00008930,1.4598449e-07
WBGene00001072,1.0824825e-07
WBGene00018690,1.386563e-07
WBGene00013595,9.953787e-08
WBGene00011175,1.3589886e-07
WBGene00016555,1.2243484e-07
WBGene00017993,1.1970796e-07
WBGene00002175,1.09471195e-07
WBGene00001069,1.1392826e-07
WBGene00009453,1.18548705e-07
WBGene00009863,6.88833e-07
WBGene00016157,2.0503879e-07
WBGene00018952,1.4001739e-07
