,weight
N0000,0.5
P1_P1,0.5
EMS_EMS,1.9875883
P2_P2,1.9875883
E_E,1.6108683
MS_MS,1.3769516
C_C,0.2125445
D_D,0.18994257
EA_EA,0.0627861
EP_EP,0.06325208
MSA_MSA,1.6546073
MSP_MSP,1.2194575
CA_CA,0.19298302
CP_CP,0.19282001
DA_DA,0.20223245
DP_DP,1.3623635
EAL_EAL,0.066458076
EPL_EPL,0.08728826
MSAA_MSAA,1.0029318
MSAP_MSAP,1.1479383
MSPA_MSPA,0.957928
MSPP_MSPP,1.0177543
CAA_CAA,1.2399607
CAP_CAP,0.17009903
CPA_CPA,1.4815562
CPP_CPP,0.16761845
DAA_DAA,0.9918026
DAP_DAP,0.7952636
DPPP_DPPP,2.0301762
EALA_EALA,0.069140434
EPLP_EPLP,0.13242044
MSAAA_MSAAA,0.8851108
MSAAP_MSAAP,0.90547335
MSAPA_MSAPA,0.85533637
MSAPP_MSAPP,0.8324133
MSPAA_MSPAA,0.8681481
MSPAP_MSPAP,0.95810044
MSPPA_MSPPA,1.1466058
MSPPP_MSPPP,1.0530227
CAAA_CAAA,1.3370239
CAAP_CAAP,1.2289771
CAPA_CAPA,0.40919736
CAPP_CAPP,0.4055466
CPAP_CPAP,1.6534004
CPPA_CPPA,0.17832196
CPPP_CPPP,0.1746005
DAPP_DAPP,1.2301378
MSAAAA_MSAAAA,0.94833064
MSAAAP_MSAAAP,1.0521564
MSAAPA_MSAAPA,0.95577526
MSAAPP_MSAAPP,1.1048884
MSAPAA_MSAPAA,1.1041392
MSAPAP_MSAPAP,0.91067505
MSAPPA_MSAPPA,1.1201756
MSAPPP_MSAPPP,1.1281505
MSPAAA_MSPAAA,0.9900665
MSPAAPA_MSPAAPA,1.0558865
MSPAPA_MSPAPA,1.2771399
MSPAPP_MSPAPP,1.324776
MSPPPA_MSPPPA,1.2621673
MSPPPP_MSPPPP,1.3009686
CAAPP_CAAPP,1.8215714
CAPAA_CAPAA,1.0466818
CAPAP_CAPAP,1.076355
CAPPA_CAPPA,1.002021
CAPPP_CAPPP,1.1219302
CPPAA_CPPAA,0.60532945
CPPAP_CPPAP,0.69833666
CPPPA_CPPPA,0.5921194
CPPPP_CPPPP,0.64547926
MSAAAAA_MSAAAAA,1.2644007
MSAAAAP_MSAAAAP,1.263604
MSAAAPA_MSAAAPA,1.913087
MSAAPAA_MSAAPAA,1.2486731
MSAAPAP_MSAAPAP,1.2592187
MSAAPPP_MSAAPPP,1.930369
MSAPAAA_MSAPAAA,2.0766616
MSAPAPA_MSAPAPA,1.223931
MSAPAPP_MSAPAPP,1.2895919
MSAPPAA_MSAPPAA,1.8012193
MSPAAAA_MSPAAAA,1.2580817
MSPAAAP_MSPAAAP,1.25523
MSPAPAP_MSPAPAP,1.8181047
MSPAPPP_MSPAPPP,1.773671
EALAA,0.04864251
EALAP,0.18038084
EALPP,0.7192456
EARP,0.10956327
EPLAA,0.20622954
EPLPA,0.7317231
EPLPP,0.3654624
EPR,0.5443876
MSAAAAAAL,3.5905924
MSAAAAAPA,3.7107089
MSAAAAPA,3.6063619
MSAAAAPPP,3.7021544
MSAAAPAA,3.6597779
MSAAAPAPP,3.7019165
MSAAAPPP,2.152115
MSAAPAAA,3.6488633
MSAAPAAPA,3.6477506
MSAAPAPAA,3.6823986
MSAAPAPPA,3.7739959
MSAAPPA,2.1212664
MSAAPPPAA,3.7109063
MSAAPPPPA,3.7072284
MSAPAAAA,3.5779073
MSAPAAAP,3.8931663
MSAPAAP,2.0375144
MSAPAPAA,3.2621002
MSAPAPAP,4.092278
MSAPAPPA,3.8342571
MSAPAPPP,3.664019
MSAPPAAA,3.7200265
MSAPPAAP,3.71397
MSAPPAPP,2.3874667
MSAPPPAA,3.720557
MSAPPPPA,3.7480032
MSPAAAAA,3.6216142
MSPAAAAP,3.68012
MSPAAAPA,3.6265516
MSPAAAPP,3.6851904
MSPAAPAA,3.6553755
MSPAAPAP,3.7721612
MSPAPAA,2.4228878
MSPAPAPA,3.7222948
MSPAPAPP,3.7132227
MSPAPPAA,2.474656
MSPAPPPA,3.6826792
MSPAPPPP,3.6761324
MSPPAAPP,3.650219
MSPPAPP,3.7676947
MSPPPAA,3.6401188
MSPPPAP,3.7616858
MSPPPPA,3.7121353
MSPPPPP,3.6963658
CAAAAA,3.6443074
CAAAPP,3.6161582
CAAPAA,2.02349
CAAPPD,3.7595098
CAAPPV,3.6501155
CAPAAAA,3.5627573
CAPAAPA,3.6159673
CAPAPAA,3.5984976
CAPAPPA,3.5359764
CAPPAAA,3.5446465
CAPPAPA,3.6041832
CAPPPAA,3.3744392
CAPPPPD,3.8069406
CPAAA,2.1594787
CPAPAA,3.6973166
CPAPPV,3.6526272
CPPAAA,3.7673922
CPPAAP,3.7137272
CPPAPA,3.4711373
CPPAPP,3.9109852
CPPPAA,3.6834073
CPPPAP,3.7832725
CPPPPA,3.3972096
CPPPPP,4.1072526
DAAAA,3.3841674
DAAPA,3.930292
DAPA,2.975148
DAPPAA,3.4625545
DAPPPA,3.7671824
DPAP,2.407035
DPPPA,3.6174908
DPPPP,3.9663684
