,weight
WBGene00011936,0.0076606753
WBGene00219316,0.9761895
WBGene00019895,0.00023732275
WBGene00004092,0.00323116
WBGene00021252,0.0018629906
WBGene00008787,0.00016361072
WBGene00006416,5.7640504e-05
WBGene00019986,0.00042623197
WBGene00017151,0.00035697836
WBGene00017329,0.00017894391
WBGene00003607,6.7422097e-06
WBGene00011821,3.797816e-05
WBGene00017427,0.0013366991
WBGene00001758,1.0707793e-06
WBGene00015279,6.155129e-05
WBGene00020307,0.0001913823
WBGene00001250,9.530214e-05
WBGene00000776,7.966233e-05
WBGene00021048,0.0006141895
WBGene00012144,0.00010979612
WBGene00006621,0.00043962974
WBGene00019232,0.00010243966
WBGene00000966,0.00025805598
WBGene00007557,5.1808944e-05
WBGene00013484,8.62749e-06
WBGene00000788,9.5388794e-05
WBGene00015981,0.00031540132
WBGene00019298,0.00021170781
WBGene00013873,0.00066762976
WBGene00001761,4.831732e-05
WBGene00018210,3.1078176e-05
WBGene00011181,5.5402685e-05
WBGene00019720,2.0874313e-07
WBGene00000107,1.7813265e-05
WBGene00020688,3.3435794e-05
WBGene00020082,7.9886384e-05
WBGene00007650,0.0004572337
WBGene00004789,1.2149979e-05
WBGene00013257,6.327559e-05
WBGene00010266,3.927798e-06
WBGene00014669,3.6599401e-06
WBGene00016848,4.0859948e-05
WBGene00011831,1.7845827e-07
WBGene00010924,3.3193788e-05
WBGene00018877,8.3807514e-05
WBGene00017089,0.00011133345
WBGene00004030,2.0393525e-05
WBGene00016146,7.675461e-06
WBGene00000831,2.1850042e-06
WBGene00019674,6.4159416e-05
WBGene00012536,6.999743e-05
WBGene00001506,3.605197e-05
WBGene00016883,5.434144e-06
WBGene00014000,1.4997242e-05
WBGene00020022,2.676337e-06
WBGene00000981,5.1686425e-06
WBGene00017765,1.3586934e-05
WBGene00009741,3.0859625e-05
WBGene00012909,4.271331e-05
WBGene00011903,0.0001491094
WBGene00004037,1.1740527e-05
WBGene00008669,2.8699542e-06
WBGene00013906,7.9731566e-05
WBGene00013875,0.00064931123
WBGene00020182,0.00056276657
WBGene00021817,7.89562e-05
