,weight
N0000,0.5
P1_P1,0.5
EMS_EMS,0.046159856
P2_P2,0.046159856
E_E,5.473755
MS_MS,0.028667506
C_C,0.019618617
D_D,0.03859206
EA_EA,0.76182604
EP_EP,0.6857734
MSA_MSA,0.019026238
MSP_MSP,0.07357675
CA_CA,0.06268786
CP_CP,0.030373849
DA_DA,0.0585905
DP_DP,0.05754188
EAL_EAL,0.72247034
EPL_EPL,0.6744636
MSAA_MSAA,0.04989009
MSAP_MSAP,0.026155468
MSPA_MSPA,0.1103778
MSPP_MSPP,0.15284319
CAA_CAA,3.1114187
CAP_CAP,0.057927947
CPA_CPA,3.8125005
CPP_CPP,0.02753852
DAA_DAA,0.2195174
DAP_DAP,0.07823432
DPPP_DPPP,0.062505424
EALA_EALA,0.7428183
EPLP_EPLP,0.9145808
MSAAA_MSAAA,1.4660769
MSAAP_MSAAP,0.03542966
MSAPA_MSAPA,0.021162676
MSAPP_MSAPP,0.037363894
MSPAA_MSPAA,3.4988048
MSPAP_MSPAP,0.08456308
MSPPA_MSPPA,0.7940235
MSPPP_MSPPP,0.14841788
CAAA_CAAA,2.9230924
CAAP_CAAP,2.444616
CAPA_CAPA,0.09810291
CAPP_CAPP,0.11608453
CPAP_CPAP,2.4273958
CPPA_CPPA,0.044486605
CPPP_CPPP,0.038268324
DAPP_DAPP,0.20686166
MSAAAA_MSAAAA,0.63779557
MSAAAP_MSAAAP,3.453382
MSAAPA_MSAAPA,4.0493836
MSAAPP_MSAAPP,0.048991542
MSAPAA_MSAPAA,1.0282934
MSAPAP_MSAPAP,0.028831216
MSAPPA_MSAPPA,0.38727775
MSAPPP_MSAPPP,0.032062955
MSPAAA_MSPAAA,1.7091794
MSPAAPA_MSPAAPA,2.2645123
MSPAPA_MSPAPA,4.1400013
MSPAPP_MSPAPP,0.117232665
MSPPPA_MSPPPA,3.5865116
MSPPPP_MSPPPP,0.15312798
CAAPP_CAAPP,1.7169741
CAPAA_CAPAA,0.15331034
CAPAP_CAPAP,0.20780817
CAPPA_CAPPA,0.24402374
CAPPP_CAPPP,0.09520787
CPPAA_CPPAA,0.07418535
CPPAP_CPPAP,0.10305124
CPPPA_CPPPA,0.07614167
CPPPP_CPPPP,0.06826632
MSAAAAA_MSAAAAA,0.5735631
MSAAAAP_MSAAAAP,2.8280566
MSAAAPA_MSAAAPA,1.8039367
MSAAPAA_MSAAPAA,2.5101855
MSAAPAP_MSAAPAP,2.3597353
MSAAPPP_MSAAPPP,0.06164199
MSAPAAA_MSAPAAA,0.34176216
MSAPAPA_MSAPAPA,1.5723053
MSAPAPP_MSAPAPP,0.0724873
MSAPPAA_MSAPPAA,4.2848773
MSPAAAA_MSPAAAA,1.549752
MSPAAAP_MSPAAAP,1.5415943
MSPAPAP_MSPAPAP,2.1180828
MSPAPPP_MSPAPPP,0.15302606
EALAA,2.7860963
EALAP,3.0356166
EALPP,2.9506934
EARP,2.518614
EPLAA,2.503501
EPLPA,2.8871667
EPLPP,3.011821
EPR,3.0761633
MSAAAAAAL,0.74309343
MSAAAAAPA,7.2136836
MSAAAAPA,4.1398306
MSAAAAPPP,4.7528925
MSAAAPAA,3.4819489
MSAAAPAPP,3.2257838
MSAAAPPP,4.7680783
MSAAPAAA,3.401814
MSAAPAAPA,3.3139114
MSAAPAPAA,3.4439168
MSAAPAPPA,3.4769888
MSAAPPA,9.410926
MSAAPPPAA,0.39660293
MSAAPPPPA,0.02989487
MSAPAAAA,4.97282
MSAPAAAP,0.505721
MSAPAAP,8.341041
MSAPAPAA,7.9520125
MSAPAPAP,0.5203692
MSAPAPPA,0.21258299
MSAPAPPP,0.1552399
MSAPPAAA,4.762581
MSAPPAAP,6.1976194
MSAPPAPP,0.6363695
MSAPPPAA,1.2310458
MSAPPPPA,0.01813564
MSPAAAAA,3.161776
MSPAAAAP,3.290992
MSPAAAPA,3.1928568
MSPAAAPP,3.3689091
MSPAAPAA,3.8786132
MSPAAPAP,4.051069
MSPAPAA,5.420846
MSPAPAPA,3.3228614
MSPAPAPP,3.4968495
MSPAPPAA,8.25426
MSPAPPPA,0.90052164
MSPAPPPP,0.38930094
MSPPAAPP,3.3046818
MSPPAPP,2.5644298
MSPPPAA,5.7779927
MSPPPAP,4.6638947
MSPPPPA,2.562204
MSPPPPP,1.8997452
CAAAAA,3.2609148
CAAAPP,3.2999668
CAAPAA,3.082112
CAAPPD,3.26039
CAAPPV,2.8120077
CAPAAAA,0.51343834
CAPAAPA,0.09192052
CAPAPAA,0.48519248
CAPAPPA,1.1280588
CAPPAAA,0.70109457
CAPPAPA,0.21418598
CAPPPAA,0.17636292
CAPPPPD,0.060337648
CPAAA,5.0385747
CPAPAA,3.2263782
CPAPPV,3.0435767
CPPAAA,1.4740143
CPPAAP,1.2010775
CPPAPA,1.0994682
CPPAPP,1.2780508
CPPPAA,1.2793754
CPPPAP,1.1676252
CPPPPA,1.1126715
CPPPPP,1.2456565
DAAAA,0.44657475
DAAPA,0.45348552
DAPA,2.3533263
DAPPAA,0.824006
DAPPPA,0.5334137
DPAP,2.498245
DPPPA,1.4300079
DPPPP,1.4197766
