,weight
WBGene00219316,6.893181e-07
WBGene00019720,1.057035e-07
WBGene00011831,2.260977e-07
WBGene00007904,2.014792e-07
WBGene00000066,2.665279e-07
WBGene00018860,1.1243744e-07
WBGene00007553,1.2272385e-07
WBGene00013560,2.324955e-07
WBGene00019479,1.5575803e-07
WBGene00017027,2.5124783e-07
WBGene00000282,2.129695e-07
WBGene00017445,2.4356208e-07
WBGene00013379,2.2553886e-07
WBGene00050943,1.7949776e-07
WBGene00013284,1.7272524e-07
WBGene00000991,1.9027284e-07
WBGene00019060,1.0994507e-07
WBGene00022675,1.1642398e-07
WBGene00018489,1.2782733e-07
WBGene00015965,2.4988793e-07
WBGene00016046,1.3550844e-07
WBGene00016957,1.7205906e-07
WBGene00010472,1.2471901e-07
WBGene00003669,2.0019019e-07
WBGene00017123,1.5354357e-07
WBGene00000882,2.0591084e-07
WBGene00004059,2.0841397e-07
WBGene00019182,2.176761e-07
WBGene00011850,9.754296e-08
WBGene00016760,1.563578e-07
WBGene00009389,1.725132e-07
WBGene00010234,1.3804569e-07
WBGene00010328,1.321382e-07
WBGene00044784,1.4698337e-07
WBGene00004995,1.0448029e-05
WBGene00004192,1.0727536e-07
WBGene00012152,1.8616069e-07
WBGene00019978,1.5456197e-07
WBGene00007143,1.421379e-07
WBGene00004191,1.8970137e-07
WBGene00002254,1.1033402e-05
WBGene00021589,1.800268e-07
WBGene00002234,1.05155934e-07
WBGene00010831,2.1928712e-07
WBGene00003813,1.9181417e-07
WBGene00017688,3.9015863e-06
WBGene00020158,9.449464e-08
WBGene00045401,9.636242e-08
WBGene00003645,1.7288328e-07
WBGene00007743,1.1856014e-07
WBGene00010571,2.0036782e-07
WBGene00003786,1.3426144e-07
WBGene00001196,1.08666036e-07
WBGene00015664,1.13089456e-07
WBGene00021558,8.351403e-06
WBGene00013594,1.5132578e-07
WBGene00011917,1.336271e-07
WBGene00000065,1.4047116e-06
WBGene00016866,1.5302228e-07
WBGene00009156,1.3537088e-07
WBGene00022125,1.16424985e-07
WBGene00006942,1.654862e-07
WBGene00008564,1.1960823e-07
WBGene00006893,4.3979144e-06
WBGene00007236,1.6549615e-07
WBGene00007683,2.2573748e-07
WBGene00000984,1.9335528e-07
WBGene00016918,4.6570793e-05
WBGene00006452,3.0677118e-05
WBGene00044605,3.0313138e-06
WBGene00017257,1.31997e-07
WBGene00019351,1.2903291e-07
WBGene00001764,2.9821396e-07
WBGene00019477,1.3720033e-07
WBGene00015177,7.490527e-06
WBGene00001157,2.2216885e-07
WBGene00000996,1.18339635e-07
WBGene00018207,2.1425485e-06
WBGene00012860,1.2524633e-07
WBGene00020401,1.5240941e-07
WBGene00008779,1.481048e-07
WBGene00008336,2.4137736e-07
WBGene00007945,2.0801761e-07
WBGene00019747,9.477803e-08
WBGene00000170,1.2037437e-07
WBGene00017487,1.3966175e-07
WBGene00008110,1.6723965e-07
WBGene00017593,2.8792385e-05
WBGene00007139,1.905722e-06
WBGene00009049,1.18925215e-07
WBGene00017826,1.0393716e-07
WBGene00021516,1.900822e-07
WBGene00001564,4.339598e-06
WBGene00003705,1.503548e-07
WBGene00020694,1.838831e-07
WBGene00022194,9.462929e-06
WBGene00022814,1.3836097e-07
WBGene00022353,1.4427577e-07
WBGene00002497,1.6326914e-05
WBGene00017574,1.1114817e-07
WBGene00020160,2.159782e-07
WBGene00020886,9.386472e-07
WBGene00004860,1.3322703e-07
WBGene00003769,1.17745245e-07
WBGene00018579,3.356863e-06
WBGene00005000,0.0008458438
WBGene00003930,2.6207564e-07
WBGene00001972,1.3465088e-07
WBGene00000857,1.776701e-06
WBGene00013531,1.3848941e-05
WBGene00004198,1.4293774e-07
WBGene00013972,1.4789423e-07
WBGene00020532,2.1347358e-07
WBGene00022836,1.5021676e-07
WBGene00021611,1.765005e-07
WBGene00009514,9.353449e-06
WBGene00000973,1.2976716e-07
WBGene00009403,1.1961451e-07
WBGene00001684,2.0826783e-06
WBGene00006826,1.7532825e-06
WBGene00019624,1.2114852e-07
WBGene00016403,1.4440971e-07
WBGene00007372,1.6168339e-07
WBGene00006984,6.2362515e-06
WBGene00011739,1.4809564e-07
WBGene00010628,2.2520571e-07
WBGene00000993,1.3712904e-07
WBGene00013308,1.3307059e-07
WBGene00015705,1.7618821e-07
WBGene00011383,1.16906186e-07
WBGene00003547,1.13384594e-07
WBGene00020799,1.0665494e-07
WBGene00001328,1.4204434e-06
WBGene00020153,1.5623304e-07
WBGene00003248,5.3427934e-06
WBGene00010336,1.9268248e-07
WBGene00019345,2.2030123e-07
WBGene00019645,9.4031854e-08
WBGene00009162,1.3652776e-07
WBGene00018351,1.5181784e-07
WBGene00017658,1.8976905e-07
WBGene00003684,1.7850135e-07
WBGene00007924,9.825059e-07
WBGene00003812,1.6804686e-05
WBGene00014141,1.3899472e-07
WBGene00020382,4.2205643e-06
WBGene00001522,1.5714546e-07
WBGene00017154,1.6694166e-07
WBGene00003934,7.4193995e-05
WBGene00016719,1.566717e-07
WBGene00019843,2.0973832e-05
WBGene00016071,1.3498787e-07
WBGene00045052,1.6013993e-07
WBGene00045379,1.4747872e-07
WBGene00012930,1.0438696e-07
WBGene00017048,1.4661529e-07
WBGene00219420,1.8748145e-07
WBGene00001045,1.4975161e-07
WBGene00013197,1.4792256e-07
WBGene00011864,1.586392e-07
WBGene00016088,1.3045572e-07
WBGene00012317,1.2881614e-07
WBGene00001604,1.717646e-07
WBGene00015085,2.5862593e-07
WBGene00011733,1.9903335e-07
WBGene00003929,3.8513408e-05
WBGene00006764,9.236684e-05
WBGene00008624,1.2831173e-07
WBGene00000067,9.4914256e-08
WBGene00016269,5.3218673e-06
WBGene00012646,3.5148045e-07
WBGene00000063,6.8407377e-07
WBGene00018280,2.0207688e-07
WBGene00016027,2.2970137e-07
WBGene00003932,1.0639766e-06
WBGene00009952,1.8916427e-07
WBGene00021629,1.1640854e-07
WBGene00000109,1.7673767e-07
WBGene00000472,3.6548116e-07
WBGene00006814,0.00024434883
WBGene00045397,1.030308e-07
WBGene00012396,1.7779153e-07
WBGene00016983,1.2126225e-07
WBGene00011147,1.6354308e-07
WBGene00012538,2.143459e-07
WBGene00017893,1.4452833e-07
WBGene00003659,1.3267702e-07
WBGene00007750,7.296992e-07
WBGene00019832,0.0015445966
WBGene00003555,3.1709133e-05
WBGene00015407,2.6678297e-05
WBGene00019277,0.00011793006
WBGene00011250,1.3766522e-07
WBGene00020347,1.7815458e-07
WBGene00004194,1.4759073e-07
WBGene00020446,1.0766625e-07
WBGene00016531,3.002567e-05
WBGene00000928,1.3180039e-07
WBGene00001572,0.00020666601
WBGene00020501,1.7529138e-07
WBGene00021430,1.07925736e-07
WBGene00008510,1.1800413e-07
WBGene00002043,1.5807784e-07
WBGene00019927,9.213287e-06
WBGene00003893,1.6223452e-05
WBGene00003931,7.3756877e-07
WBGene00016892,2.2345336e-07
WBGene00015767,1.4139027e-07
WBGene00018931,2.3294112e-07
WBGene00004195,1.5006614e-07
WBGene00016943,2.5412268e-07
WBGene00235351,1.4485495e-07
WBGene00011498,6.69535e-05
WBGene00018763,2.2778826e-05
WBGene00012592,1.9241236e-07
WBGene00000789,9.721902e-08
WBGene00044082,7.7671044e-05
WBGene00019022,9.671393e-08
WBGene00003375,0.00012530899
WBGene00013509,1.279864e-07
WBGene00010063,1.1558208e-07
WBGene00001794,3.5765446e-05
WBGene00019760,4.4399906e-07
WBGene00018602,1.3644262e-07
WBGene00008226,1.5516973e-07
WBGene00005001,1.4442857e-07
WBGene00017012,2.0568062e-07
WBGene00011095,1.2283133e-05
WBGene00044417,4.3898706e-07
WBGene00022801,1.0496997e-05
WBGene00006824,3.331726e-05
WBGene00017169,1.4220271e-07
WBGene00014108,3.857753e-06
WBGene00020311,1.2502949e-07
WBGene00003933,1.221968e-05
WBGene00001685,2.005419e-06
WBGene00003515,1.2951558e-05
WBGene00006528,1.0347569e-07
WBGene00019373,1.7572424e-07
WBGene00009663,1.294363e-07
WBGene00006844,5.4379643e-06
WBGene00002978,5.1668444e-06
WBGene00164973,1.0369479e-07
WBGene00011692,1.5895419e-05
WBGene00013779,2.0324502e-07
WBGene00006827,0.0032074268
WBGene00013203,1.4665906e-07
WBGene00017184,1.231458e-07
WBGene00021079,1.8731382e-05
WBGene00016234,1.8667859e-07
WBGene00015038,1.6999451e-07
WBGene00001153,1.8927885e-07
WBGene00008426,2.1226801e-06
WBGene00018398,1.0160851e-07
WBGene00020765,1.3113815e-07
WBGene00019657,1.40824e-07
WBGene00015887,1.6320125e-07
WBGene00164972,2.4292137e-07
WBGene00021565,1.0379394e-07
WBGene00004197,1.2594786e-07
WBGene00007317,1.4131773e-07
WBGene00000391,1.0397305e-07
WBGene00015356,5.4540633e-05
WBGene00005523,1.5632695e-05
WBGene00015940,3.713581e-07
WBGene00011404,1.4118855e-07
WBGene00019947,1.5247528e-07
WBGene00011738,1.35157e-07
WBGene00018758,1.3428873e-07
WBGene00011934,7.5310327e-06
WBGene00001263,9.537843e-05
WBGene00001843,1.2721758e-07
WBGene00018407,9.013947e-06
WBGene00003738,3.5286337e-06
WBGene00004145,3.5855314e-06
WBGene00003658,9.86952e-08
WBGene00006911,1.2973717e-06
WBGene00006470,1.4092596e-07
WBGene00021060,1.06029205e-07
WBGene00007685,1.4645404e-07
WBGene00003577,1.7146395e-07
WBGene00008447,1.4331255e-07
WBGene00020593,1.0918917e-07
WBGene00044534,2.4259197e-07
WBGene00043996,1.7677576e-07
WBGene00000149,1.0251878e-07
WBGene00001465,1.0842401e-07
WBGene00015168,1.5984013e-07
WBGene00019647,1.6686175e-07
WBGene00044241,1.5655371e-07
WBGene00017866,3.2476015e-05
WBGene00012326,3.886073e-07
WBGene00015752,1.3600443e-07
WBGene00011122,1.2959428e-07
WBGene00019620,1.6544755e-07
WBGene00003371,1.1052222e-05
WBGene00018164,3.7371143e-07
WBGene00008768,3.1558833e-05
WBGene00017657,0.00034737354
WBGene00001999,1.5427275e-07
WBGene00006321,1.0503891e-06
WBGene00004013,1.3900082e-07
WBGene00013275,8.4470224e-07
WBGene00000964,1.5896678e-05
WBGene00002248,1.5908597e-07
WBGene00007460,1.6522868e-07
WBGene00009274,1.5278997e-07
WBGene00020130,3.1985865e-06
WBGene00013145,1.7744935e-07
WBGene00022416,1.647106e-07
WBGene00003124,3.949524e-06
WBGene00017431,1.4938317e-07
WBGene00016101,1.7336438e-07
WBGene00018282,1.758476e-07
WBGene00019516,1.02574134e-07
WBGene00020725,1.2126515e-07
WBGene00019329,1.6955882e-07
WBGene00000114,1.861989e-05
WBGene00010649,1.0279035e-05
WBGene00013366,4.6516154e-05
WBGene00007605,1.198126e-07
WBGene00185001,1.6551746e-07
WBGene00010425,1.6479386e-07
WBGene00007410,1.9762444e-07
WBGene00008803,1.7660103e-07
WBGene00013234,1.3210379e-07
WBGene00017065,0.003807114
WBGene00020018,3.7910922e-07
WBGene00010738,1.699253e-07
WBGene00015889,2.1063211e-07
WBGene00003370,6.277022e-06
WBGene00007680,1.0937887e-07
WBGene00018561,1.4322812e-07
WBGene00007858,1.3362238e-07
WBGene00006365,1.4398367e-07
WBGene00013683,8.013739e-06
WBGene00011232,4.970377e-07
WBGene00006801,7.414802e-05
WBGene00017302,9.9256454e-08
WBGene00018279,1.1300106e-07
WBGene00002280,8.569643e-05
WBGene00014085,1.6816102e-07
WBGene00004210,1.7425998e-07
WBGene00011231,1.4338951e-07
WBGene00000116,1.6284943e-07
WBGene00001430,3.1846292e-07
WBGene00016555,2.347746e-07
WBGene00006499,1.367764e-07
WBGene00006836,5.9699164e-07
WBGene00018998,1.170059e-07
WBGene00021036,2.0372376e-05
WBGene00004199,1.6496904e-07
WBGene00002081,1.0415825e-07
WBGene00001077,1.3414714e-07
WBGene00020817,2.1828664e-07
WBGene00017923,1.159273e-05
WBGene00011528,1.556281e-07
WBGene00020479,1.3618562e-05
WBGene00009706,1.06083824e-07
WBGene00012106,1.6876268e-07
WBGene00019320,1.7019582e-07
WBGene00006582,2.0325046e-05
WBGene00003680,1.6583441e-07
WBGene00006820,0.00011750603
WBGene00011673,1.17653535e-07
WBGene00004827,4.5591784e-07
WBGene00013513,1.3453086e-07
WBGene00021375,1.4179751e-07
WBGene00009450,1.6605944e-07
WBGene00077521,1.356812e-07
WBGene00003615,2.4391124e-07
WBGene00004193,1.486493e-07
WBGene00003699,1.1996191e-07
WBGene00018690,1.306563e-07
WBGene00022873,1.1555861e-07
WBGene00018682,1.768449e-07
WBGene00004979,1.4217844e-07
WBGene00000253,4.9815725e-07
WBGene00022352,1.1669727e-06
WBGene00004271,1.4533416e-07
WBGene00004053,1.4893084e-07
WBGene00005018,1.7347833e-07
WBGene00002255,2.0029483e-07
WBGene00011387,2.1933083e-07
WBGene00012544,0.9855466
WBGene00000929,1.77242e-07
WBGene00007394,2.3525939e-07
WBGene00002011,1.3236837e-07
WBGene00010593,3.2818058e-05
WBGene00001898,1.5107892e-07
WBGene00020397,1.5741306e-07
WBGene00015125,1.115766e-07
WBGene00011338,4.028948e-07
WBGene00011480,1.2601934e-07
WBGene00013227,1.5850127e-07
WBGene00003730,1.2694392e-07
WBGene00019719,2.670943e-07
WBGene00006754,1.15876555e-05
WBGene00003828,1.6766715e-07
WBGene00000221,8.601058e-07
WBGene00019644,1.3500294e-07
WBGene00004130,1.2980369e-05
WBGene00010471,1.5451114e-07
WBGene00006781,1.2753122e-05
WBGene00044049,1.0891337e-07
WBGene00010052,1.6594088e-07
WBGene00004800,1.33271e-07
WBGene00021095,1.7565385e-07
WBGene00020696,8.168137e-07
WBGene00020106,8.323105e-06
WBGene00007786,3.3341382e-07
WBGene00001773,1.4825658e-07
WBGene00015449,2.3083604e-07
WBGene00018715,1.0350648e-07
WBGene00003915,1.5218792e-07
WBGene00020369,7.1220015e-06
WBGene00018333,1.6811116e-07
WBGene00045298,1.4713932e-07
WBGene00271415,2.915104e-05
WBGene00001076,1.7223307e-07
WBGene00004025,4.2405452e-07
WBGene00017125,1.3555832e-07
WBGene00019751,2.479545e-06
WBGene00018350,1.085784e-07
WBGene00043097,1.686097e-07
WBGene00020199,1.3209397e-07
WBGene00017945,1.852103e-07
WBGene00018996,1.5760037e-07
WBGene00013575,1.4395005e-07
WBGene00006649,1.0480352e-07
WBGene00003914,1.3474195e-07
WBGene00195213,1.11279476e-07
WBGene00001075,1.7602513e-07
WBGene00013216,1.1108692e-07
WBGene00001389,1.5242323e-07
WBGene00010887,4.3739112e-07
WBGene00015298,1.787787e-07
WBGene00009973,2.0583427e-07
WBGene00008451,9.873117e-08
WBGene00001755,1.5667904e-07
WBGene00011830,1.3258897e-07
WBGene00009919,1.1834766e-07
WBGene00013860,4.4790386e-06
WBGene00008239,1.5182884e-07
WBGene00008519,1.340317e-07
WBGene00022499,8.373921e-07
WBGene00001262,1.4361274e-07
WBGene00007409,1.9843841e-07
WBGene00011736,5.2017203e-06
WBGene00015933,2.2667935e-07
WBGene00022339,5.4360053e-06
WBGene00021019,1.6256298e-07
WBGene00020379,1.5537526e-07
WBGene00003388,1.7630268e-07
WBGene00006882,2.1821795e-07
WBGene00007402,1.7456753e-07
WBGene00009690,1.3512653e-06
WBGene00015472,3.4725294e-06
WBGene00020215,1.6460477e-07
WBGene00044070,9.4872674e-05
WBGene00016655,1.3296834e-07
WBGene00002253,1.8604801e-07
WBGene00018257,4.9688542e-06
WBGene00018857,1.6249602e-07
WBGene00008233,1.0862853e-07
WBGene00010868,1.16180075e-07
WBGene00020812,1.541226e-07
WBGene00007921,1.6148567e-07
WBGene00013207,1.9072247e-07
WBGene00007643,1.7394783e-07
WBGene00006588,8.82296e-06
WBGene00000120,1.5233444e-07
WBGene00002113,1.8711884e-07
WBGene00000779,5.0868757e-06
WBGene00021186,1.5544953e-07
WBGene00011398,1.7753621e-07
WBGene00001996,1.4985262e-07
WBGene00022868,1.6563413e-07
WBGene00006771,3.443105e-06
WBGene00019960,1.5003994e-07
WBGene00018242,1.5730217e-07
WBGene00009030,1.3389721e-06
WBGene00022494,1.9766743e-07
WBGene00017777,1.6286046e-07
WBGene00043297,1.510854e-07
WBGene00012186,1.7903908e-07
WBGene00007836,1.5399434e-07
WBGene00009029,2.8235412e-05
WBGene00011330,1.4514742e-07
WBGene00014051,5.1769957e-06
WBGene00255600,1.6933339e-07
WBGene00009945,1.3571406e-07
WBGene00015206,1.352172e-07
WBGene00021921,9.568003e-08
WBGene00003369,1.4529347e-06
WBGene00020315,1.2783502e-07
WBGene00003112,1.7646836e-07
WBGene00004046,1.4557052e-07
WBGene00001971,1.515031e-07
WBGene00003778,1.54335e-07
WBGene00019650,1.3192012e-07
WBGene00011801,2.2635012e-07
WBGene00018465,1.5180771e-07
WBGene00003721,1.13416604e-07
WBGene00001428,1.750061e-07
WBGene00017481,0.00016496268
WBGene00018720,2.2687313e-05
WBGene00017934,1.3903079e-07
WBGene00018766,4.3078168e-07
WBGene00021867,1.484783e-07
WBGene00013643,2.2207377e-07
WBGene00007710,1.6641567e-07
WBGene00001000,2.135138e-06
WBGene00000081,1.2472366e-07
WBGene00002107,7.075901e-07
WBGene00020894,1.2397098e-07
WBGene00044068,1.655386e-07
WBGene00006584,2.418168e-05
WBGene00011434,1.6297979e-07
WBGene00022123,0.0010560295
WBGene00015220,1.6688404e-07
WBGene00010870,1.5210681e-07
WBGene00000512,1.7750523e-07
WBGene00000466,1.384745e-07
WBGene00006789,4.5176866e-06
WBGene00012239,1.2164774e-07
WBGene00001429,7.430914e-07
WBGene00019730,1.6603046e-07
WBGene00006823,1.2708867e-07
WBGene00086555,1.1708828e-07
WBGene00009342,1.7507236e-07
WBGene00006643,1.459965e-07
WBGene00000294,1.4655897e-07
WBGene00017909,2.570356e-07
WBGene00013438,1.7446152e-07
WBGene00018156,1.3581948e-07
WBGene00002008,1.5373315e-07
WBGene00019432,1.7048612e-07
WBGene00018238,1.5901637e-07
WBGene00003621,1.7191537e-07
WBGene00016797,2.3649302e-07
WBGene00011573,3.935349e-06
WBGene00019466,1.2398895e-07
WBGene00003646,1.6142903e-07
WBGene00015418,1.2318444e-07
