,weight
N0000,0.5
P1_P1,0.5
EMS_EMS,0.5667844
P2_P2,0.5667844
E_E,1.1110308
MS_MS,1.7730699
C_C,0.39835137
D_D,3.2309835
EA_EA,0.08036969
EP_EP,0.06994273
MSA_MSA,2.0662663
MSP_MSP,2.0424376
CA_CA,0.020020656
CP_CP,0.02968999
DA_DA,1.7791883
DP_DP,2.2696564
EAL_EAL,0.1105038
EPL_EPL,0.14065182
MSAA_MSAA,3.0108068
MSAP_MSAP,1.2247627
MSPA_MSPA,2.9167619
MSPP_MSPP,1.1569425
CAA_CAA,0.060725916
CAP_CAP,6.7790413
CPA_CPA,0.086437985
CPP_CPP,3.2835288
DAA_DAA,0.5102796
DAP_DAP,0.4503326
DPPP_DPPP,1.1658343
EALA_EALA,0.09768953
EPLP_EPLP,0.1843735
MSAAA_MSAAA,0.039104722
MSAAP_MSAAP,0.03785127
MSAPA_MSAPA,0.9130586
MSAPP_MSAPP,1.2935157
MSPAA_MSPAA,0.03920535
MSPAP_MSPAP,0.0441433
MSPPA_MSPPA,0.6924963
MSPPP_MSPPP,0.63502437
CAAA_CAAA,0.06762503
CAAP_CAAP,0.8422602
CAPA_CAPA,0.05569948
CAPP_CAPP,0.05900346
CPAP_CPAP,0.08585493
CPPA_CPPA,2.8476753
CPPP_CPPP,2.5845242
DAPP_DAPP,0.92172045
MSAAAA_MSAAAA,0.03390115
MSAAAP_MSAAAP,0.040419955
MSAAPA_MSAAPA,0.05393816
MSAAPP_MSAAPP,0.8506041
MSAPAA_MSAPAA,1.8938738
MSAPAP_MSAPAP,0.8773151
MSAPPA_MSAPPA,0.58560884
MSAPPP_MSAPPP,0.63277847
MSPAAA_MSPAAA,0.020967826
MSPAAPA_MSPAAPA,0.051923815
MSPAPA_MSPAPA,0.041448902
MSPAPP_MSPAPP,2.2195027
MSPPPA_MSPPPA,0.4721209
MSPPPP_MSPPPP,0.5820346
CAAPP_CAAPP,0.3051636
CAPAA_CAPAA,0.078229286
CAPAP_CAPAP,0.06996511
CAPPA_CAPPA,0.06520653
CAPPP_CAPPP,0.079498
CPPAA_CPPAA,0.27494022
CPPAP_CPPAP,0.26595047
CPPPA_CPPPA,0.31942794
CPPPP_CPPPP,0.3299446
MSAAAAA_MSAAAAA,0.2763768
MSAAAAP_MSAAAAP,0.09381328
MSAAAPA_MSAAAPA,0.075800784
MSAAPAA_MSAAPAA,0.08990225
MSAAPAP_MSAAPAP,0.11597255
MSAAPPP_MSAAPPP,4.522794
MSAPAAA_MSAPAAA,1.0950121
MSAPAPA_MSAPAPA,0.7994403
MSAPAPP_MSAPAPP,0.8185263
MSAPPAA_MSAPPAA,2.3925893
MSPAAAA_MSPAAAA,0.08291773
MSPAAAP_MSPAAAP,0.07381697
MSPAPAP_MSPAPAP,0.068950415
MSPAPPP_MSPAPPP,1.9721509
EALAA,0.071301736
EALAP,0.18277365
EALPP,0.57783586
EARP,0.19374843
EPLAA,0.13467887
EPLPA,0.2671961
EPLPP,0.23769103
EPR,1.1381577
MSAAAAAAL,3.3418245
MSAAAAAPA,1.921458
MSAAAAPA,2.1779528
MSAAAAPPP,2.4762087
MSAAAPAA,2.0867198
MSAAAPAPP,2.5455601
MSAAAPPP,2.243457
MSAAPAAA,2.106023
MSAAPAAPA,2.1974027
MSAAPAPAA,2.2043557
MSAAPAPPA,2.3446767
MSAAPPA,1.7567214
MSAAPPPAA,2.0573015
MSAAPPPPA,2.1012201
MSAPAAAA,2.0297544
MSAPAAAP,5.097546
MSAPAAP,1.9576676
MSAPAPAA,4.6605573
MSAPAPAP,1.9103714
MSAPAPPA,2.2860408
MSAPAPPP,2.1520653
MSAPPAAA,3.5573337
MSAPPAAP,2.8102486
MSAPPAPP,1.0437541
MSAPPPAA,2.2223604
MSAPPPPA,2.106428
MSPAAAAA,2.2415214
MSPAAAAP,2.1278832
MSPAAAPA,2.1479924
MSPAAAPP,2.142801
MSPAAPAA,2.0063071
MSPAAPAP,2.1787846
MSPAPAA,2.1117241
MSPAPAPA,2.0579162
MSPAPAPP,2.0274038
MSPAPPAA,1.660382
MSPAPPPA,2.4794855
MSPAPPPP,2.2232947
MSPPAAPP,3.164397
MSPPAPP,2.1574109
MSPPPAA,2.8600612
MSPPPAP,1.9804767
MSPPPPA,2.3653693
MSPPPPP,2.4901927
CAAAAA,0.937162
CAAAPP,1.1067716
CAAPAA,6.6793146
CAAPPD,0.42929253
CAAPPV,5.6132965
CAPAAAA,2.106101
CAPAAPA,2.1068833
CAPAPAA,2.1532438
CAPAPPA,2.134282
CAPPAAA,2.0742726
CAPPAPA,2.0562189
CAPPPAA,2.1039617
CAPPPPD,2.2169871
CPAAA,1.779085
CPAPAA,1.1281074
CPAPPV,2.0730572
CPPAAA,2.2869868
CPPAAP,2.3415978
CPPAPA,2.229475
CPPAPP,2.3182714
CPPPAA,2.2610705
CPPPAP,2.3520873
CPPPPA,2.2173145
CPPPPP,2.4815357
DAAAA,2.2292712
DAAPA,2.0417025
DAPA,2.7297204
DAPPAA,1.7973703
DAPPPA,2.2816408
DPAP,2.0284047
DPPPA,2.457615
DPPPP,2.5228717
