,score
WBGene00219316,20.684710156001202
WBGene00021252,20.433535627652887
WBGene00004092,20.409245902636297
WBGene00011936,20.386610398603658
WBGene00013873,20.2052426224601
WBGene00017151,19.907889385847202
WBGene00017427,19.864251727703408
WBGene00006621,19.70337670165101
WBGene00019986,19.544070906977595
WBGene00020307,19.537109161743768
WBGene00021048,19.509585734752342
WBGene00000966,19.475314479090986
WBGene00000788,19.451617066648605
WBGene00018877,19.420283767393325
WBGene00007650,19.406391010607308
WBGene00019895,19.404254454681784
WBGene00019298,19.35035508788317
WBGene00000776,19.34329908021838
WBGene00017089,19.31072585837054
WBGene00013875,19.295645837515114
WBGene00020182,19.285666036299794
WBGene00011903,19.281594891133143
WBGene00015981,19.26794444552045
WBGene00012144,19.257254349287052
WBGene00017329,19.248040427056857
WBGene00015279,19.220343401898734
WBGene00019232,19.210522707598145
WBGene00008787,19.175854170861662
WBGene00006416,19.14462867423093
WBGene00001761,19.041837623180577
WBGene00001250,18.984119631154307
WBGene00012536,18.913461524770955
WBGene00019674,18.78674755689077
WBGene00003845,18.724495535714034
WBGene00001506,18.64436808878488
WBGene00016848,18.634557796764263
WBGene00007557,18.57837573611104
WBGene00013905,18.55050406695504
WBGene00011181,18.548762298885514
WBGene00020082,18.51521334389106
WBGene00013257,18.513157609383832
WBGene00021817,18.506776420016422
WBGene00013906,18.403205172949843
WBGene00001578,18.378215926715157
WBGene00012531,18.362210760766597
WBGene00018210,18.35481231261832
WBGene00015141,18.350371697852427
WBGene00020837,18.324632482807324
WBGene00012909,18.315246347879654
WBGene00011821,18.242601827205746
WBGene00012911,18.17705503104232
WBGene00020592,18.15183744969045
WBGene00021148,18.109029988570637
WBGene00011361,18.08912977407578
WBGene00008102,18.086183297023382
WBGene00012834,18.064176672989007
WBGene00004875,18.04255459997607
WBGene00015284,18.017094706391696
WBGene00000786,17.926838163169972
WBGene00004995,17.899449803942435
WBGene00010924,17.88847332522161
WBGene00014000,17.856228717970637
WBGene00008830,17.83229432853155
WBGene00003410,17.82412639620655
WBGene00004030,17.811111315585176
WBGene00020688,17.796058545325938
WBGene00009741,17.775501719743673
WBGene00003670,17.766757592195425
WBGene00009048,17.743751190531707
WBGene00012494,17.68473005438402
WBGene00008706,17.66758344319476
WBGene00015057,17.63480883142886
WBGene00017765,17.621017559740725
WBGene00019599,17.536174821313363
WBGene00008669,17.533795388382405
WBGene00022813,17.51180000593418
WBGene00016146,17.46761769380456
WBGene00015369,17.46427984559999
WBGene00020280,17.436807417400235
WBGene00001564,17.435023569394936
WBGene00000831,17.405079729688985
WBGene00002497,17.39530119887886
WBGene00004037,17.352971288916304
WBGene00001328,17.3162053070807
WBGene00011102,17.302828128932934
WBGene00007139,17.2284826285001
WBGene00001501,17.225591649077742
WBGene00021531,17.219500620406937
WBGene00015064,17.210361162098817
WBGene00015469,17.20932047896494
WBGene00018207,17.18813894442919
WBGene00009514,17.184297842447002
WBGene00004789,17.163350777414887
WBGene00000114,17.144930739863142
WBGene00005000,17.13535432284051
WBGene00017244,17.112597832452543
WBGene00017153,17.10283220499922
WBGene00019843,17.07715261041498
WBGene00000981,17.064821724370603
WBGene00000107,17.02632881318809
WBGene00015389,16.991779178116005
WBGene00008506,16.980424845904988
WBGene00008730,16.964066962295465
WBGene00006696,16.958887935845727
WBGene00011095,16.944455842146315
WBGene00015906,16.92748377893081
WBGene00010266,16.92148867796923
WBGene00013531,16.898948630833097
WBGene00000111,16.89653587997006
WBGene00011938,16.882166396252103
WBGene00020962,16.86256694010469
WBGene00020382,16.849622016240307
WBGene00015177,16.828501438848583
WBGene00006452,16.821834381667816
WBGene00003893,16.804116654748
WBGene00011002,16.74520199628805
WBGene00002254,16.722773876209637
WBGene00045365,16.72150203003125
WBGene00045379,16.718902508892118
WBGene00003812,16.709700334923518
WBGene00019927,16.676745994236782
WBGene00206520,16.666160310331772
WBGene00008779,16.653720145456024
WBGene00003738,16.64759626801231
WBGene00206416,16.60190312674263
WBGene00019832,16.59492419904715
WBGene00013484,16.574642928002536
WBGene00044082,16.5703937253698
WBGene00018779,16.56966771919859
WBGene00007811,16.562181896494465
WBGene00001794,16.545197521456746
WBGene00006814,16.539939111835082
WBGene00003996,16.530771723511403
WBGene00016531,16.51057438559084
WBGene00013716,16.49084165889152
WBGene00045400,16.477086855618666
WBGene00006984,16.47630360429417
WBGene00018424,16.472128707042078
WBGene00007513,16.445778452798233
WBGene00006893,16.436948714970057
WBGene00019869,16.436652687483438
WBGene00016061,16.432576671613166
WBGene00016838,16.41078111988817
WBGene00001263,16.410329812449014
WBGene00003933,16.407943424615684
WBGene00020468,16.4071453862457
WBGene00003934,16.362520288614306
WBGene00019493,16.339842135396832
WBGene00017593,16.33342360417645
WBGene00018763,16.32709175417898
WBGene00019277,16.310541882928867
WBGene00016269,16.277626325477204
WBGene00006827,16.255703137267904
WBGene00044481,16.24851337603012
WBGene00013541,16.246472699591287
WBGene00007558,16.23613140925904
WBGene00001572,16.20411682140618
WBGene00012452,16.15579848097697
WBGene00016918,16.15162784337585
WBGene00017065,16.14618074560091
WBGene00017154,16.14333134896384
WBGene00003607,16.134225271759885
WBGene00003929,16.10721660419712
WBGene00000799,16.0946938386796
WBGene00006844,16.088913835187945
WBGene00002280,16.08274646038079
WBGene00016174,16.076882679550824
WBGene00022307,16.069672576579723
WBGene00014057,16.059063384394207
WBGene00017923,16.056809888583906
WBGene00002247,16.039169419413998
WBGene00002137,16.02101277724811
WBGene00021535,16.01466517276775
WBGene00017720,16.013400329798422
WBGene00008426,16.003268088011243
WBGene00015739,15.998838257599882
WBGene00017537,15.988395949026614
WBGene00002138,15.979334069083848
WBGene00013366,15.966638988144396
WBGene00003555,15.94039125882276
WBGene00011739,15.93790358685187
WBGene00022683,15.89224987607398
WBGene00011498,15.880543033932021
WBGene00020760,15.87359786080668
WBGene00013946,15.867039169135005
WBGene00018579,15.845394978923668
WBGene00000632,15.839440693972517
WBGene00271415,15.831674223757606
WBGene00016883,15.818053477625313
WBGene00000005,15.789887436875206
WBGene00017688,15.789077388955473
WBGene00015407,15.78794010424671
WBGene00012544,15.782009001989174
WBGene00013560,15.770927990621384
WBGene00006764,15.769610462276626
WBGene00022194,15.768122415001386
WBGene00003375,15.741983476869258
WBGene00014141,15.73359930726563
WBGene00020007,15.721003902693495
WBGene00017123,15.698634677146094
WBGene00017893,15.69556236383249
WBGene00007904,15.694709248261994
WBGene00000983,15.676465090289158
WBGene00001523,15.64411306108329
WBGene00000221,15.639936756818948
WBGene00017657,15.63624763880314
WBGene00008768,15.613612964287494
WBGene00019477,15.607327552362685
WBGene00012970,15.568025569512521
WBGene00010649,15.563734662223299
WBGene00016595,15.558447292119704
WBGene00010746,15.547877673676878
WBGene00004059,15.539629520883418
WBGene00000139,15.532713705775613
WBGene00009690,15.503984671876664
WBGene00019751,15.50136255657813
WBGene00015692,15.50098546680407
WBGene00022245,15.476253601740535
WBGene00021079,15.473731603030895
WBGene00004145,15.448806040571009
WBGene00011539,15.44829789439964
WBGene00011692,15.446932849745322
WBGene00006824,15.436030879025783
WBGene00017866,15.431181731381484
WBGene00003248,15.413872076105156
WBGene00006801,15.40053453478205
WBGene00010342,15.37530451865486
WBGene00012330,15.33971202169643
WBGene00020479,15.339494496986049
WBGene00206380,15.329917720058367
WBGene00022123,15.316152017271724
WBGene00017440,15.307071649692354
WBGene00017840,15.304547099286916
WBGene00022178,15.281239718649326
WBGene00010083,15.277767768586546
WBGene00004438,15.27714010107881
WBGene00000882,15.275048240968841
WBGene00000964,15.230121970902658
WBGene00004061,15.222783747266668
WBGene00010593,15.21361306549107
WBGene00003844,15.209407520844556
