,wormbase id,common name
0,WBGene00206417,W04H10.6
1,WBGene00007479,C09F9.2
2,WBGene00001105,dsl-3
3,WBGene00185014,F17C8.9
4,WBGene00015781,rml-3
5,WBGene00012186,mlt-11
6,WBGene00016422,noah-1
7,WBGene00021525,cpg-24
8,WBGene00003071,lrp-1
9,WBGene00016996,D1005.2
10,WBGene00013145,cutl-2
11,WBGene00010102,F55C9.5
12,WBGene00013263,txdc-12.1
13,WBGene00009926,noah-2
14,WBGene00001076,dpy-17
15,WBGene00022146,rml-5
16,WBGene00000138,amx-2
17,WBGene00018144,F37C4.4
18,WBGene00005018,sqt-3
19,WBGene00013969,tep-1
20,WBGene00020104,R148.5
21,WBGene00010100,F55C9.3
22,WBGene00001075,dpy-14
23,WBGene00009342,fasn-1
24,WBGene00003627,nhr-34
25,WBGene00010317,idh-1
26,WBGene00007324,glam-1
27,WBGene00022816,fbn-1
28,WBGene00015298,rml-4
29,WBGene00044210,Y51A2D.21
30,WBGene00004855,sma-1
31,WBGene00001428,fkb-3
32,WBGene00008156,C47E12.13
33,WBGene00018682,aagr-4
34,WBGene00001065,dpy-3
35,WBGene00012703,nhr-145
36,WBGene00003684,nhr-94
37,WBGene00019730,asns-2
38,WBGene00022033,Y65B4BL.1
39,WBGene00016641,C44C1.1
40,WBGene00000620,col-43
41,WBGene00004076,pod-2
42,WBGene00011398,qdpr-1
43,WBGene00012819,Y43F8B.9
44,WBGene00015705,nhr-152
45,WBGene00000929,dao-3
46,WBGene00009343,F32H2.6
47,WBGene00006097,str-31
48,WBGene00002827,let-653
49,WBGene00011226,slc-25A21
50,WBGene00007257,C01H6.8
51,WBGene00008205,sams-1
52,WBGene00012939,subs-4
53,WBGene00015464,C05C8.7
54,WBGene00017082,DC2.5
55,WBGene00001064,dpy-2
56,WBGene00000116,alh-10
57,WBGene00022104,acsd-1
58,WBGene00016368,nhr-163
59,WBGene00019514,cpg-20
60,WBGene00018370,F42H10.6
61,WBGene00006956,wrt-10
62,WBGene00018656,txdc-12.2
63,WBGene00012635,Y38H8A.1
64,WBGene00006366,sym-1
65,WBGene00001072,dpy-10
66,WBGene00000652,col-76
67,WBGene00013585,cyp-42A1
68,WBGene00008629,cpt-5
69,WBGene00002127,inx-5
