wormbase id,common name
WBGene00011936,pgrn-1
WBGene00004092,ppt-1
WBGene00021252,cht-4
WBGene00017427,acp-5
WBGene00013873,cest-2.3
WBGene00013875,cest-2.1
WBGene00021048,lro-1
WBGene00020182,ugt-53
WBGene00007650,ugt-23
WBGene00006621,try-3
WBGene00019986,R09F10.1
WBGene00017151,EGAP9.3
WBGene00015981,elt-7
WBGene00000966,dhs-2
WBGene00019895,aagr-2
WBGene00019298,pnp-1
WBGene00020307,T07D3.4
WBGene00017329,ugt-39
WBGene00008787,F14B6.6
WBGene00011903,T21E8.5
WBGene00017089,poml-2
WBGene00012144,lgmn-1
WBGene00019232,ugt-13
WBGene00013905,ugt-4
WBGene00003845,odd-1
WBGene00000788,cpz-1
WBGene00001250,elt-2
WBGene00018877,aman-1
WBGene00020082,gcp-2.1
WBGene00013906,ugt-5
WBGene00000776,cpl-1
WBGene00021817,Y53G8B.1
WBGene00012536,Y37A1A.3
WBGene00012834,Y43F8C.13
WBGene00015141,ugt-46
WBGene00004875,smd-1
WBGene00019674,K12C11.3
WBGene00013257,Y57A10A.14
WBGene00015279,cest-5.1
WBGene00020592,ugt-12
WBGene00011361,lyst-1
WBGene00006416,sams-5
WBGene00003410,mrp-4
WBGene00011181,R09H10.3
WBGene00007557,C14A4.6
WBGene00012494,nhr-232
WBGene00001761,gst-13
WBGene00008830,nhr-176
WBGene00015369,ugt-51
WBGene00012909,spds-1
WBGene00016848,klo-1
WBGene00001578,ges-1
WBGene00011821,cdf-2
WBGene00009048,cth-1
WBGene00001506,fut-2
WBGene00020688,cest-6
WBGene00010924,pycr-1
WBGene00015064,B0228.7
WBGene00018210,F39G3.5
WBGene00009741,drr-1
WBGene00015057,gad-3
WBGene00008706,gba-3
WBGene00020962,W02H5.8
WBGene00021531,rotr-1
WBGene00012531,Y32F6B.1
WBGene00015284,cest-5.2
WBGene00020837,slc-36.2
WBGene00021148,W10G11.19
WBGene00006696,twk-46
WBGene00008730,F13B12.2
WBGene00017153,E_BE45912.2
WBGene00018779,F53H8.3
WBGene00004030,pin-2
WBGene00000107,alh-1
WBGene00045365,ZC449.7
WBGene00007811,C29F7.2
WBGene00008102,C44H9.7
WBGene00019493,catp-5
WBGene00011102,R07E3.1
WBGene00014000,ZK550.6
WBGene00003670,nhr-80
WBGene00007513,wht-2
WBGene00000786,cpr-6
WBGene00017765,gcst-1
WBGene00000632,col-55
WBGene00020760,clc-19
WBGene00019599,acds-10
WBGene00004789,sgk-1
WBGene00015389,scav-1
WBGene00004037,plc-2
WBGene00012911,acl-7
WBGene00016595,cest-10
WBGene00020280,T06A1.5
WBGene00015739,ugt-7
WBGene00017244,apy-1
WBGene00022245,acp-6
WBGene00014057,ZK673.1
WBGene00022307,nadk-1
WBGene00011938,alh-13
WBGene00008506,tkt-1
WBGene00011002,nhr-205
WBGene00044481,ZK185.5
WBGene00003996,pgp-2
WBGene00017537,F17A9.5
WBGene00021535,wht-7
WBGene00013484,Y69H2.9
WBGene00019869,cnnm-2
WBGene00013222,dmsr-6
WBGene00206520,ZK897.10
WBGene00016146,C26F1.1
WBGene00016174,mfsd-13.2
WBGene00001501,ftn-2
WBGene00015906,C17E7.13
WBGene00000111,alh-5
WBGene00013716,Y106G6H.1
WBGene00015381,C03B1.13
WBGene00003607,nhr-8
WBGene00010215,nhr-193
WBGene00000139,amx-3
WBGene00010083,xdh-1
WBGene00014192,nhr-246
WBGene00000983,dhs-20
WBGene00016883,C52E2.4
WBGene00007558,C14A4.7
WBGene00012381,Y2H9A.4
WBGene00000981,dhs-18
WBGene00010308,F59B2.3
WBGene00016061,hpo-15
WBGene00016838,C50F2.4
WBGene00020468,T13A10.1
WBGene00045400,C54D10.13
WBGene00015469,C05D2.8
WBGene00007384,swt-3
WBGene00010266,dct-18
WBGene00013693,Y105E8B.9
WBGene00008954,F19C6.5
WBGene00014669,zipt-2.1
WBGene00011083,glo-1
WBGene00194661,Y57G11C.1131
WBGene00017698,F22B7.9
WBGene00002138,inx-16
WBGene00004061,pmp-4
WBGene00012491,Y20C6A.1
WBGene00018424,pgph-2
WBGene00012452,Y17D7B.4
WBGene00012835,ani-3
WBGene00000005,aat-4
WBGene00002137,inx-15
WBGene00022178,cest-25
WBGene00077701,poml-3
WBGene00015695,ugt-26
WBGene00012330,zip-3
WBGene00000967,dhs-3
WBGene00008669,acs-14
WBGene00013690,hprt-1
WBGene00011539,fbxa-135
WBGene00011677,cyp-13A1
WBGene00000930,dao-4
WBGene00045053,K12C11.7
WBGene00013946,ZK228.3
WBGene00018286,F41E6.5
WBGene00020022,gldc-1
WBGene00021721,Y49F6B.9
WBGene00003698,nhr-108
WBGene00018146,F37C4.6
WBGene00022200,fard-1
