wormbase id,common name
WBGene00017065,D2092.4
WBGene00006827,unc-98
WBGene00019832,osg-1
WBGene00022123,Y71F9AR.2
WBGene00005000,spp-15
WBGene00017657,F21C10.7
WBGene00006814,unc-82
WBGene00011755,T13H5.1
WBGene00001572,gei-15
WBGene00017481,F15B10.3
WBGene00003375,mlp-1
WBGene00019277,sgcb-1
WBGene00006820,unc-89
WBGene00001263,emb-9
WBGene00044070,set-18
WBGene00006764,unc-27
WBGene00002280,let-2
WBGene00017440,upb-1
WBGene00009781,F46C5.6
WBGene00044082,D1086.12
WBGene00003934,pat-10
WBGene00006801,unc-68
WBGene00011498,T05G5.1
WBGene00015356,tag-278
WBGene00016918,test-1
WBGene00013366,Y60A3A.21
WBGene00003929,pat-2
WBGene00001794,gta-1
WBGene00006824,unc-95
WBGene00010593,gsnl-1
WBGene00017866,stn-2
WBGene00003555,nas-39
WBGene00008768,F13G3.10
WBGene00006452,heh-1
WBGene00016531,pcyt-2.2
WBGene00003991,pfn-3
WBGene00271415,T05A7.13
WBGene00017593,F19C7.3
WBGene00009029,F21H7.3
WBGene00015407,C03H5.5
WBGene00015609,math-4
WBGene00006584,tni-1
WBGene00018763,F53F10.1
WBGene00018720,F53A3.1
WBGene00019843,R03E9.2
WBGene00021036,W05F2.4
WBGene00006582,tmd-2
WBGene00007741,glb-8
WBGene00021079,W08A12.2
WBGene00000114,alh-8
WBGene00011906,hsp-12.1
WBGene00003812,nrf-5
WBGene00002497,let-268
WBGene00003893,ost-1
WBGene00000964,dhp-2
WBGene00011692,T10G3.1
WBGene00005523,sri-11
WBGene00013531,Y73F8A.26
WBGene00020479,T13C2.3
WBGene00004130,ketn-1
WBGene00003515,myo-3
WBGene00006781,unc-45
WBGene00011095,gana-1
WBGene00022180,gldi-9
WBGene00003933,pat-9
WBGene00017923,F29B9.8
WBGene00006754,unc-15
WBGene00003371,mlc-3
WBGene00002254,lbp-2
WBGene00022801,pcp-5
WBGene00004995,spp-10
WBGene00194983,T25B2.4
WBGene00010649,K08C7.7
WBGene00004790,sgn-1
WBGene00002069,ikb-1
WBGene00022194,Y71H2B.4
WBGene00009514,F37H8.5
WBGene00044079,tag-241
WBGene00019927,fbxc-24
WBGene00007419,C07E3.9
WBGene00018407,F44B9.2
WBGene00006588,tnt-3
WBGene00021558,Y45G5AM.6
WBGene00020106,R151.1
WBGene00013683,zoo-1
WBGene00011934,T22H2.4
WBGene00015177,tmc-2
WBGene00020369,exc-15
WBGene00003370,mlc-2
WBGene00006984,zig-7
WBGene00007901,C33D9.8
WBGene00006844,unc-120
WBGene00022339,Y82E9BR.6
WBGene00003248,mig-17
WBGene00016269,C30G4.4
WBGene00011736,T12D8.9
WBGene00014051,spv-1
WBGene00002978,lev-11
WBGene00000779,cpn-3
WBGene00018257,F41B4.1
WBGene00000367,cca-1
WBGene00006680,twk-28
WBGene00002881,let-756
WBGene00003249,mig-18
WBGene00006789,unc-54
WBGene00016745,C48B6.9
WBGene00013860,ZC247.2
WBGene00006893,spon-1
WBGene00001564,icl-1
WBGene00001948,hlh-1
WBGene00020382,T09B4.8
WBGene00003124,mai-1
WBGene00011573,anmt-3
WBGene00017688,ttr-35
WBGene00014108,ZK856.7
WBGene00004145,pqn-62
WBGene00006987,zmp-1
WBGene00003738,nid-1
WBGene00015472,C05D9.3
WBGene00006771,tln-1
WBGene00018579,acs-16
WBGene00020130,igcm-2
WBGene00018392,insc-1
WBGene00044605,ttr-36
WBGene00019751,M03D4.4
WBGene00002262,ldh-1
WBGene00009940,strl-1
WBGene00001000,dim-1
WBGene00015769,C14C11.7
WBGene00008426,D2045.9
WBGene00001684,gpd-2
WBGene00001685,gpd-3
WBGene00007139,mnp-1
WBGene00010675,K08E7.8
WBGene00000857,cwn-1
WBGene00009848,F48F5.6
WBGene00006826,unc-97
WBGene00012197,W02B8.1
WBGene00013255,tric-1B.1
WBGene00006495,cpna-1
WBGene00003369,mlc-1
WBGene00001651,gon-2
WBGene00001328,epi-1
WBGene00000065,act-3
WBGene00009690,F44E5.3
WBGene00009030,clec-233
WBGene00003242,mig-6
WBGene00022352,Y82E9BR.20
WBGene00003932,pat-6
WBGene00006321,sup-12
WBGene00017639,F20D6.10
WBGene00002179,jph-1
WBGene00007924,rsu-1
WBGene00020886,ttr-6
WBGene00009800,rrc-1
WBGene00000221,atf-4
WBGene00022499,set-30
WBGene00003495,mup-2
WBGene00001429,fkb-4
WBGene00003931,pat-4
WBGene00007750,syg-2
WBGene00006423,asd-2
WBGene00000063,act-1
WBGene00008998,ncs-4
WBGene00018491,mdh-1
WBGene00017874,acdh-9
WBGene00006836,unc-112
WBGene00195146,F54D5.17
WBGene00015124,anmt-1
WBGene00000253,bli-3
WBGene00011232,pck-2
WBGene00018373,F43B10.1
WBGene00008436,DH11.2
WBGene00019760,calu-1
WBGene00007055,tag-196
WBGene00044417,C08F1.11
WBGene00010887,M7.12
WBGene00018766,F53G2.1
WBGene00004025,phy-2
WBGene00011338,sec-31
WBGene00206416,W04H10.5
WBGene00018164,sup-36
WBGene00000472,cey-1
WBGene00004113,pqn-24
