Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
Cytoplasmic Translation (GO:0002181),6.490503208649268e-07,6.687970396614262e-07,1.4492182676834454e-06,1.7570374865635568e-06,2.2635608646819807e-06,1.357532795891067e-06,0.1826572854881639
Macromolecule Biosynthetic Process (GO:0009059),2.139675188647662e-05,6.687970396614262e-07,4.753536524113406e-06,5.888283074472553e-06,7.887961265409024e-05,2.231739623576285e-05,0.002001758969672
Translation (GO:0006412),0.00017091742822795337,4.961410422124517e-06,4.808230558818628e-05,5.928077701707579e-05,0.0004552807875757591,0.0001477045417662198,0.0180592738090375
Peptide Biosynthetic Process (GO:0043043),0.00023785851308994293,5.015736085553446e-06,6.02430028233512e-05,7.260893211376368e-05,0.0007018589957006756,0.0002155170359626574,0.0141511996789464
Gene Expression (GO:0010467),0.00018519598516277536,6.185267710931311e-06,0.00029339303330642194,0.00035966827772592,0.0028512834032907,0.0007391451934393497,0.0129725726745596
Positive Regulation Of Peptidase Activity (GO:0010952),0.00311535362883,0.0050764513172379,0.0001866145337755233,0.00021168094718913684,0.0003990768871273789,0.0017978354628319878,0.0141511996789464
Negative Regulation Of Apoptotic Process (GO:0043066),0.00311535362883,0.0220093715614423,0.0214018130559068,0.0020222993005804,0.0074837033706129,0.011206508183474479,0.1142407112927253
Apical Junction Assembly (GO:0043297),0.046191824387787,0.0428370609045509,0.0052183003962325,0.0059050052123668,0.0059827238965641,0.02122698295950026,0.2173995056621017
Tight Junction Assembly (GO:0120192),0.046191824387787,0.0428370609045509,0.0052183003962325,0.0059050052123668,0.0059827238965641,0.02122698295950026,0.2116886582055866
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0326652918234331,0.0313086008216199,0.0313426976957209,0.0324461352894496,0.0247308944322784,0.030498724012500384,0.4474848022536893
Positive Regulation Of Amide Metabolic Process (GO:0034250),0.121168260512665,0.0051016154324862,0.0313426976957209,0.0324461352894496,0.0059827238965641,0.03920828656537716,0.1278549472424092
Epithelium Development (GO:0060429),0.0480141274655346,0.0509277266483305,0.0565890637533487,0.016078866913622,0.0498528776242534,0.044292532481017846,0.6593531280815934
