Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
Cholesterol Homeostasis (GO:0042632),1.6731810333863246e-07,6.165050545477632e-09,3.0632418814989997e-09,1.8786337421422374e-07,7.662063073108425e-10,7.303519525742873e-08,0.3289794435323028
Sterol Homeostasis (GO:0055092),1.6731810333863246e-07,6.165050545477632e-09,3.0632418814989997e-09,1.8786337421422374e-07,7.662063073108425e-10,7.303519525742873e-08,0.2951791896743549
High-Density Lipoprotein Particle Remodeling (GO:0034375),2.1932031323142426e-07,1.2373843066998937e-07,4.105195594628749e-07,1.8786337421422374e-07,1.9629171922029282e-07,2.2754667935976104e-07,0.1592291679634951
Phospholipid Efflux (GO:0033700),9.51250235969166e-07,5.925093618328474e-07,1.3996900554010277e-06,8.469008741143239e-07,6.32068876362942e-07,8.844838807360614e-07,0.1628671783985134
Cholesterol Efflux (GO:0033344),4.582168361324998e-06,1.2373843066998937e-07,1.3536161911768768e-08,1.8786337421422374e-07,5.326866727072765e-09,9.825266389696105e-07,0.0589930899997644
Reverse Cholesterol Transport (GO:0043691),8.915282294659618e-06,5.409359305602571e-06,1.5189090564170427e-05,9.9066253386412e-06,7.245754896444183e-06,9.3332224799036e-06,0.2609540755246468
Triglyceride Homeostasis (GO:0070328),2.807817779979827e-05,1.058562532246109e-06,3.442213650811962e-06,2.8197690764335845e-05,1.3265514172349978e-06,1.2420639232885438e-05,0.2016054613384853
Cholesterol Transport (GO:0030301),5.593577168380591e-05,3.0464077693444848e-06,1.2853796861070446e-06,6.821983164607993e-06,3.941850863009234e-07,1.3496745478033271e-05,0.1737491144950125
Acylglycerol Homeostasis (GO:0055090),5.330552265574343e-06,3.0464077693444848e-06,9.839919312660592e-06,8.187788756949548e-05,4.22898453388128e-06,2.0864750290191235e-05,0.3519345564241804
Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),0.0006423069541554586,1.2993782032867594e-05,3.131124774543896e-05,2.181615290435865e-05,3.941850863009234e-07,0.00014176446438488494,0.0571225525901247
Regulation Of CoA-transferase Activity (GO:1905918),0.0001472550549331635,0.00012296711968456126,0.00021682224931029163,0.00011658979564056427,0.00013922343618404372,0.0001485715311505249,0.7775950310171005
Positive Regulation Of CoA-transferase Activity (GO:1905920),0.0001472550549331635,0.00012296711968456126,0.00021682224931029163,0.00011658979564056427,0.00013922343618404372,0.0001485715311505249,0.7775950310171005
